date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,terpenesfire,c2h6sfire,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-08-18,3.130000e+01,-9.609999e+01,2.012263e-10,1.826673e-11,2.168993e-11,5.193596e-12,1.958141e-11,2.068853e-09,8.363340e-12,3.641182e-14,3.089574e-13,2.699288e-12,1.311782e-12,8.879338e-13,1.124990e-12,5.417337e-13,8.726914e-13,4.929593e-12,5.974321e-12,2.564541e-12,2.731164e-12,4.610913e-13,6.084209e-13,1.479396e-13,4.314652e-13,1.050066e-13,4.634231e-14,5.896232e-15,4.895735e-14,1.429829e-13,5.242474e-13,1.576243e-13,2.130686e-11,8.738120e-13,8.726914e-13,2.305336e-11,4.442536e-12,1.572452e-13,5.417337e-13,5.141515e-12,8.879338e-13,8.879338e-13,6.084209e-13,1.586081e-12,1.479396e-13,2.342441e-12,1.090391e-11,2.564541e-12,8.399751e-12,2.186821e-11,2.012263e-10,5.193596e-12,1.958141e-11,2.168993e-11,2.068853e-09,2.316545e-09,,,,,,,,,
2020-08-18,3.170000e+01,-1.017000e+02,1.126867e-09,4.018681e-11,6.290081e-11,3.895198e-11,8.811636e-11,1.810247e-08,2.661063e-11,3.186034e-13,1.544787e-12,1.529597e-11,6.121651e-12,4.439669e-13,8.624919e-12,5.778492e-12,2.399901e-12,1.314558e-11,8.961483e-12,8.719441e-12,6.008561e-12,3.227639e-12,5.070174e-12,2.773869e-13,2.912390e-12,1.120071e-12,1.621981e-12,1.031841e-13,4.895734e-13,2.859658e-13,1.310619e-12,3.516236e-13,4.774016e-11,2.437781e-12,2.399901e-12,5.257784e-11,2.433001e-11,2.845236e-12,5.778492e-12,3.295374e-11,4.439669e-13,4.439669e-13,5.070174e-12,1.185256e-11,2.773869e-13,1.720012e-11,2.210707e-11,8.719441e-12,2.692923e-11,5.775574e-11,1.126867e-09,3.895198e-11,8.811636e-11,6.290081e-11,1.810247e-08,8.636097e+02,3.181502e+02,5.454595e+02,2.547383e-13,3.092244e-14,2.547383e-13,2.547383e-13,3.092244e-14,3.181502e+02,5.454595e+02
2020-08-18,3.230000e+01,-1.019000e+02,2.092754e-09,7.672028e-11,1.171256e-10,7.271036e-11,1.664420e-10,3.413608e-08,5.018004e-11,6.007950e-13,2.986589e-12,2.879241e-11,1.158741e-11,8.879338e-13,1.612485e-11,1.083467e-11,4.581630e-12,2.382637e-11,1.680278e-11,1.641307e-11,1.092466e-11,5.994186e-12,9.531927e-12,5.177887e-13,5.501182e-12,2.100133e-12,3.058593e-12,1.945757e-13,8.812322e-13,5.147385e-13,2.471452e-12,6.668723e-13,9.063153e-11,4.534295e-12,4.581630e-12,9.974745e-11,4.588101e-11,5.353301e-12,1.083467e-11,6.206898e-11,8.879338e-13,8.879338e-13,9.531927e-12,2.211904e-11,5.177887e-13,3.216875e-11,4.062915e-11,1.641307e-11,5.078083e-11,1.078230e-10,2.092754e-09,7.271036e-11,1.664420e-10,1.171256e-10,3.413608e-08,1.636322e+03,9.999739e+02,6.363481e+02,5.094767e-13,3.092244e-14,5.094767e-13,5.094767e-13,3.092244e-14,9.999739e+02,6.363481e+02
2020-08-18,3.250000e+01,-1.111000e+02,5.231884e-10,1.826673e-11,2.819692e-11,1.817759e-11,3.916283e-11,8.275413e-09,1.216486e-11,1.456473e-13,7.209007e-13,7.198102e-12,2.842195e-12,1.902715e-13,4.124962e-12,2.708668e-12,1.090864e-12,5.751192e-12,4.107346e-12,4.103266e-12,2.731164e-12,1.536971e-12,2.433683e-12,1.294472e-13,1.402262e-12,5.250332e-13,7.414770e-13,4.716986e-14,1.958294e-13,1.143863e-13,5.991399e-13,1.697493e-13,2.171880e-11,1.079105e-12,1.090864e-12,2.388877e-11,1.144256e-11,1.313680e-12,2.708668e-12,1.546491e-11,1.902715e-13,1.902715e-13,2.433683e-12,5.661933e-12,1.294472e-13,8.225063e-12,9.858538e-12,4.103266e-12,1.231051e-11,2.627231e-11,5.231884e-10,1.817759e-11,3.916283e-11,2.819692e-11,8.275413e-09,8.884139e-09,,,8.491278e-14,,8.491278e-14,8.491278e-14,,,
2020-08-18,3.290000e+01,-1.043000e+02,7.646600e-10,2.740010e-11,4.121087e-11,2.596798e-11,5.874424e-11,1.241312e-08,1.824729e-11,2.184709e-13,1.029858e-12,1.034727e-11,4.153978e-12,3.171192e-13,5.624948e-12,3.972713e-12,1.636296e-12,9.037588e-12,5.974321e-12,5.898445e-12,4.096746e-12,2.151759e-12,3.447718e-12,1.849246e-13,1.941593e-12,7.700487e-13,1.112216e-12,7.075478e-14,2.937441e-13,1.715795e-13,8.987099e-13,2.424990e-13,3.252670e-11,1.606532e-12,1.636296e-12,3.576953e-11,1.644284e-11,1.953019e-12,3.972713e-12,2.236858e-11,3.171192e-13,3.171192e-13,3.447718e-12,7.776706e-12,1.849246e-13,1.140935e-11,1.501191e-11,5.898445e-12,1.846576e-11,3.937611e-11,7.646600e-10,2.596798e-11,5.874424e-11,4.121087e-11,1.241312e-08,1.330370e-08,,,1.698256e-13,,1.698256e-13,1.698256e-13,,,
2020-08-18,3.330000e+01,-9.450000e+01,1.130892e-08,4.128281e-10,6.268391e-10,3.908181e-10,9.105358e-10,1.841279e-07,2.706681e-10,3.240652e-12,1.596280e-11,1.547592e-10,6.274693e-11,4.756788e-12,8.624919e-11,5.850723e-11,2.443536e-11,1.306342e-10,9.148179e-11,8.898958e-11,5.953937e-11,3.258378e-11,5.110735e-11,2.773868e-12,2.966323e-11,1.134072e-11,1.649786e-11,1.049529e-12,4.748863e-12,2.773868e-12,1.333086e-11,3.588985e-12,4.883303e-10,2.444258e-11,2.443536e-11,5.372082e-10,2.471694e-10,2.888811e-11,5.850723e-11,3.345647e-10,4.756788e-12,4.756788e-12,5.110735e-11,1.188330e-10,2.773868e-12,1.727142e-10,2.221160e-10,8.898958e-11,2.739087e-10,5.850143e-10,1.130892e-08,3.908181e-10,9.105358e-10,6.268391e-10,1.841279e-07,1.400022e+03,7.750234e+02,6.249990e+02,2.632296e-12,2.164570e-13,2.632296e-12,2.632296e-12,2.164570e-13,7.750234e+02,6.249990e+02
2020-08-18,3.350000e+01,-1.109000e+02,3.026444e-08,1.105137e-09,1.680970e-09,1.045211e-09,2.428095e-09,4.923871e-07,7.238090e-10,8.666012e-12,4.263613e-11,4.138909e-10,1.674709e-10,1.262134e-11,2.309978e-10,1.565610e-10,6.545185e-11,3.483579e-10,2.445738e-10,2.377330e-10,1.592269e-10,8.714625e-11,1.366919e-10,7.396981e-12,7.928173e-11,3.034692e-11,4.411788e-11,2.806606e-12,1.272891e-11,7.435111e-12,3.564883e-11,9.602960e-12,1.307000e-09,6.541580e-11,6.545185e-11,1.437868e-09,6.606435e-10,7.727141e-11,1.565610e-10,8.944759e-10,1.262134e-11,1.262134e-11,1.366919e-10,3.181441e-10,7.396981e-12,4.622329e-10,5.929317e-10,2.377330e-10,7.324750e-10,1.563140e-09,3.026444e-08,1.045211e-09,2.428095e-09,1.680970e-09,4.923871e-07,1.383342e+03,5.083431e+02,8.749986e+02,7.047761e-12,5.256814e-13,7.047761e-12,7.047761e-12,5.256814e-13,5.083431e+02,8.749986e+02
2020-08-18,3.350000e+01,-1.107000e+02,2.052509e-09,7.489361e-11,1.149567e-10,7.011355e-11,1.664420e-10,3.310165e-08,4.865943e-11,5.825891e-13,2.883603e-12,2.789265e-11,1.115015e-11,8.879339e-13,1.574985e-11,1.065409e-11,4.363457e-12,2.300477e-11,1.642938e-11,1.590016e-11,1.065154e-11,5.994186e-12,9.126313e-12,4.992963e-13,5.393315e-12,2.065131e-12,2.965908e-12,1.886794e-13,8.322749e-13,4.861419e-13,2.396560e-12,6.426223e-13,8.842876e-11,4.357598e-12,4.363457e-12,9.714981e-11,4.443611e-11,5.219718e-12,1.065409e-11,6.030992e-11,8.879339e-13,8.879339e-13,9.126313e-12,2.174404e-11,4.992963e-13,3.136965e-11,3.943415e-11,1.590016e-11,4.924202e-11,1.045763e-10,2.052509e-09,7.011355e-11,1.664420e-10,1.149567e-10,3.310165e-08,9.500209e+02,5.500215e+02,3.999994e+02,5.094767e-13,3.092244e-14,5.094767e-13,5.094767e-13,3.092244e-14,5.500215e+02,3.999994e+02
2020-08-18,3.390000e+01,-1.179000e+02,7.646600e-10,2.740010e-11,4.121087e-11,2.596798e-11,5.874424e-11,1.241312e-08,1.824729e-11,2.184709e-13,1.029858e-12,1.034727e-11,4.153978e-12,3.171192e-13,5.624948e-12,3.972713e-12,1.636296e-12,9.037588e-12,5.974321e-12,5.898445e-12,4.096746e-12,2.151759e-12,3.447718e-12,1.849246e-13,1.941593e-12,7.700487e-13,1.112216e-12,7.075478e-14,2.937441e-13,1.715795e-13,8.987099e-13,2.424990e-13,3.252670e-11,1.606532e-12,1.636296e-12,3.576953e-11,1.644284e-11,1.953019e-12,3.972713e-12,2.236858e-11,3.171192e-13,3.171192e-13,3.447718e-12,7.776706e-12,1.849246e-13,1.140935e-11,1.501191e-11,5.898445e-12,1.846576e-11,3.937611e-11,7.646600e-10,2.596798e-11,5.874424e-11,4.121087e-11,1.241312e-08,1.330370e-08,,,1.698256e-13,,1.698256e-13,1.698256e-13,,,
2020-08-18,3.410000e+01,-1.115000e+02,2.615942e-09,1.187338e-10,1.409846e-10,8.439594e-11,3.181980e-10,2.482624e-08,4.637852e-11,4.369418e-13,6.694078e-12,2.924229e-11,1.421098e-11,2.536954e-12,2.437477e-11,1.173756e-11,7.090618e-12,5.340392e-11,2.427068e-11,1.666952e-11,1.775257e-11,9.990311e-12,1.318245e-11,1.202010e-12,7.011310e-12,2.275144e-12,2.317116e-12,1.297171e-13,3.182227e-12,1.858778e-12,1.273172e-12,7.881217e-13,1.431804e-10,7.102299e-12,7.090618e-12,1.573733e-10,5.046458e-11,4.721977e-12,1.173756e-11,6.692412e-11,2.536954e-12,2.536954e-12,1.318245e-11,3.436508e-11,1.202010e-12,4.874955e-11,7.767460e-11,1.666952e-11,4.681546e-11,1.411596e-10,2.615942e-09,8.439594e-11,3.181980e-10,1.409846e-10,2.482624e-08,2.798777e-08,,,5.519331e-12,2.009958e-12,5.519331e-12,5.519331e-12,2.009958e-12,,
