date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c2h6sfire,other_dms
2018-07-30,3.110000e+01,-9.770000e+01,2.850008e+03,8.249788e+02,1.499590e-09,5.530214e-11,8.587067e-11,5.140375e-11,1.254049e-10,2.486272e-08,3.688011e-11,4.375838e-13,2.158528e-12,2.095394e-11,8.240623e-12,6.729028e-13,3.954948e-13,1.135294e-11,7.990166e-12,3.302568e-12,1.722027e-11,1.217403e-11,1.194476e-11,7.632499e-12,4.295212e-12,6.740406e-12,3.875920e-13,4.019235e-12,1.548770e-12,2.241640e-12,1.411847e-13,6.840799e-13,3.995793e-13,1.766141e-12,4.800280e-13,6.509317e-11,3.329828e-12,3.302568e-12,7.172556e-11,3.321380e-11,3.931595e-12,7.990166e-12,4.513556e-11,6.729028e-13,6.729028e-13,6.740406e-12,1.564815e-11,3.875920e-13,2.277615e-11,2.939430e-11,1.194476e-11,3.731769e-11,7.865675e-11,3.954948e-13,3.954948e-13,1.499590e-09,5.140375e-11,1.254049e-10,8.587067e-11,2.850008e+03,8.249788e+02,2.486272e-08,3.674986e+03,,
2018-07-30,3.230000e+01,-1.039000e+02,,,1.874487e-10,8.508022e-12,1.010243e-11,6.047500e-12,1.140044e-11,2.663862e-09,5.029106e-12,4.688398e-14,2.398364e-13,2.095394e-12,1.098750e-12,,,1.746606e-12,8.410702e-13,5.080873e-13,1.913364e-12,1.739147e-12,1.194476e-12,1.272083e-12,3.579343e-13,1.036986e-12,4.306577e-14,5.024044e-13,1.630284e-13,2.490711e-13,1.882463e-14,1.140133e-13,6.659656e-14,2.264283e-13,5.647388e-14,1.001994e-11,4.635120e-13,5.080873e-13,1.099154e-11,3.696548e-12,4.309241e-13,8.410702e-13,4.968543e-12,,,1.036986e-12,2.104540e-12,4.306577e-14,3.184591e-12,3.652511e-12,1.194476e-12,5.075990e-12,9.922976e-12,,,1.874487e-10,6.047500e-12,1.140044e-11,1.010243e-11,,,2.663862e-09,2.878862e-09,,
2018-07-30,3.230000e+01,-1.019000e+02,,,7.497948e-10,2.552406e-11,4.040973e-11,2.419000e-11,5.700222e-11,1.154340e-08,1.676369e-11,2.031639e-13,9.593457e-13,9.429273e-12,3.845624e-12,2.243010e-13,1.977474e-13,5.239817e-12,3.784816e-12,1.524262e-12,7.653454e-12,6.087014e-12,5.375141e-12,3.816249e-12,2.147606e-12,3.110957e-12,1.722631e-13,1.758416e-12,7.336277e-13,1.079308e-12,6.588619e-14,3.420399e-13,1.997897e-13,8.604276e-13,2.258955e-13,3.029966e-11,1.628153e-12,1.524262e-12,3.345208e-11,1.503331e-11,1.878822e-12,3.784816e-12,2.069695e-11,2.243010e-13,2.243010e-13,3.110957e-12,7.387423e-12,1.722631e-13,1.067064e-11,1.374047e-11,5.375141e-12,1.696685e-11,3.608246e-11,1.977474e-13,1.977474e-13,7.497948e-10,2.419000e-11,5.700222e-11,4.040973e-11,,,1.154340e-08,1.241480e-08,,
2018-07-30,3.370000e+01,-9.590001e+01,,,1.218417e-09,4.679412e-11,7.071702e-11,4.233250e-11,1.026040e-10,2.042295e-08,3.017463e-11,3.594438e-13,1.678855e-12,1.676315e-11,6.592498e-12,4.486019e-13,1.977474e-13,9.606331e-12,6.308026e-12,2.794480e-12,1.339354e-11,1.043488e-11,9.555808e-12,6.360415e-12,3.579343e-12,5.703421e-12,3.014604e-13,3.265629e-12,1.222713e-12,1.826522e-12,1.129478e-13,5.700666e-13,3.329828e-13,1.449141e-12,3.953172e-13,5.483339e-11,2.747508e-12,2.794480e-12,6.037538e-11,2.662128e-11,3.162182e-12,6.308026e-12,3.609149e-11,4.486019e-13,4.486019e-13,5.703421e-12,1.318567e-11,3.014604e-13,1.919056e-11,2.382843e-11,9.555808e-12,3.053408e-11,6.391832e-11,1.977474e-13,1.977474e-13,1.218417e-09,4.233250e-11,1.026040e-10,7.071702e-11,,,2.042295e-08,2.185702e-08,,
2018-07-30,3.430000e+01,-9.690001e+01,,,3.748974e-10,1.276203e-11,2.020486e-11,1.209500e-11,3.420133e-11,6.215679e-09,1.005821e-11,1.093959e-13,4.796728e-13,5.238485e-12,2.197499e-12,2.243010e-13,,2.619909e-12,2.102675e-12,7.621310e-13,3.826727e-12,3.478294e-12,2.986190e-12,1.908125e-12,1.073803e-12,1.555478e-12,8.613155e-14,1.004809e-12,4.075709e-13,5.811660e-13,3.764926e-14,1.140133e-13,6.659656e-14,4.528566e-13,1.129478e-13,1.514983e-11,7.464142e-13,7.621310e-13,1.665838e-11,8.440794e-12,1.026386e-12,2.102675e-12,1.156986e-11,2.243010e-13,2.243010e-13,1.555478e-12,3.693712e-12,8.613155e-14,5.335322e-12,7.305021e-12,2.986190e-12,1.016761e-11,2.045882e-11,,,3.748974e-10,1.209500e-11,3.420133e-11,2.020486e-11,,,6.215679e-09,6.657078e-09,,
2018-07-30,3.450000e+01,-1.109000e+02,2.277231e+03,8.454485e+02,9.091262e-09,3.318128e-10,5.051216e-10,3.144700e-10,7.296284e-10,1.482883e-07,2.179279e-10,2.609875e-12,1.271133e-11,1.246760e-10,5.054248e-11,3.813116e-12,2.175221e-12,6.986423e-11,4.709993e-11,1.956136e-11,1.052350e-10,7.391375e-11,7.166855e-11,4.770311e-11,2.612921e-11,4.096093e-11,2.239420e-12,2.386421e-11,9.129589e-12,1.328379e-11,8.424021e-13,3.762439e-12,2.264283e-12,1.073270e-11,2.880168e-12,3.922273e-10,1.963959e-11,1.956136e-11,4.314282e-10,1.990827e-10,2.325579e-11,4.709993e-11,2.694384e-10,3.813116e-12,3.813116e-12,4.096093e-11,9.599344e-11,2.239420e-12,1.391938e-10,1.791488e-10,7.166855e-11,2.205378e-10,4.713551e-10,2.175221e-12,2.175221e-12,9.091262e-09,3.144700e-10,7.296284e-10,5.051216e-10,2.277231e+03,8.454485e+02,1.482883e-07,3.122680e+03,1.440262e-13,1.440262e-13
2018-07-30,3.470000e+01,-1.109000e+02,,,3.748974e-10,1.276203e-11,2.020486e-11,1.209500e-11,2.280089e-11,5.327725e-09,8.381843e-12,9.376796e-14,4.796728e-13,4.190788e-12,1.648124e-12,2.243010e-13,,2.619909e-12,1.682140e-12,7.621310e-13,3.826727e-12,2.608721e-12,2.986190e-12,1.908125e-12,1.073803e-12,1.555478e-12,8.613155e-14,1.004809e-12,3.260568e-13,4.981423e-13,3.294310e-14,1.140133e-13,6.659656e-14,4.075709e-13,1.129478e-13,1.514983e-11,7.011286e-13,7.621310e-13,1.661309e-11,6.843722e-12,8.571421e-13,1.682140e-12,9.383005e-12,2.243010e-13,2.243010e-13,1.555478e-12,3.693712e-12,8.613155e-14,5.335322e-12,6.435448e-12,2.986190e-12,8.475611e-12,1.789725e-11,,,3.748974e-10,1.209500e-11,2.280089e-11,2.020486e-11,,,5.327725e-09,5.757723e-09,,
2018-07-30,3.530000e+01,-9.909999e+01,,,4.686218e-10,1.701604e-11,2.525608e-11,1.511875e-11,3.420133e-11,7.991587e-09,1.173458e-11,1.406519e-13,7.195093e-13,6.286183e-12,2.746874e-12,2.243010e-13,1.977474e-13,3.493212e-12,2.523210e-12,1.016175e-12,5.740091e-12,3.478294e-12,3.583428e-12,2.544166e-12,1.431737e-12,2.073971e-12,1.291973e-13,1.256011e-12,4.890851e-13,6.641897e-13,4.235541e-14,2.280266e-13,1.331931e-13,5.434279e-13,1.411847e-13,2.027972e-11,1.045832e-12,1.016175e-12,2.234173e-11,1.028907e-11,1.195630e-12,2.523210e-12,1.400791e-11,2.243010e-13,2.243010e-13,2.073971e-12,4.924949e-12,1.291973e-13,7.128118e-12,9.218385e-12,3.583428e-12,1.187523e-11,2.467705e-11,1.977474e-13,1.977474e-13,4.686218e-10,1.511875e-11,3.420133e-11,2.525608e-11,,,7.991587e-09,8.534785e-09,,
2018-07-30,3.550000e+01,-1.117000e+02,3.802730e+03,1.517082e+03,1.340258e-08,6.083234e-10,7.223239e-10,4.323962e-10,1.630263e-09,1.269774e-07,2.397207e-10,2.234803e-12,3.429660e-11,1.498207e-10,7.306685e-11,1.300945e-11,2.827788e-11,1.248823e-10,6.013651e-11,3.632824e-11,2.736110e-10,1.243490e-10,8.540501e-11,9.095392e-11,5.118460e-11,6.792255e-11,6.158405e-12,3.592192e-11,1.165653e-11,1.187239e-11,6.729804e-13,1.630390e-11,9.523308e-12,6.475849e-12,4.037882e-12,7.335739e-10,3.634094e-11,3.632824e-11,8.062431e-10,2.588095e-10,2.420190e-11,6.013651e-11,3.431479e-10,1.300945e-11,1.300945e-11,6.792255e-11,1.760669e-10,6.158405e-12,2.501479e-10,3.979600e-10,8.540501e-11,2.419555e-10,7.253205e-10,2.827788e-11,2.827788e-11,1.340258e-08,4.323962e-10,1.630263e-09,7.223239e-10,3.802730e+03,1.517082e+03,1.269774e-07,5.319812e+03,1.029787e-11,1.029787e-11
2018-07-30,3.730000e+01,-1.163000e+02,6.000568e+02,3.499896e+02,1.593314e-09,5.955614e-11,8.587067e-11,5.442750e-11,1.254049e-10,2.575067e-08,3.855648e-11,4.532118e-13,2.158528e-12,2.200164e-11,8.789997e-12,6.729028e-13,3.954948e-13,1.222624e-11,7.990166e-12,3.302568e-12,1.722027e-11,1.304360e-11,1.254200e-11,8.268540e-12,4.653145e-12,7.258898e-12,3.875920e-13,4.019235e-12,1.548770e-12,2.324664e-12,1.458909e-13,6.840799e-13,3.995793e-13,1.856712e-12,5.082649e-13,6.998321e-11,3.448636e-12,3.302568e-12,7.673442e-11,3.481087e-11,4.019324e-12,7.990166e-12,4.682036e-11,6.729028e-13,6.729028e-13,7.258898e-12,1.687939e-11,3.875920e-13,2.452588e-11,3.026387e-11,1.254200e-11,3.900969e-11,8.181555e-11,3.954948e-13,3.954948e-13,1.593314e-09,5.442750e-11,1.254049e-10,8.587067e-11,6.000568e+02,3.499896e+02,2.575067e-08,9.500464e+02,,
