date,lat,lon,apt,other_altitude_of_plume_top,mami,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_combustion_rate,other_total
2018-08-14,3.850000e+01,-1.199000e+02,,,,3.903077e-09,1.416861e-10,2.173657e-10,1.343164e-10,3.165083e-10,6.347915e-08,9.250829e-11,1.117233e-12,5.415283e-12,5.308379e-11,2.181221e-11,1.731640e-12,9.607538e-13,2.973903e-11,2.013978e-11,8.463558e-12,4.515228e-11,3.138434e-11,3.067485e-11,2.030704e-11,4.998212e-14,1.111405e-11,1.772690e-11,9.565014e-13,1.028677e-11,3.903783e-12,5.704803e-12,3.625707e-13,1.661798e-12,9.706762e-13,4.588988e-12,1.234700e-12,1.674085e-10,8.456162e-12,8.463558e-12,1.843282e-10,8.518276e-11,9.971157e-12,2.013978e-11,1.152937e-10,1.731640e-12,1.731640e-12,1.772690e-11,4.085308e-11,9.565014e-13,5.953648e-11,7.653662e-11,3.067485e-11,9.362552e-11,2.008370e-10,9.607538e-13,9.607538e-13,3.903077e-09,1.343164e-10,3.165083e-10,2.173657e-10,4.998212e-14,,6.347915e-08,6.805047e-08
2018-08-14,3.910000e+01,-1.083000e+02,9.000080e+02,9.000080e+02,2.249991e+03,8.326563e-09,3.057438e-10,4.627785e-10,2.875212e-10,6.725800e-10,1.355865e-07,1.986653e-10,2.386323e-12,1.176423e-11,1.141665e-10,4.604800e-11,3.463280e-12,1.921508e-12,6.372650e-11,4.319837e-11,1.798506e-11,9.561660e-11,6.759703e-11,6.549494e-11,4.370428e-11,1.499464e-13,2.389520e-11,3.774115e-11,2.032565e-12,2.179399e-11,8.373331e-12,1.215872e-11,7.741374e-13,3.481862e-12,2.033798e-12,9.806603e-12,2.645786e-12,3.612123e-10,1.796805e-11,1.798506e-11,3.971654e-10,1.820085e-10,2.130619e-11,4.319837e-11,2.465131e-10,3.463280e-12,3.463280e-12,3.774115e-11,8.762170e-11,2.032565e-12,1.273954e-10,1.632136e-10,6.549494e-11,2.010517e-10,4.297603e-10,1.921508e-12,1.921508e-12,8.326563e-09,2.875212e-10,6.725800e-10,4.627785e-10,1.499464e-13,2.249991e+03,1.355865e-07,3.149999e+03
2018-08-14,3.930000e+01,-1.227000e+02,4.215068e+02,4.215068e+02,3.293241e+02,1.600261e-07,5.835233e-09,8.876933e-09,5.525863e-09,1.285023e-08,2.602029e-06,3.824687e-09,4.579571e-11,2.250143e-10,2.186616e-09,8.858180e-10,6.703921e-11,3.746940e-11,1.221000e-09,8.271903e-10,3.454190e-10,1.840620e-09,1.292793e-09,1.256425e-09,8.409765e-10,2.898964e-12,4.603994e-10,7.216565e-10,3.900732e-11,4.189677e-10,1.602814e-10,2.331478e-10,1.483274e-11,6.710498e-11,3.928928e-11,1.883685e-10,5.074030e-11,6.901224e-09,3.455031e-10,3.454190e-10,7.592146e-09,3.491402e-09,4.082620e-10,8.271903e-10,4.726854e-09,6.703921e-11,6.703921e-11,7.216565e-10,1.681399e-09,3.900732e-11,2.442063e-09,3.133413e-09,1.256425e-09,3.870483e-09,8.260322e-09,3.746940e-11,3.746940e-11,1.600261e-07,5.525863e-09,1.285023e-08,8.876933e-09,2.898964e-12,3.293241e+02,2.602029e-06,7.508309e+02
2018-08-14,3.930000e+01,-1.229000e+02,5.565079e+02,5.565079e+02,6.233665e+02,9.952846e-09,3.654011e-10,5.504259e-10,3.441859e-10,7.991833e-10,1.620875e-07,2.380951e-10,2.852741e-12,1.419178e-11,1.359818e-10,5.513642e-11,4.205412e-12,2.333259e-12,7.647180e-11,5.137103e-11,2.151154e-11,1.155367e-10,8.087502e-11,7.834523e-11,5.253343e-11,1.999285e-13,2.861867e-11,4.517501e-11,2.421144e-12,2.615279e-11,9.957474e-12,1.452132e-11,9.243920e-13,4.114928e-12,2.449802e-12,1.172392e-11,3.155345e-12,4.321263e-10,2.144400e-11,2.151154e-11,4.750819e-10,2.172710e-10,2.540318e-11,5.137103e-11,2.940452e-10,4.205412e-12,4.205412e-12,4.517501e-11,1.050905e-10,2.421144e-12,1.526866e-10,1.964117e-10,7.834523e-11,2.409479e-10,5.157048e-10,2.333259e-12,2.333259e-12,9.952846e-09,3.441859e-10,7.991833e-10,5.504259e-10,1.999285e-13,6.233665e+02,1.620875e-07,1.179875e+03
2018-08-14,3.930000e+01,-1.231000e+02,9.432950e+01,9.432950e+01,2.500259e+02,3.772974e-09,1.379576e-10,2.103539e-10,1.301191e-10,3.006828e-10,6.101394e-08,8.947523e-11,1.073845e-12,5.228549e-12,5.162944e-11,2.060042e-11,1.484263e-12,8.235033e-13,2.888935e-11,1.955601e-11,8.110910e-12,4.382428e-11,3.017725e-11,2.943127e-11,1.986558e-11,4.998212e-14,1.083619e-11,1.715507e-11,9.266107e-13,9.938061e-12,3.790630e-12,5.474306e-12,3.495051e-13,1.582665e-12,9.244535e-13,4.431831e-12,1.195503e-12,1.630517e-10,8.134452e-12,8.110910e-12,1.792971e-10,8.216793e-11,9.614441e-12,1.955601e-11,1.113384e-10,1.484263e-12,1.484263e-12,1.715507e-11,3.972554e-11,9.266107e-13,5.780722e-11,7.400153e-11,2.943127e-11,9.054908e-11,1.939819e-10,8.235033e-13,8.235033e-13,3.772974e-09,1.301191e-10,3.006828e-10,2.103539e-10,4.998212e-14,2.500259e+02,6.101394e-08,3.443554e+02
2018-08-14,3.950000e+01,-1.079000e+02,4.545131e+02,4.545131e+02,4.545595e+02,2.016589e-09,7.084308e-11,1.121887e-10,6.925693e-11,1.661668e-10,3.266403e-08,4.852894e-11,5.748869e-13,2.801009e-12,2.690548e-11,1.090610e-11,7.421314e-13,4.117516e-13,1.529436e-11,1.050771e-11,4.408102e-12,2.390415e-11,1.569217e-11,1.533742e-11,1.059498e-11,4.998212e-14,5.834874e-12,8.577533e-12,5.081413e-13,5.230559e-12,2.036756e-12,2.938838e-12,1.861850e-13,8.704655e-13,5.084495e-13,2.357357e-12,6.271493e-13,8.423907e-11,4.363421e-12,4.408102e-12,9.301059e-11,4.304215e-11,5.161779e-12,1.050771e-11,5.871163e-11,7.421314e-13,7.421314e-13,8.577533e-12,2.112924e-11,5.081413e-13,3.021491e-11,3.959632e-11,1.533742e-11,4.910383e-11,1.040376e-10,4.117516e-13,4.117516e-13,2.016589e-09,6.925693e-11,1.661668e-10,1.121887e-10,4.998212e-14,4.545595e+02,3.266403e-08,9.090726e+02
2018-08-14,3.950000e+01,-1.227000e+02,3.499931e+02,3.499931e+02,8.000588e+02,1.932023e-08,7.047022e-10,1.072805e-09,6.673849e-10,1.550891e-09,3.143142e-07,4.625414e-10,5.531930e-12,2.726314e-11,2.639646e-10,1.072434e-10,8.163446e-12,4.529268e-12,1.478455e-10,9.982324e-11,4.178882e-11,2.217774e-10,1.563181e-10,1.517162e-10,1.015352e-10,3.498749e-13,5.557022e-11,8.749083e-11,4.722725e-12,5.056206e-11,1.934918e-11,2.817827e-11,1.793255e-12,8.150722e-12,4.760936e-12,2.275635e-11,6.134304e-12,8.335005e-10,4.180232e-11,4.178882e-11,9.170917e-10,4.217700e-10,4.932071e-11,9.982324e-11,5.709139e-10,8.163446e-12,8.163446e-12,8.749083e-11,2.034157e-10,4.722725e-12,2.956292e-10,3.780955e-10,1.517162e-10,4.680734e-10,9.978850e-10,4.529268e-12,4.529268e-12,1.932023e-08,6.673849e-10,1.550891e-09,1.072805e-09,3.498749e-13,8.000588e+02,3.143142e-07,1.150052e+03
2018-08-14,3.950000e+01,-1.229000e+02,7.498564e+01,7.498564e+01,2.000450e+02,1.301026e-09,4.847158e-11,7.362386e-11,4.617128e-11,1.028652e-10,2.157058e-08,3.184712e-11,3.796423e-13,1.867339e-12,1.817938e-11,7.270737e-12,4.947542e-13,2.745011e-13,1.019624e-11,6.713259e-12,2.821186e-12,1.460809e-11,1.086381e-11,1.036312e-11,7.063319e-12,,3.889916e-12,5.718355e-12,3.287973e-13,3.487039e-12,1.301261e-12,1.901601e-12,1.241233e-13,5.539326e-13,3.235588e-13,1.571571e-12,4.115667e-13,5.740224e-11,2.860629e-12,2.821186e-12,6.308405e-11,2.893715e-11,3.326985e-12,6.713259e-12,3.897740e-11,4.947542e-13,4.947542e-13,5.718355e-12,1.408616e-11,3.287973e-13,2.013331e-11,2.547190e-11,1.036312e-11,3.222676e-11,6.806179e-11,2.745011e-13,2.745011e-13,1.301026e-09,4.617128e-11,1.028652e-10,7.362386e-11,,2.000450e+02,2.157058e-08,2.750306e+02
2018-08-14,3.990000e+01,-1.115000e+02,1.136373e+03,1.136373e+03,3.222678e+03,1.320541e-08,4.809872e-10,7.327327e-10,4.554168e-10,1.060303e-09,2.144732e-07,3.154381e-10,3.774729e-12,1.848666e-11,1.803395e-10,7.270737e-11,5.442297e-12,3.019512e-12,1.002630e-10,6.830011e-11,2.838818e-11,1.513929e-10,1.062239e-10,1.036312e-10,6.930882e-11,2.499106e-13,3.806560e-11,5.947090e-11,3.228192e-12,3.452169e-11,1.318234e-11,1.918888e-11,1.221635e-12,5.539326e-12,3.235588e-12,1.552712e-11,4.174463e-12,5.687827e-10,2.847650e-11,2.838818e-11,6.256474e-10,2.875685e-10,3.359286e-11,6.830011e-11,3.894615e-10,5.442297e-12,5.442297e-12,5.947090e-11,1.383286e-10,3.228192e-12,2.010277e-10,2.576168e-10,1.036312e-10,3.192129e-10,6.804609e-10,3.019512e-12,3.019512e-12,1.320541e-08,4.554168e-10,1.060303e-09,7.327327e-10,2.499106e-13,3.222678e+03,2.144732e-07,4.359051e+03
2018-08-14,3.990000e+01,-1.113000e+02,1.786985e+03,1.786985e+03,4.703788e+03,1.237275e-07,4.511585e-09,6.861042e-09,4.272942e-09,9.930447e-09,2.011611e-06,2.957232e-09,3.540435e-11,1.740360e-10,1.690682e-09,6.846611e-10,5.170182e-11,2.895986e-11,9.440019e-10,6.395108e-10,2.669547e-10,1.423625e-09,9.994703e-10,9.716465e-10,6.502667e-10,2.199213e-12,3.559273e-10,5.581115e-10,3.018957e-11,3.239459e-10,1.239592e-10,1.802487e-10,1.146834e-11,5.191140e-11,3.036830e-11,1.456532e-10,3.923603e-11,5.335887e-09,2.671690e-10,2.669547e-10,5.870011e-09,2.699289e-09,3.156763e-10,6.395108e-10,3.654477e-09,5.170182e-11,5.170182e-11,5.581115e-10,1.299929e-09,3.018957e-11,1.888230e-09,2.423095e-09,9.716465e-10,2.992637e-09,6.387379e-09,2.895986e-11,2.895986e-11,1.237275e-07,4.272942e-09,9.930447e-09,6.861042e-09,2.199213e-12,4.703788e+03,2.011611e-06,6.490772e+03
