date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,terpenes_monoterpenes,terpenes_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-11-21,4.410000e+01,-1.197000e+02,4.598739e-10,2.087300e-11,2.478462e-11,1.483653e-11,5.593814e-11,4.356893e-09,8.225378e-12,7.668131e-14,1.176797e-12,5.140697e-12,2.498242e-12,4.474529e-13,4.285004e-12,2.063424e-12,1.246507e-12,9.388232e-12,4.266705e-12,2.930446e-12,3.120842e-12,1.756263e-12,2.317431e-12,2.113093e-13,1.232565e-12,3.999627e-13,4.073695e-13,2.309153e-14,5.594250e-13,3.267669e-13,2.229377e-13,1.385492e-13,2.517064e-11,1.247679e-12,1.246507e-12,2.766483e-11,8.871505e-12,8.304237e-13,2.063424e-12,1.176535e-11,4.474529e-13,4.474529e-13,2.317431e-12,6.041267e-12,2.113093e-13,8.570008e-12,1.365494e-11,2.930446e-12,8.302060e-12,2.488744e-11,4.598739e-10,1.483653e-11,5.593814e-11,2.478462e-11,4.356893e-09,4.912679e-09,9.702800e-13,9.702800e-13,9.702800e-13,3.533440e-13,3.533440e-13,,,,
2018-11-21,4.450000e+01,-1.143000e+02,6.050973e-10,2.197158e-11,3.391579e-11,2.108348e-11,5.004992e-11,9.860336e-09,1.471910e-11,1.735419e-13,8.671133e-13,8.387454e-12,3.418647e-12,2.590517e-13,4.736057e-12,3.149437e-12,1.312113e-12,6.917645e-12,4.940395e-12,4.781254e-12,3.285097e-12,1.756263e-12,2.805311e-12,1.445800e-13,1.621796e-12,6.104695e-13,9.005009e-13,5.712116e-14,2.649908e-13,1.547843e-13,7.157472e-13,1.968857e-13,2.612379e-11,1.332408e-12,1.312113e-12,2.876831e-11,1.342790e-11,1.568092e-12,3.149437e-12,1.814543e-11,2.590517e-13,2.590517e-13,2.805311e-12,6.492321e-12,1.445800e-13,9.442212e-12,1.185804e-11,4.781254e-12,1.489264e-11,3.153193e-11,6.050973e-10,2.108348e-11,5.004992e-11,3.391579e-11,9.860336e-09,1.057050e-08,1.532021e-13,1.532021e-13,1.532021e-13,1.859705e-14,1.859705e-14,,,,
2018-11-21,4.450000e+01,-1.205000e+02,2.226758e-09,8.129485e-11,1.239231e-10,7.730611e-11,1.795909e-10,3.623100e-08,5.324850e-11,6.376656e-13,3.158770e-12,3.057362e-11,1.235972e-11,9.420060e-13,1.691449e-11,1.151174e-11,4.789211e-12,2.569411e-11,1.796507e-11,1.742844e-11,1.166209e-11,6.378009e-12,1.000154e-11,5.449555e-13,5.838465e-12,2.231371e-12,3.237515e-12,2.066084e-13,9.421895e-13,5.503443e-13,2.616584e-12,7.073300e-13,9.611571e-11,4.816448e-12,4.789211e-12,1.057214e-10,4.877181e-11,5.675495e-12,1.151174e-11,6.595904e-11,9.420060e-13,9.420060e-13,1.000154e-11,2.329250e-11,5.449555e-13,3.383900e-11,4.365918e-11,1.742844e-11,5.388616e-11,1.149738e-10,2.226758e-09,7.730611e-11,1.795909e-10,1.239231e-10,3.623100e-08,3.883861e-08,5.106736e-13,5.106736e-13,5.106736e-13,3.719410e-14,3.719410e-14,,,,
2018-11-21,4.510000e+01,-1.123000e+02,6.050973e-10,2.197158e-11,3.391579e-11,2.108348e-11,5.004992e-11,1.008965e-08,1.471910e-11,1.775778e-13,8.671133e-13,8.387454e-12,3.418647e-12,2.590517e-13,4.736057e-12,3.149437e-12,1.312113e-12,6.917645e-12,4.940395e-12,4.781254e-12,3.285097e-12,1.756263e-12,2.805311e-12,1.557016e-13,1.621796e-12,6.104695e-13,9.005009e-13,5.712116e-14,2.649908e-13,1.547843e-13,7.274808e-13,1.968857e-13,2.612379e-11,1.344142e-12,1.312113e-12,2.878004e-11,1.342790e-11,1.568092e-12,3.149437e-12,1.814543e-11,2.590517e-13,2.590517e-13,2.805311e-12,6.492321e-12,1.557016e-13,9.453334e-12,1.185804e-11,4.781254e-12,1.489667e-11,3.153597e-11,6.050973e-10,2.108348e-11,5.004992e-11,3.391579e-11,1.008965e-08,1.079981e-08,1.532021e-13,1.532021e-13,1.532021e-13,1.859705e-14,1.859705e-14,,,,
2018-11-21,4.510000e+01,-1.217000e+02,2.154147e-08,9.777353e-10,1.160964e-09,6.949742e-10,2.620260e-09,2.040860e-07,3.852940e-10,3.591914e-12,5.512363e-11,2.408011e-10,1.170229e-10,2.095964e-11,2.007186e-10,9.665515e-11,5.838901e-11,4.397646e-10,1.998614e-10,1.372683e-10,1.461868e-10,8.226708e-11,1.085534e-10,9.898172e-12,5.773593e-11,1.873510e-11,1.908204e-11,1.081656e-12,2.620464e-11,1.530645e-11,1.040767e-11,6.489935e-12,1.179046e-09,5.840870e-11,5.838901e-11,1.295844e-09,4.155599e-10,3.889879e-11,9.665515e-11,5.511139e-10,2.095964e-11,2.095964e-11,1.085534e-10,2.829857e-10,9.898172e-12,4.014372e-10,6.396260e-10,1.372683e-10,3.888859e-10,1.165780e-09,2.154147e-08,6.949742e-10,2.620260e-09,1.160964e-09,2.040860e-07,3.999733e+02,4.544996e-11,4.544996e-11,4.544996e-11,1.655138e-11,1.655138e-11,2.499710e+02,1.500023e+02,2.499710e+02,1.500023e+02
2018-11-21,4.570000e+01,-1.229000e+02,3.146506e-10,1.208437e-11,1.826235e-11,1.093218e-11,2.649701e-11,5.274133e-09,7.792463e-12,9.282474e-14,4.335567e-13,4.329009e-12,1.840810e-12,1.413009e-13,2.480792e-12,1.629019e-12,7.216619e-13,3.458822e-12,2.694761e-12,2.467744e-12,1.642549e-12,9.243491e-13,1.463641e-12,7.785079e-14,8.433339e-13,3.157601e-13,4.716909e-13,3.038359e-14,1.472171e-13,8.599130e-14,3.754740e-13,1.020889e-13,1.416047e-11,7.107712e-13,7.216619e-13,1.559291e-11,7.013152e-12,8.178346e-13,1.629019e-12,9.460006e-12,1.413009e-13,1.413009e-13,1.463641e-12,3.405141e-12,7.785079e-14,4.946633e-12,6.153584e-12,2.467744e-12,7.885288e-12,1.650662e-11,3.146506e-10,1.093218e-11,2.649701e-11,1.826235e-11,5.274133e-09,5.644475e-09,5.106737e-14,5.106737e-14,5.106737e-14,,,,,,
2018-11-21,4.670000e+01,-1.159000e+02,2.904467e-10,1.318295e-11,1.565344e-11,9.370438e-12,3.532935e-11,2.751722e-09,5.194975e-12,4.843030e-14,7.432400e-13,3.246756e-12,1.577837e-12,2.826018e-13,2.706318e-12,1.303215e-12,7.872675e-13,5.929410e-12,2.694761e-12,1.850808e-12,1.971058e-12,1.109219e-12,1.463641e-12,1.334585e-13,7.784620e-13,2.526080e-13,2.572860e-13,1.458413e-14,3.533211e-13,2.063791e-13,1.408027e-13,8.750474e-14,1.589725e-11,7.880077e-13,7.872675e-13,1.747252e-11,5.603055e-12,5.244781e-13,1.303215e-12,7.430749e-12,2.826018e-13,2.826018e-13,1.463641e-12,3.815537e-12,1.334585e-13,5.412636e-12,8.624171e-12,1.850808e-12,5.243406e-12,1.571838e-11,2.904467e-10,9.370438e-12,3.532935e-11,1.565344e-11,2.751722e-09,3.102745e-09,6.128084e-13,6.128084e-13,6.128084e-13,2.231646e-13,2.231646e-13,,,,
2018-11-21,4.730000e+01,-1.165000e+02,1.960515e-09,8.898490e-11,1.056607e-10,6.325045e-11,2.384731e-10,1.857412e-08,3.506608e-11,3.269045e-13,5.016870e-12,2.191560e-11,1.065040e-11,1.907562e-12,1.826765e-11,8.796704e-12,5.314056e-12,4.002352e-11,1.818964e-11,1.249295e-11,1.330464e-11,7.487228e-12,9.879575e-12,9.008449e-13,5.254619e-12,1.705104e-12,1.736680e-12,9.844284e-14,2.384917e-12,1.393059e-12,9.504185e-13,5.906570e-13,1.073064e-10,5.319052e-12,5.314056e-12,1.179395e-10,3.782063e-11,3.540227e-12,8.796704e-12,5.015756e-11,1.907562e-12,1.907562e-12,9.879575e-12,2.575488e-11,9.008449e-13,3.653530e-11,5.821316e-11,1.249295e-11,3.539299e-11,1.060991e-10,1.960515e-09,6.325045e-11,2.384731e-10,1.056607e-10,1.857412e-08,2.094353e-08,4.136457e-12,4.136457e-12,4.136457e-12,1.506361e-12,1.506361e-12,,,,
2018-11-21,4.730000e+01,-1.163000e+02,2.420389e-10,1.098579e-11,1.304454e-11,7.808698e-12,2.944113e-11,2.293101e-09,4.329146e-12,4.035858e-14,6.193667e-13,2.705630e-12,1.314864e-12,2.355015e-13,2.255265e-12,1.086013e-12,6.560563e-13,4.941175e-12,2.245634e-12,1.542340e-12,1.642549e-12,9.243491e-13,1.219701e-12,1.112154e-13,6.487184e-13,2.105067e-13,2.144050e-13,1.215344e-14,2.944342e-13,1.719826e-13,1.173356e-13,7.292063e-14,1.324770e-11,6.566731e-13,6.560563e-13,1.456043e-11,4.669213e-12,4.370651e-13,1.086013e-12,6.192291e-12,2.355015e-13,2.355015e-13,1.219701e-12,3.179614e-12,1.112154e-13,4.510530e-12,7.186809e-12,1.542340e-12,4.369505e-12,1.309865e-11,2.420389e-10,7.808698e-12,2.944113e-11,1.304454e-11,2.293101e-09,2.585621e-09,5.106736e-13,5.106736e-13,5.106736e-13,1.859705e-13,1.859705e-13,,,,
2018-11-21,4.790000e+01,-1.169000e+02,7.261167e-10,2.636590e-11,4.043806e-11,2.498783e-11,5.888225e-11,1.192413e-08,1.774950e-11,2.098646e-13,1.052923e-12,1.001083e-11,4.076079e-12,3.061520e-13,5.638163e-12,3.801045e-12,1.574535e-12,8.399997e-12,5.838649e-12,5.706658e-12,3.942117e-12,2.126003e-12,3.293192e-12,1.779447e-13,1.946155e-12,7.367734e-13,1.072025e-12,6.805925e-14,2.944342e-13,1.719826e-13,8.682835e-13,2.333460e-13,3.136093e-11,1.568046e-12,1.574535e-12,3.450352e-11,1.603307e-11,1.876858e-12,3.801045e-12,2.171097e-11,3.061520e-13,3.061520e-13,3.293192e-12,7.764166e-12,1.779447e-13,1.123530e-11,1.423864e-11,5.706658e-12,1.795936e-11,3.790467e-11,7.261167e-10,2.498783e-11,5.888225e-11,4.043806e-11,1.192413e-08,1.277457e-08,1.532021e-13,1.532021e-13,1.532021e-13,1.859705e-14,1.859705e-14,,,,
2018-11-21,4.830000e+01,-1.183000e+02,6.196196e-09,2.812362e-10,3.339401e-10,1.999027e-10,7.536929e-10,5.870340e-08,1.108261e-10,1.033180e-12,1.585579e-11,6.926414e-11,3.366053e-11,6.028838e-12,5.773479e-11,2.780193e-11,1.679504e-11,1.264941e-10,5.748823e-11,3.948390e-11,4.204924e-11,2.366334e-11,3.122434e-11,2.847115e-12,1.660719e-11,5.388972e-12,5.488767e-12,3.111280e-13,7.537516e-12,4.402755e-12,2.992058e-12,1.866768e-12,3.391413e-10,1.679910e-11,1.679504e-11,3.727354e-10,1.195319e-10,1.118887e-11,2.780193e-11,1.585227e-10,6.028838e-12,6.028838e-12,3.122434e-11,8.139812e-11,2.847115e-12,1.154696e-10,1.839823e-10,3.948390e-11,1.118593e-10,3.353255e-10,6.196196e-09,1.999027e-10,7.536929e-10,3.339401e-10,5.870340e-08,6.619189e-08,1.307325e-11,1.307325e-11,1.307325e-11,4.760845e-12,4.760845e-12,,,,
