date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,c2h6sfire,c4h10fire,terpenes_monoterpenes,terpenes_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-01,3.370000e+01,-9.590001e+01,1.496179e-09,5.592874e-11,8.414155e-11,5.246736e-11,1.186906e-10,2.403579e-08,3.639671e-11,4.230300e-13,2.054073e-12,2.036091e-11,8.482526e-12,7.421314e-13,1.104593e-11,7.588900e-12,3.173834e-12,1.726411e-11,1.207090e-11,1.160670e-11,7.946233e-12,4.167767e-12,6.862027e-12,3.586880e-13,3.835743e-12,1.470991e-12,2.189722e-12,1.371889e-13,3.697814e-13,1.760160e-12,4.703620e-13,6.592905e-11,3.233369e-12,3.173834e-12,7.233626e-11,3.267918e-11,3.797902e-12,7.588900e-12,4.406598e-11,7.421314e-13,7.421314e-13,6.862027e-12,1.521369e-11,3.586880e-13,2.243441e-11,2.933501e-11,1.160670e-11,3.681973e-11,7.776144e-11,1.496179e-09,5.246736e-11,1.186906e-10,8.414155e-11,2.403579e-08,1.062483e+03,4.117516e-13,4.998213e-14,6.330658e-13,4.117516e-13,4.117516e-13,4.998213e-14,6.499946e+02,4.124886e+02,6.499946e+02,4.124886e+02
2018-08-01,3.390000e+01,-9.470000e+01,1.105872e-08,4.026869e-10,6.135321e-10,3.819624e-10,8.862232e-10,1.799603e-07,2.653927e-10,3.167301e-12,1.549891e-11,1.512524e-10,6.119537e-11,4.700166e-12,8.411898e-11,5.720864e-11,2.398008e-11,1.274888e-10,8.932464e-11,8.705025e-11,5.827238e-11,3.195288e-11,4.974969e-11,2.690160e-12,2.894242e-11,1.108901e-11,1.613480e-11,1.025650e-12,2.727138e-12,1.304404e-11,3.508117e-12,4.764583e-10,2.394816e-11,2.398008e-11,5.243865e-10,2.413902e-10,2.824945e-11,5.720864e-11,3.268483e-10,4.700166e-12,4.700166e-12,4.974969e-11,1.160719e-10,2.690160e-12,1.685117e-10,2.168134e-10,8.705025e-11,2.685600e-10,5.724237e-10,1.105872e-08,3.819624e-10,8.862232e-10,6.135321e-10,1.799603e-07,2.012427e+03,2.607760e-12,1.999285e-13,4.668860e-12,2.607760e-12,2.607760e-12,1.999285e-13,1.424942e+03,5.874852e+02,1.424942e+03,5.874852e+02
2018-08-01,3.390000e+01,-1.111000e+02,7.350794e-09,2.684580e-10,4.066842e-10,2.539420e-10,5.934530e-10,1.195627e-07,1.759174e-10,2.104303e-12,1.027036e-11,1.003502e-10,4.059495e-11,2.968526e-12,5.607932e-11,3.794451e-11,1.586917e-11,8.499254e-11,5.914740e-11,5.761898e-11,3.884825e-11,2.111669e-11,3.316646e-11,1.793440e-12,1.917871e-11,7.354953e-12,1.071811e-11,6.826781e-13,1.802685e-12,8.643641e-12,2.332211e-12,3.175766e-10,1.586473e-11,1.586917e-11,3.493105e-10,1.601238e-10,1.875575e-11,3.794451e-11,2.168241e-10,2.968526e-12,2.968526e-12,3.316646e-11,7.719601e-11,1.793440e-12,1.121559e-10,1.441399e-10,5.761898e-11,1.780217e-10,3.797807e-10,7.350794e-09,2.539420e-10,5.934530e-10,4.066842e-10,1.195627e-07,1.281677e-07,1.784257e-12,1.499464e-13,3.086196e-12,1.784257e-12,1.784257e-12,1.499464e-13,,,,
2018-08-01,3.430000e+01,-1.103000e+02,5.073999e-09,2.311721e-10,2.734600e-10,1.636982e-10,6.171911e-10,4.807159e-08,9.099177e-11,8.460599e-13,1.288464e-11,5.671966e-11,2.726526e-11,4.947543e-12,4.758246e-11,2.276670e-11,1.375328e-11,1.035847e-10,4.707651e-11,3.233295e-11,3.443368e-11,1.944958e-11,2.573260e-11,2.331472e-12,1.359945e-11,4.412972e-12,4.494693e-12,2.547794e-13,3.605369e-12,2.451651e-12,1.528676e-12,2.784905e-10,1.375809e-11,1.375328e-11,3.060018e-10,9.758438e-11,9.162444e-12,2.276670e-11,1.295135e-10,4.947543e-12,4.947543e-12,2.573260e-11,6.703203e-11,2.331472e-12,9.509611e-11,1.506612e-10,3.233295e-11,9.183783e-11,2.748319e-10,5.073999e-09,1.636982e-10,6.171911e-10,2.734600e-10,4.807159e-08,3.049939e+03,1.070554e-11,3.898606e-12,6.172392e-12,1.070554e-11,1.070554e-11,3.898606e-12,2.349953e+03,6.999862e+02,2.349953e+03,6.999862e+02
2018-08-01,3.450000e+01,-9.830000e+01,1.496179e-09,5.592874e-11,8.414155e-11,5.246736e-11,1.186906e-10,2.465210e-08,3.639671e-11,4.338769e-13,2.054073e-12,2.108808e-11,8.482526e-12,7.421314e-13,1.189561e-11,7.880782e-12,3.350158e-12,1.726411e-11,1.207090e-11,1.202123e-11,7.946233e-12,4.445618e-12,6.862027e-12,3.586880e-13,4.010095e-12,1.527567e-12,2.189722e-12,1.404553e-13,3.697814e-13,1.791591e-12,4.899604e-13,6.592905e-11,3.284399e-12,3.350158e-12,7.256361e-11,3.358070e-11,3.857745e-12,7.880782e-12,4.531923e-11,7.421314e-13,7.421314e-13,6.862027e-12,1.634123e-11,3.586880e-13,2.356195e-11,2.933501e-11,1.202123e-11,3.683058e-11,7.818681e-11,1.496179e-09,5.246736e-11,1.186906e-10,8.414155e-11,2.465210e-08,2.640362e-08,4.117516e-13,4.998212e-14,6.330658e-13,4.117516e-13,4.117516e-13,4.998212e-14,,,,
2018-08-01,3.450000e+01,-1.109000e+02,2.016589e-09,7.457165e-11,1.121887e-10,7.135561e-11,1.661668e-10,3.328033e-08,4.852894e-11,5.857338e-13,2.801008e-12,2.763266e-11,1.151200e-11,7.421313e-13,1.529436e-11,1.050771e-11,4.408103e-12,2.390415e-11,1.629571e-11,1.616647e-11,1.059498e-11,5.834873e-12,9.149368e-12,5.081413e-13,5.404910e-12,2.036756e-12,2.996462e-12,1.894514e-13,5.084495e-13,2.420220e-12,6.467477e-13,8.796764e-11,4.445882e-12,4.408103e-12,9.682163e-11,4.454957e-11,5.222670e-12,1.050771e-11,6.027994e-11,7.421313e-13,7.421313e-13,9.149368e-12,2.112923e-11,5.081413e-13,3.078674e-11,4.019986e-11,1.616647e-11,4.911467e-11,1.054810e-10,2.016589e-09,7.135561e-11,1.661668e-10,1.121887e-10,3.328033e-08,5.471011e+02,4.117516e-13,4.998212e-14,8.704655e-13,4.117516e-13,4.117516e-13,4.998212e-14,3.627256e+02,1.843754e+02,3.627256e+02,1.843754e+02
2018-08-01,3.470000e+01,-1.109000e+02,1.235974e-09,4.474299e-11,7.011796e-11,4.407259e-11,1.028652e-10,2.033798e-08,3.033059e-11,3.579484e-13,1.867339e-12,1.745220e-11,7.270737e-12,4.947542e-13,9.346554e-12,6.421377e-12,2.644862e-12,1.460809e-11,1.026026e-11,9.948600e-12,6.621861e-12,3.612064e-12,5.718355e-12,2.989066e-13,3.312687e-12,1.244684e-12,1.843977e-12,1.175905e-13,3.235588e-13,1.477277e-12,3.919683e-13,5.323219e-11,2.746737e-12,2.644862e-12,5.862379e-11,2.803563e-11,3.206252e-12,6.421377e-12,3.766325e-11,4.947542e-13,4.947542e-13,5.718355e-12,1.295862e-11,2.989066e-13,1.897588e-11,2.486836e-11,9.948600e-12,3.068854e-11,6.550549e-11,1.235974e-09,4.407259e-11,1.028652e-10,7.011796e-11,2.033798e-08,3.250361e+02,2.745011e-13,,5.539326e-13,2.745011e-13,2.745011e-13,,2.000450e+02,1.249911e+02,2.000450e+02,1.249911e+02
2018-08-01,3.490000e+01,-1.115000e+02,3.187513e-09,1.454147e-10,1.717890e-10,1.028360e-10,3.877226e-10,3.019882e-08,5.611159e-11,5.314992e-13,8.216291e-12,3.563158e-11,1.696505e-11,2.968525e-12,2.973903e-11,1.430216e-11,8.639880e-12,6.507241e-11,2.957370e-11,2.031172e-11,2.163141e-11,1.222545e-11,1.601139e-11,1.464643e-12,8.543245e-12,2.772251e-12,2.823589e-12,1.600537e-13,2.264911e-12,1.540140e-12,9.603224e-13,1.752624e-10,8.642901e-12,8.639880e-12,1.925452e-10,6.113988e-11,5.755894e-12,1.430216e-11,8.119794e-11,2.968525e-12,2.968525e-12,1.601139e-11,4.196448e-11,1.464643e-12,5.944052e-11,9.464611e-11,2.031172e-11,5.664309e-11,1.716009e-10,3.187513e-09,1.028360e-10,3.877226e-10,1.717890e-10,3.019882e-08,3.550017e+03,6.725277e-12,2.449124e-12,3.877528e-12,6.725277e-12,6.725277e-12,2.449124e-12,2.549998e+03,1.000019e+03,2.549998e+03,1.000019e+03
2018-08-01,3.510000e+01,-9.630000e+01,2.602051e-10,7.457166e-12,1.402359e-11,8.394778e-12,1.582541e-11,3.697814e-09,6.066118e-12,6.508153e-14,3.734678e-13,2.908701e-12,1.211789e-12,,1.699373e-12,1.167523e-12,5.289724e-13,2.656017e-12,1.810635e-12,1.658100e-12,1.324372e-12,5.557022e-13,1.143671e-12,5.978134e-14,5.230558e-13,2.263062e-13,3.457456e-13,2.286482e-14,4.622268e-14,2.828828e-13,7.839366e-14,9.155006e-12,4.866324e-13,5.289724e-13,1.017061e-11,4.643546e-12,5.949167e-13,1.167523e-12,6.405986e-12,,,1.143671e-12,2.255076e-12,5.978134e-14,3.458528e-12,4.466652e-12,1.658100e-12,6.131199e-12,1.225595e-11,2.602051e-10,8.394778e-12,1.582541e-11,1.402359e-11,3.697814e-09,3.996263e-09,,,7.913323e-14,,,,,,,
2018-08-01,3.530000e+01,-9.570000e+01,5.204102e-10,1.864292e-11,2.804718e-11,1.888825e-11,3.956353e-11,8.628233e-09,1.213224e-11,1.518569e-13,7.469356e-13,7.271752e-12,3.029474e-12,2.473771e-13,4.248434e-12,2.626927e-12,1.057945e-12,6.640042e-12,4.224815e-12,4.145250e-12,2.648745e-12,1.389256e-12,2.287342e-12,1.195627e-13,1.394816e-12,5.091890e-13,7.491156e-13,4.899604e-14,1.386680e-13,6.286284e-13,1.567873e-13,2.203859e-11,1.161483e-12,1.057945e-12,2.425802e-11,1.169604e-11,1.307301e-12,2.626927e-12,1.563027e-11,2.473771e-13,2.473771e-13,2.287342e-12,5.637689e-12,1.195627e-13,8.044594e-12,1.086486e-11,4.145250e-12,1.228409e-11,2.729420e-11,5.204102e-10,1.888825e-11,3.956353e-11,2.804718e-11,8.628233e-09,9.235142e-09,1.372505e-13,,2.373997e-13,1.372505e-13,1.372505e-13,,,,,
