date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total
2018-01-03,3.110000e+01,-9.530000e+01,5.639510e-10,2.570462e-11,3.049875e-11,1.802109e-11,6.906281e-11,5.274153e-09,1.011262e-11,9.282510e-14,1.447984e-12,6.359528e-12,3.043347e-12,5.456008e-13,1.193569e-12,5.273167e-12,2.551429e-12,1.521479e-12,1.151561e-11,5.239344e-12,3.654231e-12,3.855085e-12,4.342365e-13,2.149951e-12,2.862489e-12,2.614146e-13,1.513682e-12,4.943946e-13,4.931104e-13,2.875560e-14,6.862820e-13,4.016612e-13,2.656339e-13,1.699195e-13,3.100769e-11,1.523496e-12,1.521479e-12,3.405266e-11,1.091656e-11,1.016261e-12,2.551429e-12,1.448425e-11,5.456008e-13,5.456008e-13,2.862489e-12,7.423119e-12,2.614146e-13,1.054702e-11,1.675495e-11,3.654231e-12,1.020544e-11,3.061462e-11,1.193569e-12,1.193569e-12,5.639510e-10,1.802109e-11,6.906281e-11,3.049875e-11,4.342365e-13,5.274153e-09,5.956121e-09
2018-01-03,3.130000e+01,-9.609999e+01,3.665681e-10,3.393009e-11,3.988299e-11,9.254075e-12,3.283314e-11,4.127598e-09,1.483184e-11,7.264573e-14,6.545683e-13,5.395963e-12,2.341036e-12,1.623495e-12,2.057878e-14,2.259929e-12,1.166368e-12,1.643197e-12,8.596159e-12,1.116208e-11,4.540106e-12,4.967129e-12,5.360944e-15,7.301721e-13,1.208607e-12,2.717335e-13,8.122196e-13,1.977578e-13,1.027313e-13,1.307073e-14,1.242407e-13,2.389192e-13,9.961270e-13,2.817086e-13,3.955179e-11,1.640995e-12,1.643197e-12,4.283598e-11,8.549219e-12,3.135599e-13,1.166368e-12,1.002915e-11,1.623495e-12,1.623495e-12,1.208607e-12,2.990101e-12,2.717335e-13,4.470441e-12,1.975824e-11,4.540106e-12,1.490448e-11,3.920283e-11,2.057878e-14,2.057878e-14,3.665681e-10,9.254075e-12,3.283314e-11,3.988299e-11,5.360944e-15,4.127598e-09,4.576142e-09
2018-01-03,3.170000e+01,-1.019000e+02,2.509582e-09,9.150844e-11,1.391994e-10,8.669607e-11,2.015276e-10,4.081736e-08,6.000152e-11,7.183855e-13,3.530702e-12,3.430291e-11,1.389015e-11,1.051280e-12,5.916398e-13,1.915559e-11,1.297584e-11,5.416464e-12,2.887012e-11,2.027398e-11,1.971070e-11,1.319625e-11,4.288755e-14,7.220591e-12,1.132274e-11,6.122604e-13,6.571595e-12,2.514349e-12,3.657236e-12,2.326589e-13,1.053088e-12,6.163421e-13,2.955177e-12,7.959385e-13,1.082354e-10,5.420546e-12,5.416464e-12,1.190724e-10,5.476465e-11,6.404244e-12,1.297584e-11,7.414473e-11,1.051280e-12,1.051280e-12,1.132274e-11,2.637618e-11,6.122604e-13,3.831117e-11,4.914410e-11,1.971070e-11,6.071990e-11,1.295747e-10,5.916398e-13,5.916398e-13,2.509582e-09,8.669607e-11,2.015276e-10,1.391994e-10,4.288755e-14,4.081736e-08,4.375441e-08
2018-01-03,3.170000e+01,-1.017000e+02,4.511608e-09,1.645096e-10,2.502462e-10,1.558581e-10,3.622967e-10,7.337952e-08,1.078679e-10,1.291480e-12,6.347329e-12,6.166815e-11,2.497105e-11,1.889642e-12,1.059807e-12,3.443701e-11,2.332735e-11,9.737463e-12,5.190134e-11,3.644761e-11,3.543497e-11,2.372360e-11,8.041416e-14,1.298084e-11,2.035548e-11,1.100693e-12,1.181410e-11,4.520179e-12,6.574805e-12,4.182633e-13,1.893192e-12,1.108031e-12,5.312677e-12,1.430901e-12,1.945805e-10,9.744800e-12,9.737463e-12,2.140627e-10,9.845331e-11,1.151325e-11,2.332735e-11,1.332939e-10,1.889642e-12,1.889642e-12,2.035548e-11,4.741785e-11,1.100693e-12,6.887402e-11,8.834895e-11,3.543497e-11,1.091594e-10,2.329433e-10,1.059807e-12,1.059807e-12,4.511608e-09,1.558581e-10,3.622967e-10,2.502462e-10,8.041416e-14,7.337952e-08,7.865961e-08
2018-01-03,3.170000e+01,-9.409999e+01,5.498522e-10,2.467643e-11,2.971674e-11,1.753404e-11,6.679846e-11,5.274153e-09,9.775528e-12,9.282510e-14,1.388478e-12,6.166815e-12,2.965312e-12,5.322935e-13,1.147267e-12,5.057936e-12,2.478531e-12,1.491049e-12,1.119123e-11,5.011546e-12,3.432763e-12,3.706813e-12,4.181537e-13,2.068821e-12,2.735268e-12,2.510956e-13,1.476763e-12,4.802690e-13,4.725642e-13,2.744853e-14,6.626171e-13,3.878108e-13,2.656339e-13,1.654479e-13,2.977172e-11,1.481510e-12,1.491049e-12,3.274428e-11,1.060889e-11,9.802816e-13,2.478531e-12,1.406770e-11,5.322935e-13,5.322935e-13,2.735268e-12,7.126757e-12,2.510956e-13,1.011312e-11,1.620277e-11,3.432763e-12,9.868354e-12,2.950389e-11,1.147267e-12,1.147267e-12,5.498522e-10,1.753404e-11,6.679846e-11,2.971674e-11,4.181537e-13,5.274153e-09,5.938473e-09
2018-01-03,3.190000e+01,-1.019000e+02,6.908399e-10,2.519053e-11,3.831895e-11,2.386577e-11,5.547669e-11,1.123624e-08,1.651727e-11,1.977578e-13,9.719348e-13,9.442936e-12,3.823692e-12,2.927614e-13,1.594855e-13,5.273167e-12,3.572001e-12,1.491049e-12,7.947392e-12,5.581040e-12,5.425980e-12,3.632676e-12,1.340236e-14,1.987691e-12,3.116933e-12,1.685436e-13,1.809035e-12,6.921523e-13,1.006767e-12,6.404657e-14,2.898950e-13,1.696672e-13,8.135037e-13,2.191067e-13,2.979514e-11,1.492172e-12,1.491049e-12,3.277836e-11,1.507566e-11,1.762966e-12,3.572001e-12,2.041063e-11,2.927614e-13,2.927614e-13,3.116933e-12,7.260858e-12,1.685436e-13,1.054633e-11,1.352843e-11,5.425980e-12,1.671503e-11,3.566944e-11,1.594855e-13,1.594855e-13,6.908399e-10,2.386577e-11,5.547669e-11,3.831895e-11,1.340236e-14,1.123624e-08,1.204475e-08
2018-01-03,3.190000e+01,-9.550000e+01,8.825833e-09,4.004780e-10,4.754678e-10,2.849281e-10,1.073304e-09,8.369852e-08,1.577568e-10,1.473094e-12,2.257269e-11,9.866905e-11,4.791320e-11,8.583233e-12,1.861865e-11,8.221836e-11,3.958360e-11,2.391764e-11,1.801950e-10,8.189322e-11,5.625302e-11,5.990209e-11,6.778914e-12,3.370961e-11,4.446400e-11,4.055365e-12,2.366513e-11,7.670178e-12,7.807581e-12,4.430977e-13,1.073203e-11,6.270762e-12,4.266744e-12,2.660581e-12,4.829527e-10,2.393011e-11,2.391764e-11,5.308005e-10,1.702474e-10,1.592085e-11,3.958360e-11,2.257518e-10,8.583233e-12,8.583233e-12,4.446400e-11,1.159280e-10,4.055365e-12,1.644473e-10,2.620882e-10,5.625302e-11,1.592299e-10,4.775711e-10,1.861865e-11,1.861865e-11,8.825833e-09,2.849281e-10,1.073304e-09,4.754678e-10,6.778914e-12,8.369852e-08,9.436483e-08
2018-01-03,3.210000e+01,-9.450000e+01,1.156100e-09,5.243742e-11,6.256155e-11,3.701630e-11,1.403900e-10,1.100693e-08,2.056232e-11,1.937219e-13,2.955475e-12,1.291177e-11,6.242763e-12,1.117816e-12,2.433440e-12,1.076157e-11,5.175756e-12,3.134246e-12,2.351779e-11,1.070649e-11,7.308463e-12,7.858442e-12,8.872363e-13,4.421598e-12,5.788590e-12,5.297084e-13,3.101202e-12,1.002915e-12,1.027313e-12,5.751120e-14,1.402145e-12,8.206353e-13,5.644720e-13,3.487820e-13,6.325133e-11,3.136035e-12,3.134246e-12,6.952161e-11,2.225573e-11,2.087739e-12,5.175756e-12,2.951923e-11,1.117816e-12,1.117816e-12,5.788590e-12,1.518316e-11,5.297084e-13,2.150146e-11,3.422428e-11,7.308463e-12,2.075604e-11,6.228879e-11,2.433440e-12,2.433440e-12,1.156100e-09,3.701630e-11,1.403900e-10,6.256155e-11,8.872363e-13,1.100693e-08,1.240388e-08
2018-01-03,3.210000e+01,-9.430000e+01,2.291051e-08,1.039495e-09,1.234809e-09,7.388649e-10,2.786288e-09,2.169282e-07,4.095609e-10,3.817936e-12,5.861361e-11,2.561155e-10,1.244651e-10,2.228979e-11,4.832926e-11,2.134019e-10,1.027861e-10,6.207632e-11,4.675986e-10,2.125351e-10,1.459478e-10,1.554637e-10,1.759998e-11,8.749896e-11,1.154537e-10,1.052538e-11,6.139642e-11,1.991704e-11,2.029971e-11,1.150224e-12,2.786541e-11,1.627766e-11,1.107361e-11,6.899625e-12,1.253572e-09,6.211632e-11,6.207632e-11,1.377765e-09,4.419770e-10,4.136697e-11,1.027861e-10,5.861301e-10,2.228979e-11,2.228979e-11,1.154537e-10,3.009008e-10,1.052538e-11,4.268799e-10,6.801337e-10,1.459478e-10,4.133789e-10,1.239460e-09,4.832926e-11,4.832926e-11,2.291051e-08,7.388649e-10,2.786288e-09,1.234809e-09,1.759998e-11,2.169282e-07,2.446163e-07
2018-01-03,3.250000e+01,-9.609999e+01,4.652596e-09,1.696505e-10,2.580664e-10,1.607287e-10,3.736185e-10,7.567263e-08,1.112388e-10,1.331838e-12,6.545683e-12,6.359528e-11,2.575140e-11,1.942871e-12,1.090675e-12,3.551317e-11,2.405633e-11,1.004176e-11,5.352326e-11,3.758660e-11,3.654231e-11,2.446496e-11,8.309464e-14,1.338649e-11,2.099159e-11,1.135090e-12,1.218329e-11,4.661434e-12,6.780268e-12,4.313340e-13,1.952354e-12,1.142657e-12,5.478699e-12,1.475616e-12,2.006611e-10,1.004933e-11,1.004176e-11,2.207522e-10,1.015300e-10,1.187304e-11,2.405633e-11,1.374593e-10,1.942871e-12,1.942871e-12,2.099159e-11,4.889966e-11,1.135090e-12,7.102634e-11,9.110986e-11,3.654231e-11,1.125706e-10,2.402228e-10,1.090675e-12,1.090675e-12,4.652596e-09,1.607287e-10,3.736185e-10,2.580664e-10,8.309464e-14,7.567263e-08,8.111773e-08
