date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms
2018-08-26,3.950000e+01,-1.227000e+02,2.778450e-07,1.035364e-08,1.537788e-08,9.540764e-09,2.331178e-08,4.356814e-06,6.500551e-09,7.667992e-11,4.186498e-10,3.738000e-09,1.535573e-09,2.161931e-09,1.420164e-09,6.130930e-10,3.410153e-09,2.272350e-09,2.146423e-09,1.497645e-09,8.215464e-10,1.266310e-09,7.296323e-11,7.291212e-10,2.752767e-10,3.912517e-10,2.473335e-11,1.357171e-10,7.938263e-11,3.105153e-10,8.776004e-11,1.226993e-08,6.133751e-10,6.130930e-10,1.349640e-08,6.002694e-09,6.912618e-10,1.420164e-09,8.114120e-09,1.266310e-09,2.983477e-09,7.296323e-11,4.322751e-09,5.682503e-09,2.146423e-09,6.577231e-09,1.440616e-08,2.778450e-07,9.540764e-09,2.331178e-08,1.537788e-08,4.356814e-06,1.615160e+03,5.330719e+02,1.082088e+03,5.330719e+02,1.082088e+03,1.292234e-10,1.099566e-10,2.301567e-11,1.292234e-10,1.292234e-10,1.099566e-10,1.099566e-10,2.301567e-11
2018-08-26,3.950000e+01,-1.229000e+02,2.491129e-08,1.043751e-09,1.359052e-09,8.234147e-10,2.621181e-09,3.026168e-07,5.041244e-10,5.326056e-12,5.227287e-11,3.023885e-10,1.362934e-10,2.166178e-10,1.186327e-10,6.213781e-11,4.211992e-10,2.197631e-10,1.733499e-10,1.534982e-10,8.611306e-11,1.200565e-10,9.269630e-12,6.594861e-11,2.299511e-11,2.775315e-11,1.672935e-12,2.230966e-11,1.303135e-11,1.890414e-11,7.643319e-12,1.249522e-09,6.188847e-11,6.213781e-11,1.373549e-09,5.046306e-10,5.242120e-11,1.186327e-10,6.756845e-10,1.200565e-10,3.027309e-10,9.269630e-12,4.320570e-10,6.409622e-10,1.733499e-10,5.094504e-10,1.323763e-09,2.491129e-08,8.234147e-10,2.621181e-09,1.359052e-09,3.026168e-07,2.081891e+03,1.242810e+03,8.390811e+02,1.242810e+03,8.390811e+02,1.916710e-11,3.385761e-11,1.174269e-11,1.916710e-11,1.916710e-11,3.385761e-11,3.385761e-11,1.174269e-11
2018-08-26,4.010000e+01,-1.147000e+02,4.279241e-09,1.491073e-10,2.306270e-10,1.479188e-10,3.346189e-10,6.805259e-08,9.855062e-11,1.197726e-12,5.600664e-12,5.637751e-11,2.422994e-11,3.185556e-11,2.194363e-11,9.113544e-12,4.991991e-11,3.369701e-11,3.311178e-11,2.178016e-11,1.180582e-11,2.000941e-11,9.831426e-13,1.065008e-11,4.253431e-12,6.092155e-12,3.913748e-13,1.673225e-12,9.773510e-13,4.947568e-12,1.335279e-12,1.764881e-10,8.933423e-12,9.113544e-12,1.945351e-10,9.125754e-11,1.073696e-11,2.194363e-11,1.239381e-10,2.000941e-11,4.366139e-11,9.831426e-13,6.465395e-11,8.361691e-11,3.311178e-11,9.974834e-11,2.164770e-10,4.279241e-09,1.479188e-10,3.346189e-10,2.306270e-10,6.805259e-08,3.591700e+03,2.083224e+03,1.508477e+03,2.083224e+03,1.508477e+03,1.854881e-12,9.673603e-13,,1.854881e-12,1.854881e-12,9.673603e-13,9.673603e-13,
2018-08-26,4.010000e+01,-1.149000e+02,3.510506e-07,1.279527e-08,1.946328e-08,1.212441e-08,2.820094e-08,5.709177e-06,8.391965e-09,1.004815e-10,4.937920e-10,4.797215e-09,1.941424e-09,2.680115e-09,1.815150e-09,7.572528e-10,4.040392e-09,2.836409e-09,2.757043e-09,1.845091e-09,1.009745e-09,1.585032e-09,8.560364e-11,9.191843e-10,3.517056e-10,5.116056e-10,3.254550e-11,1.474297e-10,8.622408e-11,4.133065e-10,1.113346e-10,1.513416e-08,7.582949e-10,7.572528e-10,1.664970e-08,7.657823e-09,8.958567e-10,1.815150e-09,1.036883e-08,1.585032e-09,3.689860e-09,8.560364e-11,5.360495e-09,6.876801e-09,2.757043e-09,8.492447e-09,1.812629e-08,3.510506e-07,1.212441e-08,2.820094e-08,1.946328e-08,5.709177e-06,2.277488e+03,1.216229e+03,1.061259e+03,1.216229e+03,1.061259e+03,1.465356e-10,8.222563e-11,6.223627e-12,1.465356e-10,1.465356e-10,8.222563e-11,8.222563e-11,6.223627e-12
2018-08-26,4.050000e+01,-1.161000e+02,1.528300e-10,9.319208e-12,8.236680e-12,4.930627e-12,1.858994e-11,2.895855e-09,3.790409e-12,5.096704e-14,,1.708410e-12,,,6.857384e-13,4.142520e-13,3.119994e-12,1.465087e-12,9.738759e-13,1.037150e-12,6.944602e-13,,,4.096187e-13,1.329197e-13,1.353812e-13,1.534803e-14,,,1.476886e-13,4.604409e-14,1.035636e-11,1.937327e-13,4.142520e-13,1.096434e-11,2.118028e-12,2.836490e-13,6.857384e-13,3.087416e-12,,6.944602e-13,,6.944602e-13,4.585081e-12,9.738759e-13,3.841376e-12,9.400333e-12,1.528300e-10,4.930627e-12,1.858994e-11,8.236680e-12,2.895855e-09,1.541616e+03,1.066626e+03,4.749897e+02,1.066626e+03,4.749897e+02,,,,,,,,
2018-08-26,4.090000e+01,-1.223000e+02,3.285846e-08,1.481754e-09,1.770886e-09,1.060085e-09,3.996837e-09,3.113044e-07,5.875134e-10,5.478957e-12,8.354326e-11,3.673080e-10,1.786958e-10,3.058134e-10,1.474338e-10,8.906418e-11,6.707987e-10,3.032730e-10,2.093833e-10,2.229873e-10,1.256973e-10,1.643630e-10,1.509826e-11,8.806801e-11,2.857774e-11,2.910696e-11,1.649913e-12,3.997148e-11,2.334783e-11,1.587652e-11,9.899479e-12,1.788285e-09,8.909531e-11,8.906418e-11,1.966444e-09,6.340718e-10,5.933462e-11,1.474338e-10,8.408402e-10,1.643630e-10,4.315107e-10,1.509826e-11,6.109720e-10,9.740717e-10,2.093833e-10,5.929923e-10,1.776447e-09,3.285846e-08,1.060085e-09,3.996837e-09,1.770886e-09,3.113044e-07,2.777065e+03,1.676970e+03,1.100095e+03,1.676970e+03,1.100095e+03,3.153297e-11,6.932749e-11,2.524679e-11,3.153297e-11,3.153297e-11,6.932749e-11,6.932749e-11,2.524679e-11
2018-08-26,4.110000e+01,-1.223000e+02,3.881883e-08,1.761330e-09,2.092117e-09,1.252379e-09,4.721845e-09,3.677736e-07,6.936448e-10,6.472814e-12,9.941180e-11,4.339360e-10,2.104976e-10,3.610297e-10,1.741775e-10,1.052200e-10,7.924785e-10,3.604114e-10,2.473645e-10,2.634362e-10,1.479200e-10,1.958064e-10,1.783702e-11,1.040431e-10,3.376161e-11,3.438683e-11,1.949200e-12,4.722213e-11,2.758302e-11,1.875645e-11,1.169520e-11,2.124178e-09,1.052568e-10,1.052200e-10,2.334655e-09,7.484768e-10,7.009764e-11,1.741775e-10,9.927520e-10,1.958064e-10,5.089498e-10,1.783702e-11,7.225932e-10,1.152890e-09,2.473645e-10,7.001176e-10,2.100372e-09,3.881883e-08,1.252379e-09,4.721845e-09,2.092117e-09,3.677736e-07,1.581652e+03,1.154386e+03,4.272657e+02,1.154386e+03,4.272657e+02,3.771591e-11,8.190317e-11,2.982643e-11,3.771591e-11,3.771591e-11,8.190317e-11,8.190317e-11,2.982643e-11
2018-08-26,4.150000e+01,-1.161000e+02,1.528300e-09,5.591525e-11,8.236680e-11,4.930627e-11,1.115396e-10,2.461477e-08,3.411368e-11,4.332199e-13,1.866888e-12,2.050091e-11,7.571856e-12,1.061852e-11,7.543122e-12,3.314016e-12,1.871996e-11,1.172070e-11,1.168651e-11,8.297203e-12,4.166762e-12,7.146221e-12,3.511224e-13,4.096186e-12,1.462117e-12,2.166099e-12,1.381323e-13,5.577416e-13,3.257837e-13,1.772263e-12,4.604409e-13,6.607934e-11,3.116229e-12,3.314016e-12,7.250959e-11,3.216895e-11,3.766349e-12,7.543122e-12,4.347843e-11,7.146221e-12,1.478528e-11,3.511224e-13,2.228263e-11,3.044066e-11,1.168651e-11,3.454690e-11,7.667407e-11,1.528300e-09,4.930627e-11,1.115396e-10,8.236680e-11,2.461477e-08,4.550053e+03,3.500047e+03,1.050005e+03,3.500047e+03,1.050005e+03,6.182937e-13,3.224534e-13,,6.182937e-13,6.182937e-13,3.224534e-13,3.224534e-13,
2018-08-26,4.150000e+01,-1.159000e+02,1.986791e-08,7.362175e-10,1.103715e-09,6.902878e-10,1.617325e-09,3.243358e-07,4.775915e-10,5.708309e-12,2.800333e-11,2.733455e-10,1.105491e-10,1.529067e-10,1.035465e-10,4.308221e-11,2.277595e-10,1.611596e-10,1.567940e-10,1.057893e-10,5.764020e-11,9.004237e-11,4.845489e-12,5.243119e-11,2.007088e-11,2.910696e-11,1.857112e-12,8.366125e-12,4.886755e-12,2.355633e-11,6.308040e-12,8.700101e-10,4.311725e-11,4.308221e-11,9.562096e-10,4.363258e-10,5.103495e-11,1.035465e-10,5.909073e-10,9.004237e-11,2.105469e-10,4.845489e-12,3.054348e-10,3.889191e-10,1.567940e-10,4.832998e-10,1.029013e-09,1.986791e-08,6.902878e-10,1.617325e-09,1.103715e-09,3.243358e-07,1.956755e+03,1.118703e+03,8.380511e+02,1.118703e+03,8.380511e+02,8.656111e-12,4.836802e-12,3.522808e-13,8.656111e-12,8.656111e-12,4.836802e-12,4.836802e-12,3.522808e-13
2018-08-26,4.150000e+01,-1.211000e+02,9.169801e-10,3.727683e-11,5.765676e-11,3.451439e-11,7.435976e-11,1.592720e-08,2.274245e-11,2.803187e-13,1.400166e-12,1.366728e-11,6.057485e-12,8.494817e-12,4.800169e-12,2.071260e-12,1.247998e-11,7.325435e-12,7.791007e-12,5.185752e-12,2.777841e-12,4.287732e-12,2.106734e-13,2.457712e-12,9.304381e-13,1.489193e-12,9.208818e-14,3.718278e-13,2.171891e-13,1.181509e-12,3.223086e-13,4.386275e-11,2.092834e-12,2.071260e-12,4.802684e-11,2.218247e-11,2.511720e-12,4.800169e-12,2.949436e-11,4.287732e-12,1.127266e-11,2.106734e-13,1.577106e-11,1.980541e-11,7.791007e-12,2.302277e-11,5.061919e-11,9.169801e-10,3.451439e-11,7.435976e-11,5.765676e-11,1.592720e-08,1.679035e+03,1.258903e+03,4.201318e+02,1.258903e+03,4.201318e+02,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,
