date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-21,4.090000e+01,-1.223000e+02,5.807541e-09,2.516186e-10,3.129938e-10,1.873638e-10,7.064178e-10,5.502124e-08,1.023410e-10,9.683738e-13,1.493511e-11,6.491956e-11,3.180179e-11,5.309260e-11,2.605806e-11,1.574158e-11,1.185598e-10,5.567330e-11,3.700729e-11,3.941171e-11,2.222273e-11,3.001413e-11,2.668530e-12,1.556551e-11,5.050950e-12,5.144486e-12,2.916126e-13,7.064727e-12,4.126593e-12,2.806083e-12,1.749675e-12,3.059654e-10,1.574708e-11,1.574158e-11,3.374541e-10,1.122869e-10,1.048705e-11,2.605806e-11,1.488320e-10,3.001413e-11,7.531533e-11,2.668530e-12,1.079980e-10,1.742331e-10,3.700729e-11,1.033094e-10,3.145497e-10,5.807541e-09,1.873638e-10,7.064178e-10,3.129938e-10,5.502124e-08,7.359824e+02,2.037696e+02,5.322128e+02,5.564642e-12,1.225323e-11,4.462222e-12,5.564642e-12,5.564642e-12,1.225323e-11,1.225323e-11,4.462222e-12,2.037696e+02,5.322128e+02
2018-08-21,4.110000e+01,-1.223000e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.250011e+02,,,,,,,,,,2.250011e+02
2018-08-21,4.110000e+01,-1.237000e+02,6.113202e-10,2.795762e-11,3.294672e-11,1.972251e-11,7.435976e-11,5.791710e-09,1.137123e-11,1.019341e-13,1.400166e-12,6.833638e-12,3.028743e-12,6.371112e-12,2.742954e-12,1.657008e-12,1.247998e-11,5.860348e-12,3.895504e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.808979e-13,1.638475e-12,5.316789e-13,5.415248e-13,3.069606e-14,7.436555e-13,4.343782e-13,2.953772e-13,1.841764e-13,3.350639e-11,1.657587e-12,1.657008e-12,3.682099e-11,1.150086e-11,1.103900e-12,2.742954e-12,1.534771e-11,2.858488e-12,8.454493e-12,2.808979e-13,1.159388e-11,1.834032e-11,3.895504e-12,1.147316e-11,3.370899e-11,6.113202e-10,1.972251e-11,7.435976e-11,3.294672e-11,5.791710e-09,6.530529e-09,,,6.182936e-13,1.289814e-12,4.697077e-13,6.182936e-13,6.182936e-13,1.289814e-12,1.289814e-12,4.697077e-13,,
2018-08-21,4.130000e+01,-1.209000e+02,9.322632e-09,3.448107e-10,5.189108e-10,3.254214e-10,7.435976e-10,1.520324e-07,2.236341e-10,2.675770e-12,1.306822e-11,1.281307e-10,5.148863e-11,7.220594e-11,4.868743e-11,2.029835e-11,1.091998e-10,7.618454e-11,7.401457e-11,4.978322e-11,2.708395e-11,4.287732e-11,2.317408e-12,2.457712e-11,9.437301e-12,1.367350e-11,8.671637e-13,3.904192e-12,2.280486e-12,1.100280e-11,2.992866e-12,4.076621e-10,2.018034e-11,2.029835e-11,4.481408e-10,2.041965e-10,2.397797e-11,4.868743e-11,2.768619e-10,4.287732e-11,9.928990e-11,2.317408e-12,1.444846e-10,1.853843e-10,7.401457e-11,2.263099e-10,4.857088e-10,9.322632e-09,3.254214e-10,7.435976e-10,5.189108e-10,1.520324e-07,4.750217e+02,2.500206e+02,2.250011e+02,3.709762e-12,2.257174e-12,1.174269e-13,3.709762e-12,3.709762e-12,2.257174e-12,2.257174e-12,1.174269e-13,2.500206e+02,2.250011e+02
2018-08-21,4.130000e+01,-1.211000e+02,6.418862e-09,2.329802e-10,3.541772e-10,2.218782e-10,5.205183e-10,1.042508e-07,1.516163e-10,1.834814e-12,8.867720e-12,8.712889e-11,3.483054e-11,4.884520e-11,3.291544e-11,1.367032e-11,7.487985e-11,5.127804e-11,5.064155e-11,3.318881e-11,1.875043e-11,2.858488e-11,1.544938e-12,1.679436e-11,6.380147e-12,9.341304e-12,5.908992e-13,2.602794e-12,1.520324e-12,7.532118e-12,2.025940e-12,2.750368e-10,1.368118e-11,1.367032e-11,3.023883e-10,1.387538e-10,1.631235e-11,3.291544e-11,1.879816e-10,2.858488e-11,6.759562e-11,1.544938e-12,9.772544e-11,1.261579e-10,5.064155e-11,1.534512e-10,3.302506e-10,6.418862e-09,2.218782e-10,5.205183e-10,3.541772e-10,1.042508e-07,8.569393e+02,4.890712e+02,3.678681e+02,2.473174e-12,1.612267e-12,1.174269e-13,2.473174e-12,2.473174e-12,1.612267e-12,1.612267e-12,1.174269e-13,4.890712e+02,3.678681e+02
2018-08-21,4.150000e+01,-1.209000e+02,5.043391e-09,1.863842e-10,2.800471e-10,1.775026e-10,4.089787e-10,8.253186e-08,1.212931e-10,1.452561e-12,7.000831e-12,7.004479e-11,2.877306e-11,3.822668e-11,2.605806e-11,1.077055e-11,5.927989e-11,4.102244e-11,3.992892e-11,2.696591e-11,1.458366e-11,2.286790e-11,1.264041e-12,1.310780e-11,5.050950e-12,7.445967e-12,4.681149e-13,2.045053e-12,1.194540e-12,5.981388e-12,1.611543e-12,2.203509e-10,1.083252e-11,1.077055e-11,2.419540e-10,1.119256e-10,1.296503e-11,2.605806e-11,1.509487e-10,2.286790e-11,5.281034e-11,1.264041e-12,7.694228e-11,1.003023e-10,3.992892e-11,1.227456e-10,2.629769e-10,5.043391e-09,1.775026e-10,4.089787e-10,2.800471e-10,8.253186e-08,3.375734e+02,2.040911e+02,1.334824e+02,1.854881e-12,1.289814e-12,1.174269e-13,1.854881e-12,1.854881e-12,1.289814e-12,1.289814e-12,1.174269e-13,2.040911e+02,1.334824e+02
2018-08-21,4.150000e+01,-1.211000e+02,3.117733e-08,1.164901e-09,1.729703e-09,1.069946e-09,2.621181e-09,4.893995e-07,7.277584e-10,8.613431e-12,4.667220e-11,4.202687e-10,1.726383e-10,2.421023e-10,1.597771e-10,6.876583e-11,3.806393e-10,2.549251e-10,2.415212e-10,1.680183e-10,9.166874e-11,1.414951e-10,8.146039e-12,8.192373e-11,3.097030e-11,4.399889e-11,2.785668e-12,1.524494e-11,8.904754e-12,3.492835e-11,9.853436e-12,1.379592e-09,6.893148e-11,6.876583e-11,1.517289e-09,6.748308e-10,7.775487e-11,1.597771e-10,9.123627e-10,1.414951e-10,3.337710e-10,8.146039e-12,4.834122e-10,6.355644e-10,2.415212e-10,7.363719e-10,1.613457e-09,3.117733e-08,1.069946e-09,2.621181e-09,1.729703e-09,4.893995e-07,1.235468e+03,4.943151e+02,7.411533e+02,1.422075e-11,1.225323e-11,2.465965e-12,1.422075e-11,1.422075e-11,1.225323e-11,1.225323e-11,2.465965e-12,4.943151e+02,7.411533e+02
2018-08-21,4.170000e+01,-1.161000e+02,1.363244e-07,4.976457e-09,7.569509e-09,4.708749e-09,1.096806e-08,2.219673e-06,3.263542e-09,3.906624e-11,1.918228e-10,1.865583e-09,7.556714e-10,1.040615e-09,7.056248e-10,2.945332e-10,1.572477e-09,1.101745e-09,1.072237e-09,7.177080e-10,3.923701e-10,6.145749e-10,3.328640e-11,3.575971e-10,1.367744e-10,1.988750e-10,1.265445e-11,5.726148e-11,3.355572e-11,1.606113e-10,4.323540e-11,5.885988e-09,2.946640e-10,2.945332e-10,6.475185e-09,2.978852e-09,3.483039e-10,7.056248e-10,4.032780e-09,6.145749e-10,1.432985e-09,3.328640e-11,2.080846e-09,2.674222e-09,1.072237e-09,3.302608e-09,7.049068e-09,1.363244e-07,4.708749e-09,1.096806e-08,7.569509e-09,2.219673e-06,1.264104e+03,5.087208e+02,7.553828e+02,5.750130e-11,3.192289e-11,2.465965e-12,5.750130e-11,5.750130e-11,3.192289e-11,3.192289e-11,2.465965e-12,5.087208e+02,7.553828e+02
2018-08-21,4.170000e+01,-1.159000e+02,8.558483e-09,3.075338e-10,4.777274e-10,2.958376e-10,6.878278e-10,1.390010e-07,2.046821e-10,2.446418e-12,1.213477e-11,1.161718e-10,4.694551e-11,6.583483e-11,4.457300e-11,1.864134e-11,9.983980e-11,6.885909e-11,6.719744e-11,4.459746e-11,2.430611e-11,3.858958e-11,2.106734e-12,2.252903e-11,8.506863e-12,1.245507e-11,7.904236e-13,3.532364e-12,2.063297e-12,1.004282e-11,2.716601e-12,3.642661e-10,1.835508e-11,1.864134e-11,4.012625e-10,1.856464e-10,2.175236e-11,4.457300e-11,2.519717e-10,3.858958e-11,9.014094e-11,2.106734e-12,1.308373e-10,1.686989e-10,6.719744e-11,2.071285e-10,4.430248e-10,8.558483e-09,2.958376e-10,6.878278e-10,4.777274e-10,1.390010e-07,6.499733e+02,3.999847e+02,2.499886e+02,3.709762e-12,1.934721e-12,1.174269e-13,3.709762e-12,3.709762e-12,1.934721e-12,1.934721e-12,1.174269e-13,3.999847e+02,2.499886e+02
2018-08-21,4.190000e+01,-1.161000e+02,8.099992e-09,2.982146e-10,4.530174e-10,2.810457e-10,6.506479e-10,1.317614e-07,1.933109e-10,2.319000e-12,1.166805e-11,1.110466e-10,4.543114e-11,6.158742e-11,4.251578e-11,1.781284e-11,9.359981e-11,6.592892e-11,6.427581e-11,4.252317e-11,2.361165e-11,3.716034e-11,1.966285e-12,2.170979e-11,8.241024e-12,1.191355e-11,7.597275e-13,3.532364e-12,2.063297e-12,9.673603e-12,2.578469e-12,3.524059e-10,1.784773e-11,1.781284e-11,3.880664e-10,1.781875e-10,2.091430e-11,4.251578e-11,2.416176e-10,3.716034e-11,8.519907e-11,1.966285e-12,1.243257e-10,1.595287e-10,6.427581e-11,1.956299e-10,4.194344e-10,8.099992e-09,2.810457e-10,6.506479e-10,4.530174e-10,1.317614e-07,1.063648e+03,5.659218e+02,4.977263e+02,3.709762e-12,1.934721e-12,1.174269e-13,3.709762e-12,3.709762e-12,1.934721e-12,1.934721e-12,1.174269e-13,5.659218e+02,4.977263e+02
2018-08-21,4.190000e+01,-1.159000e+02,1.069810e-09,3.727683e-11,5.765676e-11,3.451439e-11,7.435976e-11,1.592720e-08,2.274245e-11,2.803187e-13,1.400166e-12,1.366728e-11,6.057485e-12,8.494817e-12,5.485907e-12,2.071260e-12,1.247997e-11,8.790521e-12,7.791007e-12,5.185752e-12,2.777841e-12,4.287732e-12,2.808979e-13,2.457712e-12,1.063358e-12,1.489193e-12,9.208818e-14,3.718278e-13,2.171891e-13,1.181509e-12,3.223086e-13,4.386275e-11,2.092834e-12,2.071260e-12,4.802684e-11,2.218247e-11,2.644639e-12,5.485907e-12,3.031302e-11,4.287732e-12,1.127266e-11,2.808979e-13,1.584129e-11,2.127050e-11,7.791007e-12,2.302277e-11,5.208427e-11,1.069810e-09,3.451439e-11,7.435976e-11,5.765676e-11,1.592720e-08,3.750339e+02,2.500206e+02,1.250134e+02,6.182937e-13,3.224534e-13,,6.182937e-13,6.182937e-13,3.224534e-13,3.224534e-13,,2.500206e+02,1.250134e+02
