date,lat,lon,apt,other_altitude_of_plume_top,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,other_mean_altitude_of_maximum_injection
2018-08-22,4.250000e+01,-1.229000e+02,,,4.584901e-09,2.050226e-10,2.471004e-10,1.479188e-10,5.576982e-10,4.343782e-08,7.959858e-11,7.645056e-13,1.166805e-11,5.125229e-11,2.422994e-11,4.328055e-12,9.673603e-12,4.247408e-11,2.057215e-11,1.242756e-11,9.359982e-11,4.248752e-11,2.921628e-11,3.111451e-11,3.522807e-12,1.736151e-11,2.286790e-11,2.106734e-12,1.228856e-11,3.987592e-12,4.061437e-12,2.302205e-13,5.577416e-12,3.257837e-12,2.215329e-12,1.381323e-12,2.478051e-10,1.243190e-11,1.242756e-11,2.726646e-10,8.777079e-11,8.279249e-12,2.057215e-11,1.166222e-10,4.328055e-12,4.328055e-12,2.286790e-11,5.983559e-11,2.106734e-12,8.481022e-11,1.360873e-10,2.921628e-11,8.036309e-11,2.456667e-10,9.673603e-12,9.673603e-12,4.584901e-09,1.479188e-10,5.576982e-10,2.471004e-10,3.522807e-12,4.343782e-08,4.897896e-08,,
2018-08-22,4.250000e+01,-1.231000e+02,,,6.113202e-10,2.795762e-11,3.294672e-11,1.972251e-11,7.435976e-11,5.791710e-09,1.137123e-11,1.019341e-13,1.866888e-12,6.833638e-12,3.028743e-12,6.182936e-13,1.289814e-12,6.371112e-12,2.742954e-12,1.657008e-12,1.247998e-11,5.860348e-12,3.895504e-12,4.148602e-12,4.697077e-13,2.777841e-12,2.858488e-12,2.808979e-13,1.638475e-12,5.316789e-13,5.415248e-13,3.069606e-14,7.436555e-13,4.343782e-13,2.953772e-13,1.841764e-13,3.397312e-11,1.657587e-12,1.657008e-12,3.728771e-11,1.150086e-11,1.103900e-12,2.742954e-12,1.534771e-11,6.182936e-13,6.182936e-13,2.858488e-12,9.148953e-12,2.808979e-13,1.228834e-11,1.834032e-11,3.895504e-12,1.147316e-11,3.370899e-11,1.289814e-12,1.289814e-12,6.113202e-10,1.972251e-11,7.435976e-11,3.294672e-11,4.697077e-13,5.791710e-09,6.530529e-09,,
2018-08-22,4.250000e+01,-1.239000e+02,2.873362e+02,2.873362e+02,3.362261e-09,1.491073e-10,1.812070e-10,1.084738e-10,4.089787e-10,3.185441e-08,6.064654e-11,5.606375e-13,8.400997e-12,3.758501e-11,1.817245e-11,3.709762e-12,7.093976e-12,3.185556e-11,1.508624e-11,9.113544e-12,6.863987e-11,3.076683e-11,2.142527e-11,2.281731e-11,2.583392e-12,1.250028e-11,1.715093e-11,1.544938e-12,9.011611e-12,2.924234e-12,2.978387e-12,1.688283e-13,4.090105e-12,2.389080e-12,1.624574e-12,1.012970e-12,1.803256e-10,9.116730e-12,9.113544e-12,1.985559e-10,6.476907e-11,6.071449e-12,1.508624e-11,8.592677e-11,3.709762e-12,3.709762e-12,1.715093e-11,4.435585e-11,1.544938e-12,6.305171e-11,9.940671e-11,2.142527e-11,6.120717e-11,1.820391e-10,7.093976e-12,7.093976e-12,3.362261e-09,1.084738e-10,4.089787e-10,1.812070e-10,2.583392e-12,3.185441e-08,7.142035e+02,4.268674e+02,4.268674e+02
2018-08-22,4.270000e+01,-1.115000e+02,,,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,,,2.123704e-12,1.371477e-12,8.285040e-13,3.119994e-12,2.930174e-12,1.947752e-12,2.074301e-12,,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,3.069606e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.186023e-11,7.558181e-13,8.285040e-13,1.344455e-11,5.750428e-12,7.026791e-13,1.371477e-12,7.824584e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,1.947752e-12,7.657269e-12,1.565519e-11,,,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,,4.343782e-09,4.694367e-09,,
2018-08-22,4.270000e+01,-1.207000e+02,1.839417e+03,1.839417e+03,3.255280e-08,1.472435e-09,1.754413e-09,1.050224e-09,3.959657e-09,3.084085e-07,5.837230e-10,5.427990e-12,8.307652e-11,3.638913e-10,1.756671e-10,3.153297e-11,6.868258e-11,3.036897e-10,1.460623e-10,8.823568e-11,6.645587e-10,3.018080e-10,2.074356e-10,2.209130e-10,2.501193e-11,1.236139e-10,1.629338e-10,1.495781e-11,8.724878e-11,2.831190e-11,2.883620e-11,1.634565e-12,3.959966e-11,2.313064e-11,1.572883e-11,9.807392e-12,1.776424e-09,8.826652e-11,8.823568e-11,1.952926e-09,6.268071e-10,5.878267e-11,1.460623e-10,8.316520e-10,3.153297e-11,3.153297e-11,1.629338e-10,4.273036e-10,1.495781e-11,6.051952e-10,9.663668e-10,2.074356e-10,5.891510e-10,1.762953e-09,6.868258e-11,6.868258e-11,3.255280e-08,1.050224e-09,3.959657e-09,1.754413e-09,2.501193e-11,3.084085e-07,3.564808e+03,1.725391e+03,1.725391e+03
2018-08-22,4.270000e+01,-1.209000e+02,9.168282e+02,9.168282e+02,6.571691e-08,2.982147e-09,3.541772e-09,2.120169e-09,7.993674e-09,6.226088e-07,1.175027e-09,1.095791e-11,1.684867e-10,7.346161e-10,3.573916e-10,6.368424e-11,1.386550e-10,6.137505e-10,2.948675e-10,1.781284e-10,1.341597e-09,6.094762e-10,4.187667e-10,4.459746e-10,5.049357e-11,2.513946e-10,3.315846e-10,3.019652e-11,1.761360e-10,5.715549e-11,5.821392e-11,3.299827e-12,7.994297e-11,4.669566e-11,3.175305e-11,1.979896e-11,3.596608e-09,1.781906e-10,1.781284e-10,3.952927e-09,1.268144e-09,1.186692e-10,2.948675e-10,1.681680e-09,6.368424e-11,6.368424e-11,3.315846e-10,8.651451e-10,3.019652e-11,1.226926e-09,1.951074e-09,4.187667e-10,1.185985e-09,3.555825e-09,1.386550e-10,1.386550e-10,6.571691e-08,2.120169e-09,7.993674e-09,3.541772e-09,5.049357e-11,6.226088e-07,3.499490e+03,2.582662e+03,2.582662e+03
2018-08-22,4.410000e+01,-1.221000e+02,8.250042e+02,8.250042e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,4.410000e+01,-1.223000e+02,7.625166e+02,7.625166e+02,1.528300e-09,5.591525e-11,8.236680e-11,5.423690e-11,1.301296e-10,2.461477e-08,3.790409e-11,4.332199e-13,2.333610e-12,2.050092e-11,9.086228e-12,6.182936e-13,3.224534e-13,1.061852e-11,8.228862e-12,3.314016e-12,1.871996e-11,1.172070e-11,1.168651e-11,8.297203e-12,,4.166762e-12,7.146220e-12,3.511224e-13,4.096186e-12,1.595037e-12,2.166099e-12,1.381323e-13,5.577416e-13,3.257837e-13,1.772263e-12,5.064850e-13,6.654607e-11,3.162273e-12,3.314016e-12,7.302236e-11,3.368333e-11,3.899268e-12,8.228862e-12,4.581146e-11,6.182936e-13,6.182936e-13,7.146220e-12,1.478528e-11,3.511224e-13,2.228262e-11,3.044066e-11,1.168651e-11,3.833731e-11,8.046448e-11,3.224534e-13,3.224534e-13,1.528300e-09,5.423690e-11,1.301296e-10,8.236680e-11,,2.461477e-08,2.878409e+03,2.115893e+03,2.115893e+03
2018-08-22,4.490000e+01,-1.233000e+02,,,1.222640e-09,4.659604e-11,6.589344e-11,4.437565e-11,9.294970e-11,2.027098e-08,3.032327e-11,3.567693e-13,1.866888e-12,1.708409e-11,6.057485e-12,6.182936e-13,3.224534e-13,8.494817e-12,6.171646e-12,2.485512e-12,1.247998e-11,1.025561e-11,9.738759e-12,6.222902e-12,,3.472301e-12,5.716976e-12,2.808979e-13,3.276949e-12,1.196278e-12,1.759956e-12,1.151102e-13,5.577416e-13,3.257837e-13,1.403042e-12,3.683527e-13,5.468583e-11,2.654920e-12,2.485512e-12,5.982626e-11,2.641853e-11,3.071344e-12,6.171646e-12,3.566152e-11,6.182936e-13,6.182936e-13,5.716976e-12,1.196712e-11,2.808979e-13,1.796499e-11,2.273558e-11,9.738759e-12,3.068004e-11,6.315438e-11,3.224534e-13,3.224534e-13,1.222640e-09,4.437565e-11,9.294970e-11,6.589344e-11,,2.027098e-08,2.169684e-08,,
2018-08-22,4.530000e+01,-1.205000e+02,7.704515e+02,7.704515e+02,4.126411e-09,1.491073e-10,2.306270e-10,1.429882e-10,3.346189e-10,6.805259e-08,9.855062e-11,1.197726e-12,5.600664e-12,5.637751e-11,2.271557e-11,1.854881e-12,9.673603e-13,3.185556e-11,2.125789e-11,9.113544e-12,4.679990e-11,3.369700e-11,3.213791e-11,2.178016e-11,1.174269e-13,1.180582e-11,1.858017e-11,9.831427e-13,1.065008e-11,4.120512e-12,6.092155e-12,3.837007e-13,1.673225e-12,9.773510e-13,4.873724e-12,1.335279e-12,1.764881e-10,8.859578e-12,9.113544e-12,1.944613e-10,8.974316e-11,1.059637e-11,2.125789e-11,1.215974e-10,1.854881e-12,1.854881e-12,1.858017e-11,4.366139e-11,9.831427e-13,6.322470e-11,8.049690e-11,3.213791e-11,9.974834e-11,2.123831e-10,9.673603e-13,9.673603e-13,4.126411e-09,1.429882e-10,3.346189e-10,2.306270e-10,1.174269e-13,6.805259e-08,1.361387e+03,5.909359e+02,5.909359e+02
2018-08-22,4.650000e+01,-1.213000e+02,6.590954e+02,6.590954e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,4.750000e+01,-9.870000e+01,,,1.528300e-10,1.863842e-11,2.471004e-11,4.930627e-12,1.858994e-11,2.895855e-09,7.580818e-12,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,1.236587e-12,,2.123704e-12,6.857384e-13,8.285040e-13,6.239988e-12,7.325435e-12,2.921628e-12,3.111451e-12,,6.944602e-13,1.429244e-12,1.404490e-13,4.096187e-13,1.329197e-13,,7.674015e-15,,1.085946e-13,5.907544e-13,1.841764e-13,2.221659e-11,8.835253e-13,8.285040e-13,2.392862e-11,5.340809e-12,1.405937e-13,6.857384e-13,6.167141e-12,1.236587e-12,1.236587e-12,1.429244e-12,2.818165e-12,1.404490e-13,4.387857e-12,1.356542e-11,2.921628e-12,7.631785e-12,2.411884e-11,,,1.528300e-10,4.930627e-12,1.858994e-11,2.471004e-11,,2.895855e-09,3.096916e-09,,
2018-08-22,4.750000e+01,-9.850000e+01,,,3.056601e-10,2.795762e-11,3.294672e-11,4.930627e-12,1.858994e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,1.236587e-12,,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,,6.944602e-13,1.429244e-12,2.106734e-13,8.192373e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,8.122872e-13,2.302205e-13,3.257295e-11,1.445611e-12,1.242756e-12,3.526131e-11,5.750428e-12,2.759750e-13,6.857384e-13,6.712141e-12,1.236587e-12,1.236587e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,,,3.056601e-10,4.930627e-12,1.858994e-11,3.294672e-11,,2.895855e-09,3.257982e-09,,
2018-08-22,4.750000e+01,-9.790001e+01,6.000031e+02,6.000031e+02,4.584901e-10,3.727683e-11,4.942008e-11,9.861254e-12,3.717988e-11,4.343782e-09,1.895204e-11,7.645056e-14,9.334442e-13,6.833638e-12,3.028743e-12,1.854881e-12,,2.123704e-12,1.371477e-12,2.071260e-12,9.359982e-12,1.318578e-11,4.869380e-12,6.222902e-12,,6.944602e-13,1.429244e-12,2.808979e-13,8.192373e-13,2.658395e-13,1.353812e-13,1.534803e-14,1.859139e-13,3.257837e-13,1.107664e-12,3.223086e-13,4.443318e-11,1.941671e-12,2.071260e-12,4.844611e-11,1.068162e-11,4.165687e-13,1.371477e-12,1.246966e-11,1.854881e-12,1.854881e-12,1.429244e-12,2.818165e-12,2.808979e-13,4.528307e-12,2.254577e-11,4.869380e-12,1.902850e-11,4.644364e-11,,,4.584901e-10,9.861254e-12,3.717988e-11,4.942008e-11,,4.343782e-09,2.800040e+03,2.200037e+03,2.200037e+03
