date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2018-09-10,4.350000e+01,-1.055000e+02,1.661922e-10,6.034574e-12,1.074819e-11,6.434062e-12,1.617223e-11,2.834139e-09,4.161555e-12,4.988084e-14,2.137012e-13,2.600889e-12,1.083397e-12,6.949699e-14,7.012919e-14,1.238834e-12,8.948321e-13,3.603765e-13,2.035667e-12,1.541929e-12,1.482632e-12,9.022638e-13,5.077517e-13,8.374880e-13,4.581858e-14,4.454322e-13,1.734493e-13,2.649920e-13,1.668993e-14,8.086743e-14,4.723565e-14,2.087816e-13,6.008374e-14,7.150540e-12,3.969684e-13,3.603765e-13,7.907884e-12,4.129718e-12,4.551312e-13,8.948321e-13,5.479681e-12,6.949699e-14,6.949699e-14,8.374880e-13,1.746585e-12,4.581858e-14,2.629892e-12,3.577596e-12,1.482632e-12,4.211435e-12,9.271664e-12,7.012919e-14,7.012919e-14,1.661922e-10,6.434062e-12,1.617223e-11,1.074819e-11,2.834139e-09,3.033685e-09,,,,,,
2018-09-10,4.350000e+01,-1.053000e+02,2.659075e-10,9.051862e-12,1.433092e-11,8.578749e-12,2.021528e-11,4.093756e-09,5.945079e-12,7.205011e-14,3.205519e-13,3.344000e-12,1.444529e-12,1.389940e-13,7.012919e-14,1.858250e-12,1.342248e-12,5.405647e-13,2.714223e-12,2.158701e-12,2.118046e-12,1.353396e-12,7.616276e-13,1.172483e-12,6.109144e-14,7.126915e-13,2.601739e-13,3.827662e-13,2.336590e-14,1.213011e-13,7.085347e-14,3.051423e-13,8.011166e-14,1.072581e-11,5.774085e-13,5.405647e-13,1.184378e-11,5.501221e-12,6.663060e-13,1.342248e-12,7.509775e-12,1.389940e-13,1.389940e-13,1.172483e-12,2.619878e-12,6.109144e-14,3.853452e-12,4.872924e-12,2.118046e-12,6.017129e-12,1.300810e-11,7.012919e-14,7.012919e-14,2.659075e-10,8.578749e-12,2.021528e-11,1.433092e-11,4.093756e-09,4.402788e-09,,,,,,
2018-09-10,4.470000e+01,-1.153000e+02,2.858505e-09,1.297433e-10,1.540574e-10,9.222156e-11,3.477029e-10,2.708177e-08,5.112768e-11,4.766392e-13,7.372693e-12,3.195378e-11,1.552869e-11,2.779880e-12,6.031111e-12,2.663492e-11,1.282593e-11,7.748095e-12,5.835580e-11,2.652118e-11,1.821520e-11,1.939867e-11,1.091666e-11,1.440479e-11,1.313466e-12,7.661433e-12,2.486107e-12,2.532146e-12,1.435334e-13,3.477299e-12,2.031133e-12,1.381170e-12,8.612003e-13,1.565147e-10,7.750803e-12,7.748095e-12,1.720136e-10,5.514390e-11,5.161785e-12,1.282593e-11,7.313162e-11,2.779880e-12,2.779880e-12,1.440479e-11,3.755158e-11,1.313466e-12,5.326984e-11,8.487698e-11,1.821520e-11,5.160431e-11,1.546965e-10,6.031111e-12,6.031111e-12,2.858505e-09,9.222156e-11,3.477029e-10,1.540574e-10,2.708177e-08,3.053646e-08,,,,,2.196332e-12,2.196332e-12
2018-09-10,4.490000e+01,-1.111000e+02,8.309609e-10,3.771609e-11,4.478412e-11,2.680859e-11,1.010764e-10,7.872607e-09,1.486270e-11,1.385579e-13,2.137012e-12,9.288890e-12,4.514153e-12,8.339639e-13,1.753230e-12,7.742710e-12,3.728467e-12,2.252353e-12,1.696390e-11,7.709645e-12,5.295116e-12,5.639149e-12,3.173448e-12,4.187440e-12,3.818215e-13,2.227161e-12,7.227054e-13,7.360888e-13,4.172482e-14,1.010843e-12,5.904456e-13,4.015030e-13,2.503489e-13,4.549225e-11,2.253141e-12,2.252353e-12,4.999775e-11,1.603020e-11,1.500519e-12,3.728467e-12,2.125919e-11,8.339639e-13,8.339639e-13,4.187440e-12,1.091616e-11,3.818215e-13,1.548542e-11,2.467354e-11,5.295116e-12,1.500125e-11,4.496991e-11,1.753230e-12,1.753230e-12,8.309609e-10,2.680859e-11,1.010764e-10,4.478412e-11,7.872607e-09,8.876876e-09,,,,,6.384685e-13,6.384685e-13
2018-09-10,4.490000e+01,-1.143000e+02,1.628683e-09,7.392353e-11,8.777687e-11,5.254484e-11,1.981098e-10,1.543031e-08,2.913089e-11,2.715735e-13,4.167174e-12,1.820622e-11,8.847740e-12,1.598431e-12,3.436330e-12,1.517571e-11,7.307795e-12,4.414612e-12,3.324923e-11,1.511090e-11,1.037843e-11,1.105273e-11,6.219959e-12,8.207383e-12,7.483701e-13,4.365235e-12,1.416503e-12,1.442734e-12,8.178065e-14,1.981252e-12,1.157273e-12,7.869459e-13,4.906839e-13,8.914344e-11,4.416155e-12,4.414612e-12,9.797421e-11,3.141920e-11,2.941017e-12,7.307795e-12,4.166802e-11,1.598431e-12,1.598431e-12,8.207383e-12,2.139567e-11,7.483701e-13,3.035142e-11,4.836014e-11,1.037843e-11,2.940246e-11,8.814102e-11,3.436330e-12,3.436330e-12,1.628683e-09,5.254484e-11,1.981098e-10,8.777687e-11,1.543031e-08,1.739868e-08,,,,,1.251398e-12,1.251398e-12
2018-09-10,4.510000e+01,-1.135000e+02,2.659075e-10,1.206915e-11,1.433092e-11,8.578749e-12,3.234445e-11,2.519235e-09,4.756063e-12,4.433853e-14,6.411037e-13,2.972445e-12,1.444529e-12,2.779880e-13,5.610335e-13,2.477667e-12,1.193109e-12,7.207530e-13,5.428446e-12,2.467086e-12,1.694437e-12,1.804528e-12,1.015503e-12,1.339981e-12,1.221829e-13,7.126915e-13,2.312657e-13,2.355484e-13,1.335194e-14,3.234697e-13,1.889426e-13,1.284810e-13,8.011166e-14,1.451478e-11,7.210049e-13,7.207530e-13,1.595654e-11,5.129665e-12,4.801661e-13,1.193109e-12,6.802941e-12,2.779880e-13,2.779880e-13,1.339981e-12,3.493171e-12,1.221829e-13,4.955334e-12,7.895533e-12,1.694437e-12,4.800401e-12,1.439037e-11,5.610335e-13,5.610335e-13,2.659075e-10,8.578749e-12,3.234445e-11,1.433092e-11,2.519235e-09,2.840600e-09,,,,,2.043099e-13,2.043099e-13
2018-09-10,4.530000e+01,-1.179000e+02,6.980071e-10,2.564694e-11,3.941002e-11,2.466390e-11,5.660279e-11,1.165146e-08,1.724073e-11,2.050657e-13,9.616556e-13,9.660445e-12,3.972455e-12,2.779880e-13,1.402584e-13,5.574751e-12,3.728467e-12,1.531600e-12,8.142670e-12,5.859330e-12,5.506920e-12,3.834621e-12,2.031007e-12,3.182455e-12,1.680014e-13,1.870815e-12,7.227054e-13,1.030524e-12,6.675971e-14,2.830360e-13,1.653248e-13,8.351262e-13,2.303210e-13,3.044322e-11,1.513808e-12,1.531600e-12,3.348863e-11,1.550371e-11,1.819989e-12,3.728467e-12,2.105217e-11,2.779880e-13,2.779880e-13,3.182455e-12,7.605758e-12,1.680014e-13,1.095621e-11,1.400200e-11,5.506920e-12,1.744579e-11,3.695471e-11,1.402584e-13,1.402584e-13,6.980071e-10,2.466390e-11,5.660279e-11,3.941002e-11,1.165146e-08,1.247017e-08,,,,,2.553874e-14,2.553874e-14
2018-09-10,4.610000e+01,-1.161000e+02,1.994306e-10,1.810372e-11,2.149638e-11,5.361718e-12,2.021528e-11,2.204330e-09,8.323110e-12,3.879621e-14,3.205519e-13,2.972445e-12,1.263963e-12,9.034609e-13,,1.238834e-12,5.965547e-13,9.009412e-13,4.749891e-12,6.167716e-12,2.541656e-12,2.706792e-12,3.808138e-13,6.699904e-13,1.527286e-13,4.454322e-13,1.156329e-13,5.888711e-14,6.675971e-15,8.086743e-14,1.417069e-13,5.460441e-13,1.602233e-13,2.113107e-11,9.288417e-13,9.009412e-13,2.296085e-11,4.681840e-12,1.811959e-13,5.965547e-13,5.459590e-12,9.034609e-13,9.034609e-13,6.699904e-13,1.619647e-12,1.527286e-13,2.442366e-12,1.091761e-11,2.541656e-12,8.361906e-12,2.182117e-11,,,1.994306e-10,5.361718e-12,2.021528e-11,2.149638e-11,2.204330e-09,2.450834e-09,,,,,,
2018-09-10,4.630000e+01,-1.113000e+02,5.318149e-10,1.961237e-11,3.045320e-11,1.930219e-11,4.447362e-11,8.817321e-09,1.307917e-11,1.551848e-13,7.479543e-13,7.431112e-12,3.069624e-12,2.084910e-13,1.402584e-13,4.026209e-12,2.833635e-12,1.171224e-12,6.107002e-12,4.317401e-12,4.236093e-12,2.932357e-12,1.523255e-12,2.512464e-12,1.374557e-13,1.425383e-12,5.492561e-13,7.949760e-13,5.006978e-14,2.426023e-13,1.417069e-13,6.424048e-13,1.702373e-13,2.329268e-11,1.196951e-12,1.171224e-12,2.566085e-11,1.192612e-11,1.394302e-12,2.833635e-12,1.615406e-11,2.084910e-13,2.084910e-13,2.512464e-12,5.549464e-12,1.374557e-13,8.199384e-12,1.042440e-11,4.236093e-12,1.323436e-11,2.789485e-11,1.402584e-13,1.402584e-13,5.318149e-10,1.930219e-11,4.447362e-11,3.045320e-11,8.817321e-09,9.443365e-09,,,,,,
2018-09-10,4.630000e+01,-1.165000e+02,4.653381e-10,4.224202e-11,4.836685e-11,1.179578e-11,4.043057e-11,5.038469e-09,1.842974e-11,8.867705e-14,8.548049e-13,6.688001e-12,2.889058e-12,2.015413e-12,,2.787376e-12,1.342248e-12,1.982071e-12,1.017834e-11,1.387736e-11,5.506920e-12,6.090281e-12,8.885655e-13,1.507478e-12,3.360029e-13,9.799507e-13,2.601739e-13,1.472178e-13,1.668993e-14,1.617349e-13,2.834139e-13,1.220569e-12,3.504885e-13,4.918711e-11,2.016206e-12,1.982071e-12,5.318538e-11,1.055701e-11,4.240816e-13,1.342248e-12,1.232334e-11,2.015413e-12,2.015413e-12,1.507478e-12,3.675941e-12,3.360029e-13,5.519423e-12,2.405570e-11,5.506920e-12,1.851842e-11,4.808104e-11,,,4.653381e-10,1.179578e-11,4.043057e-11,4.836685e-11,5.038469e-09,1.524965e+03,9.999504e+02,5.250149e+02,9.999504e+02,5.250149e+02,,
