date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,c2h6sfire,other_dms
2018-09-16,3.590000e+01,-1.191000e+02,,,3.124991e-10,1.547614e-11,1.796126e-11,1.102026e-11,4.042131e-11,3.224196e-09,6.294624e-12,5.674586e-14,7.750721e-13,3.824393e-12,1.676582e-12,7.152426e-13,3.526775e-12,1.506245e-12,8.992036e-13,6.944423e-12,3.244038e-12,2.232136e-12,2.224001e-12,1.153270e-12,1.582336e-12,1.592257e-13,9.136877e-13,2.984366e-13,2.837293e-13,1.537694e-14,4.123806e-13,2.408765e-13,1.707470e-13,1.019838e-13,1.847522e-11,9.259879e-13,8.992036e-13,2.030041e-11,6.414663e-12,5.975428e-13,1.506245e-12,8.518452e-12,1.582336e-12,4.680045e-12,1.592257e-13,6.421608e-12,1.018846e-11,2.232136e-12,6.351370e-12,1.877197e-11,7.152426e-13,7.152426e-13,3.124991e-10,1.102026e-11,4.042131e-11,1.796126e-11,,,3.224196e-09,3.606338e-09,3.422609e-13,3.422609e-13,3.422609e-13,2.397314e-13,2.397314e-13
2018-09-16,3.610000e+01,-1.137000e+02,,,5.572900e-09,2.011899e-10,3.083349e-10,1.923536e-10,4.468800e-10,9.052552e-08,1.321871e-10,1.593249e-12,7.750720e-12,7.585046e-11,3.101677e-11,1.306095e-12,4.232130e-11,2.874418e-11,1.201663e-11,6.423592e-11,4.460552e-11,4.389868e-11,2.919001e-11,1.614578e-11,2.531738e-11,1.358726e-12,1.455809e-11,5.570816e-12,8.114658e-12,5.166651e-13,2.330847e-12,1.371949e-12,6.556684e-12,1.765595e-12,2.381306e-10,1.202507e-11,1.201663e-11,2.621723e-10,1.214253e-10,1.420214e-11,2.874418e-11,1.643717e-10,2.531738e-11,5.846709e-11,1.358726e-12,8.514319e-11,1.088414e-10,4.389868e-11,1.337803e-10,2.865205e-10,1.306095e-12,1.306095e-12,5.572900e-09,1.923536e-10,4.468800e-10,3.083349e-10,,,9.052552e-08,9.704607e-08,2.395826e-12,2.395826e-12,2.395826e-12,7.991047e-14,7.991047e-14
2018-09-16,3.630000e+01,-1.121000e+02,,,4.687486e-10,2.063486e-11,2.394834e-11,1.502762e-11,5.614070e-11,4.464272e-09,8.392832e-12,7.857119e-14,1.291787e-12,5.099191e-12,2.514873e-12,9.640226e-13,4.702367e-12,2.133848e-12,1.267060e-12,9.374971e-12,4.055047e-12,2.976181e-12,3.058002e-12,1.922117e-12,2.373505e-12,2.123009e-13,1.218250e-12,3.979155e-13,3.972210e-13,2.460310e-14,5.558173e-13,3.246596e-13,2.219711e-13,1.402278e-13,2.498465e-11,1.242676e-12,1.267060e-12,2.749438e-11,8.832314e-12,8.197396e-13,2.133848e-12,1.178590e-11,2.373505e-12,6.624484e-12,2.123009e-13,9.210289e-12,1.343002e-11,2.976181e-12,8.471402e-12,2.487760e-11,9.640226e-13,9.640226e-13,4.687486e-10,1.502762e-11,5.614070e-11,2.394834e-11,,,4.464272e-09,5.028497e-09,3.422609e-13,3.422609e-13,3.422609e-13,3.595971e-13,3.595971e-13
2018-09-16,3.650000e+01,-9.609999e+01,,,2.604159e-10,1.031743e-11,1.496771e-11,9.517494e-12,2.245628e-11,4.464272e-09,6.294624e-12,7.857119e-14,2.583574e-13,3.824393e-12,1.676582e-12,6.219501e-14,2.351183e-12,1.380725e-12,5.722205e-13,3.124991e-12,2.433028e-12,2.232136e-12,1.390001e-12,7.688468e-13,1.582336e-12,6.369028e-14,7.309502e-13,2.652770e-13,3.972210e-13,2.460310e-14,1.075775e-13,6.283735e-14,3.244193e-13,8.286185e-14,1.196579e-11,5.776960e-13,5.722205e-13,1.311570e-11,6.231925e-12,6.871011e-13,1.380725e-12,8.299752e-12,1.582336e-12,3.120030e-12,6.369028e-14,4.766057e-12,5.558019e-12,2.232136e-12,6.373195e-12,1.416335e-11,6.219501e-14,6.219501e-14,2.604159e-10,9.517494e-12,2.245628e-11,1.496771e-11,,,4.464272e-09,4.771629e-09,,,,,
2018-09-16,3.650000e+01,-1.195000e+02,,,1.562495e-10,1.031743e-11,8.980628e-12,5.510128e-12,2.021065e-11,1.736106e-09,2.098208e-12,3.055546e-14,5.167147e-13,1.912197e-12,8.382911e-13,3.731701e-13,1.175592e-12,7.531227e-13,4.904747e-13,3.472212e-12,1.622019e-12,1.116068e-12,1.112001e-12,7.688468e-13,7.911682e-13,8.492038e-14,4.873001e-13,1.657981e-13,1.418646e-13,9.226162e-15,2.151551e-13,1.256747e-13,8.537349e-14,5.099191e-14,1.194614e-11,4.771952e-13,4.904747e-13,1.291381e-11,3.237788e-12,3.168889e-13,7.531227e-13,4.307799e-12,7.911682e-13,1.944439e-12,8.492038e-14,2.820527e-12,5.094231e-12,1.116068e-12,2.128763e-12,8.339062e-12,3.731701e-13,3.731701e-13,1.562495e-10,5.510128e-12,2.021065e-11,8.980628e-12,,,1.736106e-09,1.927177e-09,,,,1.198657e-13,1.198657e-13
2018-09-16,3.670000e+01,-1.195000e+02,,,1.562495e-10,5.158715e-12,8.980628e-12,5.009207e-12,1.796503e-11,1.488091e-09,2.098208e-12,2.619040e-14,5.167147e-13,1.912197e-12,8.382911e-13,3.109750e-13,1.175592e-12,6.276022e-13,4.087289e-13,3.124991e-12,1.622019e-12,1.116068e-12,1.112001e-12,7.688468e-13,7.911682e-13,7.430533e-14,4.263876e-13,1.326385e-13,1.418646e-13,9.226162e-15,1.792959e-13,1.047289e-13,6.829879e-14,4.461792e-14,6.787430e-12,3.969415e-13,4.087289e-13,7.593101e-12,3.176875e-12,2.837293e-13,6.276022e-13,4.088207e-12,7.911682e-13,1.944439e-12,7.430533e-14,2.809912e-12,4.747009e-12,1.116068e-12,2.124398e-12,7.987475e-12,3.109750e-13,3.109750e-13,1.562495e-10,5.009207e-12,1.796503e-11,8.980628e-12,,,1.488091e-09,1.676415e-09,,,,1.198657e-13,1.198657e-13
2018-09-16,3.730000e+01,-1.075000e+02,2.249965e+03,7.374888e+02,1.718745e-09,7.738072e-11,9.279982e-11,5.510128e-11,2.065978e-10,1.612098e-08,3.147312e-11,2.837293e-13,4.392075e-12,1.912197e-11,9.221201e-12,3.607311e-12,1.528269e-11,7.656748e-12,4.618637e-12,3.472212e-11,1.540918e-11,1.078866e-11,1.167601e-11,6.535199e-12,8.702851e-12,7.855135e-13,4.568439e-12,1.492183e-12,1.503765e-12,8.611085e-14,2.079832e-12,1.214855e-12,8.195856e-13,5.099191e-13,9.344880e-11,4.624193e-12,4.618637e-12,1.026916e-10,3.291161e-11,3.082059e-12,7.656748e-12,4.365041e-11,8.702851e-12,2.181789e-11,7.855135e-13,3.130626e-11,5.013130e-11,1.078866e-11,3.175685e-11,9.267680e-11,3.607311e-12,3.607311e-12,1.718745e-09,5.510128e-11,2.065978e-10,9.279982e-11,2.249965e+03,7.374888e+02,1.612098e-08,2.987454e+03,1.711304e-12,1.711304e-12,1.711304e-12,1.318523e-12,1.318523e-12
2018-09-16,3.750000e+01,-1.123000e+02,2.346897e+02,4.520005e+02,2.552076e-09,9.285687e-11,1.406965e-10,8.816205e-11,2.043522e-10,4.166654e-08,6.084803e-11,7.333311e-13,3.617003e-12,3.505694e-11,1.425095e-11,5.908526e-13,1.998506e-11,1.317965e-11,5.517841e-12,2.951380e-11,2.027524e-11,2.008923e-11,1.334401e-11,7.304046e-12,1.186752e-11,6.262878e-13,6.700376e-12,2.553291e-12,3.716854e-12,2.368048e-13,1.075775e-12,6.283734e-13,3.005147e-12,8.094966e-13,1.098179e-10,5.518792e-12,5.517841e-12,1.208545e-10,5.600826e-11,6.506949e-12,1.317965e-11,7.569486e-11,1.186752e-11,2.728911e-11,6.262878e-13,3.978292e-11,4.978903e-11,2.008923e-11,6.158136e-11,1.314596e-10,5.908526e-13,5.908526e-13,2.552076e-09,8.816205e-11,2.043522e-10,1.406965e-10,2.346897e+02,4.520005e+02,4.166654e-08,6.866902e+02,1.026783e-12,1.026783e-12,1.026783e-12,3.995524e-14,3.995524e-14
2018-09-16,3.830000e+01,-9.830000e+01,8.499673e+02,7.749866e+02,5.208318e-10,2.063486e-11,2.993543e-11,1.853407e-11,4.266693e-11,8.680529e-09,1.258925e-11,1.527773e-13,7.750721e-13,7.011388e-12,2.514873e-12,1.243900e-13,3.526775e-12,2.761450e-12,1.144441e-12,6.249981e-12,4.055047e-12,4.092250e-12,2.780001e-12,1.537694e-12,2.373505e-12,1.273806e-13,1.400988e-12,5.305540e-13,7.660691e-13,4.920620e-14,2.151551e-13,1.256747e-13,6.317638e-13,1.657237e-13,2.418993e-11,1.138317e-12,1.144441e-12,2.647269e-11,1.092725e-11,1.345829e-12,2.761450e-12,1.503453e-11,2.373505e-12,5.064469e-12,1.273806e-13,7.565355e-12,1.030503e-11,4.092250e-12,1.274202e-11,2.713930e-11,1.243900e-13,1.243900e-13,5.208318e-10,1.853407e-11,4.266693e-11,2.993543e-11,8.499673e+02,7.749866e+02,8.680529e-09,1.624954e+03,3.422609e-13,3.422609e-13,3.422609e-13,,
2018-09-16,3.850000e+01,-1.087000e+02,9.710692e+02,7.582859e+02,5.208317e-09,1.908724e-10,2.903736e-10,1.803315e-10,4.199324e-10,8.506919e-08,1.258925e-10,1.497218e-12,7.234005e-12,7.138867e-11,2.850190e-11,1.212803e-12,3.997012e-11,2.698690e-11,1.128092e-11,6.006927e-11,4.217249e-11,4.092250e-11,2.752202e-11,1.499251e-11,2.373505e-11,1.273806e-12,1.370532e-11,5.239220e-12,7.603945e-12,4.828358e-13,2.187410e-12,1.288166e-12,6.146892e-12,1.657237e-12,2.256285e-10,1.127970e-11,1.128092e-11,2.481891e-10,1.135959e-10,1.332600e-11,2.698690e-11,1.539088e-10,2.373505e-11,5.496263e-11,1.273806e-12,7.997149e-11,1.022418e-10,4.092250e-11,1.273897e-10,2.705540e-10,1.212803e-12,1.212803e-12,5.208317e-09,1.803315e-10,4.199324e-10,2.903736e-10,9.710692e+02,7.582859e+02,8.506919e-08,1.729355e+03,2.053565e-12,2.053565e-12,2.053565e-12,7.991046e-14,7.991046e-14
