date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms
2018-07-31,3.550000e+01,-9.970000e+01,,,2.811731e-10,1.276203e-11,1.515365e-11,9.071251e-12,2.280089e-11,4.439771e-09,6.705474e-12,7.813996e-14,4.796728e-13,4.190788e-12,1.648124e-12,2.619909e-12,1.682140e-12,7.621310e-13,3.826727e-12,2.608721e-12,2.388952e-12,1.272083e-12,7.158686e-13,1.555478e-12,8.613155e-14,7.536066e-13,3.260568e-13,4.151185e-13,2.823694e-14,1.140133e-13,6.659656e-14,3.622853e-13,8.471082e-14,1.451379e-11,6.276060e-13,7.621310e-13,1.590353e-11,6.592519e-12,7.694123e-13,1.682140e-12,9.044072e-12,1.555478e-12,3.335777e-12,8.613155e-14,4.977387e-12,6.435448e-12,2.388952e-12,6.783614e-12,1.560801e-11,2.811731e-10,9.071251e-12,2.280089e-11,1.515365e-11,,,4.439771e-09,4.767970e-09,2.243010e-13,,,2.243010e-13,2.243010e-13,,,
2018-07-31,3.550000e+01,-1.117000e+02,1.436662e+03,5.242947e+02,2.624282e-09,1.191123e-10,1.414340e-10,8.466501e-11,3.192124e-10,2.486272e-08,4.693832e-11,4.375838e-13,6.715419e-12,2.933552e-11,1.428375e-11,2.445248e-11,1.177498e-11,7.113222e-12,5.357418e-11,2.434805e-11,1.672266e-11,1.780916e-11,1.002216e-11,1.348081e-11,1.205842e-12,7.033662e-12,2.282397e-12,2.324664e-12,1.317724e-13,3.192373e-12,1.864704e-12,1.267999e-12,7.906344e-13,1.436369e-10,7.115709e-12,7.113222e-12,1.578658e-10,5.065292e-11,4.738833e-12,1.177498e-11,6.716674e-11,1.348081e-11,3.447464e-11,1.205842e-12,4.916130e-11,7.792224e-11,1.672266e-11,4.737591e-11,1.420208e-10,2.624282e-09,8.466501e-11,3.192124e-10,1.414340e-10,1.436662e+03,5.242947e+02,2.486272e-08,1.960957e+03,2.467311e-12,5.536927e-12,2.016366e-12,2.467311e-12,2.467311e-12,5.536927e-12,5.536927e-12,2.016366e-12
2018-07-31,3.550000e+01,-1.073000e+02,,,6.560705e-10,2.552406e-11,4.040973e-11,2.419000e-11,5.700222e-11,1.154340e-08,1.676369e-11,2.031639e-13,9.593457e-13,9.429273e-12,3.845624e-12,5.239817e-12,3.364281e-12,1.524262e-12,7.653454e-12,5.217441e-12,5.375141e-12,3.816249e-12,1.789671e-12,3.110957e-12,1.722631e-13,1.758416e-12,6.521135e-13,9.962845e-13,6.118004e-14,3.420399e-13,1.997897e-13,8.151419e-13,2.258955e-13,3.029966e-11,1.582867e-12,1.524262e-12,3.340679e-11,1.503331e-11,1.709578e-12,3.364281e-12,2.010717e-11,3.110957e-12,7.029489e-12,1.722631e-13,1.031271e-11,1.287090e-11,5.375141e-12,1.696685e-11,3.521289e-11,6.560705e-10,2.419000e-11,5.700222e-11,4.040973e-11,,,1.154340e-08,1.232108e-08,2.243010e-13,1.977474e-13,,2.243010e-13,2.243010e-13,1.977474e-13,1.977474e-13,
2018-07-31,3.610000e+01,-1.121000e+02,,,3.748974e-10,1.701604e-11,2.020486e-11,1.209500e-11,4.560177e-11,3.551816e-09,6.705474e-12,6.251197e-14,9.593457e-13,4.190788e-12,2.197499e-12,3.493212e-12,1.682140e-12,1.016175e-12,7.653454e-12,3.478294e-12,2.388952e-12,2.544166e-12,1.431737e-12,2.073971e-12,1.722631e-13,1.004809e-12,3.260568e-13,3.320948e-13,1.882463e-14,4.560532e-13,2.663863e-13,1.811426e-13,1.129478e-13,2.051955e-11,1.016530e-12,1.016175e-12,2.255226e-11,7.393097e-12,6.769762e-13,1.682140e-12,9.752213e-12,2.073971e-12,4.924949e-12,1.722631e-13,7.171183e-12,1.113175e-11,2.388952e-12,6.767986e-12,2.028869e-11,3.748974e-10,1.209500e-11,4.560177e-11,2.020486e-11,,,3.551816e-09,4.004904e-09,4.486019e-13,7.909896e-13,2.880523e-13,4.486019e-13,4.486019e-13,7.909896e-13,7.909896e-13,2.880523e-13
2018-07-31,3.730000e+01,-1.163000e+02,6.000568e+02,3.499896e+02,1.874487e-10,4.254010e-12,1.010243e-11,6.047501e-12,1.140044e-11,2.663862e-09,3.352737e-12,4.688398e-14,2.398364e-13,2.095394e-12,1.098750e-12,8.733029e-13,8.410702e-13,2.540437e-13,1.913364e-12,8.695735e-13,1.194476e-12,6.360416e-13,3.579343e-13,5.184927e-13,4.306577e-14,5.024044e-13,1.630284e-13,2.490711e-13,1.411847e-14,1.140133e-13,6.659656e-14,1.811426e-13,5.647388e-14,5.129888e-12,4.182264e-13,2.540437e-13,5.802158e-12,3.696548e-12,4.262180e-13,8.410702e-13,4.963837e-12,5.184927e-13,1.231237e-12,4.306577e-14,1.792796e-12,2.782937e-12,1.194476e-12,3.399621e-12,7.377034e-12,1.874487e-10,6.047501e-12,1.140044e-11,1.010243e-11,6.000568e+02,3.499896e+02,2.663862e-09,9.500464e+02,,,,,,,,
2018-07-31,3.750000e+01,-1.191000e+02,2.200053e+03,9.177605e+02,5.154840e-08,2.339706e-09,2.778169e-09,1.663063e-09,6.270244e-09,4.883748e-07,9.220028e-10,8.595396e-12,1.319100e-10,5.762334e-10,2.796318e-10,4.803166e-10,2.312943e-10,1.397240e-10,1.052350e-09,4.782655e-10,3.284809e-10,3.498228e-10,1.968639e-10,2.597649e-10,2.368618e-11,1.381612e-10,4.483280e-11,4.566304e-11,2.588386e-12,6.270732e-11,3.662811e-11,2.490711e-11,1.553032e-11,2.821439e-09,1.397729e-10,1.397240e-10,3.100936e-09,9.940265e-10,9.308423e-11,2.312943e-10,1.318405e-09,2.597649e-10,6.771804e-10,2.368618e-11,9.606316e-10,1.530615e-09,3.284809e-10,9.305982e-10,2.789694e-09,5.154840e-08,1.663063e-09,6.270244e-09,2.778169e-09,2.200053e+03,9.177605e+02,4.883748e-07,3.117813e+03,5.001912e-11,1.087611e-10,3.960719e-11,5.001912e-11,5.001912e-11,1.087611e-10,1.087611e-10,3.960719e-11
2018-07-31,3.750000e+01,-1.193000e+02,4.150034e+03,1.499994e+03,1.190299e-08,5.402594e-10,6.415044e-10,3.840163e-10,1.447856e-09,1.127702e-07,2.128988e-10,1.984755e-12,3.045923e-11,1.330575e-10,6.482623e-11,1.109095e-10,5.340796e-11,3.226355e-11,2.429972e-10,1.104358e-10,7.584922e-11,8.077728e-11,4.545766e-11,6.014517e-11,5.469354e-12,3.190268e-11,1.035230e-11,1.054401e-11,5.976819e-13,1.447969e-11,8.457763e-12,5.751279e-12,3.586091e-12,6.514959e-10,3.227482e-11,3.226355e-11,7.160342e-10,2.297864e-10,2.149399e-11,5.340796e-11,3.046884e-10,6.014517e-11,1.563671e-10,5.469354e-12,2.219817e-10,3.534330e-10,7.584922e-11,2.148836e-10,6.441658e-10,1.190299e-08,3.840163e-10,1.447856e-09,6.415044e-10,4.150034e+03,1.499994e+03,1.127702e-07,5.650027e+03,1.166365e-11,2.511392e-11,9.145662e-12,1.166365e-11,1.166365e-11,2.511392e-11,2.511392e-11,9.145662e-12
2018-07-31,3.750000e+01,-1.197000e+02,1.265692e+03,8.363262e+02,3.805209e-08,1.727128e-09,2.050794e-09,1.227643e-09,4.628580e-09,3.605094e-07,6.806057e-10,6.344965e-12,9.737357e-11,4.253650e-10,2.065649e-10,3.545610e-10,1.707372e-10,1.031417e-10,7.768256e-10,3.530468e-10,2.424786e-10,2.582329e-10,1.453213e-10,1.913238e-10,1.748470e-11,1.019881e-10,3.309476e-11,3.370763e-11,1.910700e-12,4.628940e-11,2.703820e-11,1.838598e-11,1.146420e-11,2.082735e-09,1.031778e-10,1.031417e-10,2.289054e-09,7.339180e-10,6.871309e-11,1.707372e-10,9.733684e-10,1.913238e-10,4.998823e-10,1.748470e-11,7.086908e-10,1.129872e-09,2.424786e-10,6.869507e-10,2.059302e-09,3.805209e-08,1.227643e-09,4.628580e-09,2.050794e-09,1.265692e+03,8.363262e+02,3.605094e-07,2.102018e+03,3.700966e-11,8.028544e-11,2.923731e-11,3.700966e-11,3.700966e-11,8.028544e-11,8.028544e-11,2.923731e-11
2018-07-31,3.770000e+01,-1.085000e+02,7.375092e+02,4.624847e+02,2.427461e-08,1.101789e-09,1.308265e-09,7.831513e-10,2.952715e-09,2.299801e-07,4.341794e-10,4.047650e-12,6.211763e-11,2.713535e-10,1.313006e-10,2.261854e-10,1.089186e-10,6.579731e-11,4.955611e-10,2.252195e-10,1.546846e-10,1.647348e-10,9.270498e-11,1.218458e-10,1.115404e-11,6.506137e-11,2.111217e-11,2.150314e-11,1.218895e-12,2.952944e-11,1.724851e-11,1.172899e-11,7.313368e-12,1.328641e-09,6.582031e-11,6.579731e-11,1.460259e-09,4.677154e-10,4.383421e-11,1.089186e-10,6.204682e-10,1.218458e-10,3.188904e-10,1.115404e-11,4.518902e-10,7.207807e-10,1.546846e-10,4.382271e-10,1.313692e-09,2.427461e-08,7.831513e-10,2.952715e-09,1.308265e-09,7.375092e+02,4.624847e+02,2.299801e-07,1.199994e+03,2.355160e-11,5.121657e-11,1.865139e-11,2.355160e-11,2.355160e-11,5.121657e-11,5.121657e-11,1.865139e-11
2018-07-31,3.770000e+01,-1.199000e+02,2.441498e+03,1.632425e+03,3.542781e-08,1.608016e-09,1.909360e-09,1.142977e-09,4.309368e-09,3.356467e-07,6.336674e-10,5.907381e-12,9.065815e-11,3.960295e-10,1.922812e-10,3.301085e-10,1.589623e-10,9.602851e-11,7.232514e-10,3.286988e-10,2.257559e-10,2.404237e-10,1.352992e-10,1.783615e-10,1.627886e-11,9.495444e-11,3.081236e-11,3.138296e-11,1.778927e-12,4.309703e-11,2.517350e-11,1.711798e-11,1.067356e-11,1.939098e-09,9.606207e-11,9.602851e-11,2.131188e-09,6.832651e-10,6.397425e-11,1.589623e-10,9.062017e-10,1.783615e-10,4.654077e-10,1.627886e-11,6.600480e-10,1.051950e-09,2.257559e-10,6.395748e-10,1.917281e-09,3.542781e-08,1.142977e-09,4.309368e-09,1.909360e-09,2.441498e+03,1.632425e+03,3.356467e-07,4.073923e+03,3.454235e-11,7.474851e-11,2.722094e-11,3.454235e-11,3.454235e-11,7.474851e-11,7.474851e-11,2.722094e-11
