date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2017-12-22,3.210000e+01,-1.021000e+02,1.893997e-09,6.906199e-11,1.050547e-10,6.543007e-11,1.520941e-10,3.080512e-08,4.528352e-11,5.421701e-13,2.659727e-12,2.588862e-11,1.048298e-11,7.978534e-13,4.429635e-13,1.445684e-11,9.792947e-12,4.087839e-12,2.178846e-11,1.528149e-11,1.487579e-11,9.959295e-12,3.371555e-14,5.449426e-12,8.545340e-12,4.620768e-13,4.959624e-12,1.897595e-12,2.760139e-12,1.755892e-13,7.947721e-13,4.651573e-13,2.230291e-12,6.006998e-13,8.168102e-11,4.090919e-12,4.087839e-12,8.985978e-11,4.133123e-11,4.833323e-12,9.792947e-12,5.595750e-11,7.978534e-13,7.978534e-13,8.545340e-12,1.990627e-11,4.620768e-13,2.891368e-11,3.706995e-11,1.487579e-11,4.582569e-11,9.777143e-11,4.429635e-13,4.429635e-13,1.893997e-09,6.543007e-11,1.520941e-10,1.050547e-10,3.371555e-14,3.080512e-08,3.302173e-08,,,,
2017-12-22,3.210000e+01,-1.019000e+02,9.405564e-10,3.429609e-11,5.217002e-11,3.249248e-11,7.552973e-11,1.529778e-08,2.248774e-11,2.692409e-13,1.329864e-12,1.285625e-11,5.205834e-12,3.989267e-13,2.214818e-13,7.179248e-12,4.863164e-12,2.030015e-12,1.082012e-11,7.640744e-12,7.387298e-12,4.945772e-12,1.685777e-14,2.706177e-12,4.243604e-12,2.294667e-13,2.462943e-12,9.423432e-13,1.370681e-12,8.719735e-14,3.946827e-13,2.309965e-13,1.107559e-12,2.983067e-13,4.057173e-11,2.031545e-12,2.030015e-12,4.463329e-11,2.052503e-11,2.400222e-12,4.863164e-12,2.778842e-11,3.989267e-13,3.989267e-13,4.243604e-12,9.885426e-12,2.294667e-13,1.435850e-11,1.846086e-11,7.387298e-12,2.275698e-11,4.860514e-11,2.214818e-13,2.214818e-13,9.405564e-10,3.249248e-11,7.552973e-11,5.217002e-11,1.685777e-14,1.529778e-08,1.639854e-08,,,,
2017-12-22,3.210000e+01,-9.609999e+01,4.638361e-10,1.691314e-11,2.572768e-11,1.602369e-11,3.724754e-11,7.544110e-09,1.108984e-11,1.327763e-13,6.540314e-13,6.340070e-12,2.567261e-12,1.994633e-13,1.081655e-13,3.540451e-12,2.398273e-12,1.001103e-12,5.335950e-12,3.757743e-12,3.643051e-12,2.439011e-12,6.743109e-15,1.334553e-12,2.092736e-12,1.131617e-13,1.214602e-12,4.647172e-13,6.759523e-13,4.300143e-14,1.946381e-13,1.139161e-13,5.461936e-13,1.471102e-13,2.000618e-11,1.001858e-12,1.001103e-12,2.200914e-11,1.012193e-11,1.183671e-12,2.398273e-12,1.370388e-11,1.994633e-13,1.994633e-13,2.092736e-12,4.875004e-12,1.131617e-13,7.080902e-12,9.093693e-12,3.643051e-12,1.122262e-11,2.395936e-11,1.081655e-13,1.081655e-13,4.638361e-10,1.602369e-11,3.724754e-11,2.572768e-11,6.743109e-15,7.544110e-09,8.086952e-09,,,,
2017-12-22,3.270000e+01,-1.151000e+02,8.503661e-10,3.100743e-11,4.716742e-11,2.937677e-11,6.828715e-11,1.383087e-08,2.033138e-11,2.434233e-13,1.199058e-12,1.162346e-11,4.706645e-12,3.626606e-13,2.008788e-13,6.490827e-12,4.396834e-12,1.835356e-12,9.782574e-12,6.889195e-12,6.678927e-12,4.471520e-12,1.348622e-14,2.446681e-12,3.836683e-12,2.074630e-13,2.226770e-12,8.519816e-13,1.239246e-12,7.883596e-14,3.568364e-13,2.088461e-13,1.001355e-12,2.697020e-13,3.667800e-11,1.836740e-12,1.835356e-12,4.035010e-11,1.855688e-11,2.170063e-12,4.396834e-12,2.512377e-11,3.626606e-13,3.626606e-13,3.836683e-12,8.937508e-12,2.074630e-13,1.298165e-11,1.667177e-11,6.678927e-12,2.057480e-11,4.392550e-11,2.008788e-13,2.008788e-13,8.503661e-10,2.937677e-11,6.828715e-11,4.716742e-11,1.348622e-14,1.383087e-08,1.482608e-08,,,,
2017-12-22,3.330000e+01,-1.131000e+02,1.262665e-09,4.604133e-11,7.003646e-11,4.362005e-11,1.013961e-10,2.053675e-08,3.018901e-11,3.614467e-13,1.765885e-12,1.725908e-11,6.988654e-12,5.258579e-13,2.935921e-13,9.637895e-12,6.528631e-12,2.725226e-12,1.452564e-11,1.014591e-11,9.917195e-12,6.639530e-12,2.360088e-14,3.632950e-12,5.696893e-12,3.080512e-13,3.306416e-12,1.265064e-12,1.840092e-12,1.170595e-13,5.298480e-13,3.101049e-13,1.486860e-12,4.004666e-13,5.444675e-11,2.727280e-12,2.725226e-12,5.989925e-11,2.755415e-11,3.222215e-12,6.528631e-12,3.730500e-11,5.258579e-13,5.258579e-13,5.696893e-12,1.327084e-11,3.080512e-13,1.927579e-11,2.467155e-11,9.917195e-12,3.055046e-11,6.513920e-11,2.935921e-13,2.935921e-13,1.262665e-09,4.362005e-11,1.013961e-10,7.003646e-11,2.360088e-14,2.053675e-08,2.201449e-08,,,,
2017-12-22,3.350000e+01,-1.109000e+02,3.027819e-09,1.104052e-10,1.679446e-10,1.045991e-10,2.431436e-10,4.924628e-08,7.239203e-11,8.667345e-13,4.273005e-12,4.138657e-11,1.675851e-11,1.269312e-12,7.108020e-13,2.311128e-11,1.565539e-11,6.534981e-12,3.483189e-11,2.442533e-11,2.378103e-11,1.592132e-11,5.394488e-14,8.711667e-12,1.366092e-11,7.386942e-13,7.928651e-12,3.033571e-12,4.412466e-12,2.807038e-13,1.270554e-12,7.436188e-13,3.565431e-12,9.603024e-13,1.305996e-10,6.539906e-12,6.534981e-12,1.436744e-10,6.607373e-11,7.726740e-12,1.565539e-11,8.945587e-11,1.269312e-12,1.269312e-12,1.366092e-11,3.182295e-11,7.386942e-13,4.622256e-11,5.925722e-11,2.378103e-11,7.325877e-11,1.562970e-10,7.108020e-13,7.108020e-13,3.027819e-09,1.045991e-10,2.431436e-10,1.679446e-10,5.394488e-14,4.924628e-08,5.278984e-08,,,,
2017-12-22,3.470000e+01,-1.193000e+02,1.674964e-10,6.107523e-12,9.290551e-12,5.786333e-12,1.345050e-11,2.724262e-09,4.004666e-12,4.794701e-14,2.398115e-13,2.289470e-12,9.270664e-13,7.253212e-14,4.120591e-14,1.278496e-12,8.660430e-13,3.615096e-13,1.926871e-12,1.377839e-12,1.315546e-12,8.807540e-13,3.371555e-15,4.819220e-13,7.557103e-13,4.086393e-14,4.386062e-13,1.678145e-13,2.440939e-13,1.552829e-14,7.028597e-14,4.113636e-14,1.972366e-13,5.312311e-14,7.228089e-12,3.617820e-13,3.615096e-13,7.951380e-12,3.655143e-12,4.274367e-13,8.660430e-13,4.948622e-12,7.253212e-14,7.253212e-14,7.557103e-13,1.760418e-12,4.086393e-14,2.556993e-12,3.304710e-12,1.315546e-12,4.052612e-12,8.672868e-12,4.120591e-14,4.120591e-14,1.674964e-10,5.786333e-12,1.345050e-11,9.290551e-12,3.371555e-15,2.724262e-09,2.920289e-09,,,,
2017-12-22,3.470000e+01,-1.195000e+02,2.061493e-10,7.516951e-12,1.143452e-11,7.121641e-12,1.655446e-11,3.352938e-09,4.928819e-12,5.901171e-14,2.834136e-13,2.817809e-12,1.141005e-12,9.066515e-14,4.635665e-14,1.573534e-12,1.065899e-12,4.449349e-13,2.371533e-12,1.628355e-12,1.619134e-12,1.084005e-12,3.371555e-15,5.931348e-13,9.301050e-13,5.029407e-14,5.398230e-13,2.065410e-13,3.004233e-13,1.911175e-14,8.650580e-14,5.062936e-14,2.427527e-13,6.538229e-14,8.884371e-12,4.452701e-13,4.449349e-13,9.774576e-12,4.498637e-12,5.260760e-13,1.065899e-12,6.090612e-12,9.066515e-14,9.066515e-14,9.301050e-13,2.166669e-12,5.029407e-14,3.147067e-12,3.999888e-12,1.619134e-12,4.987831e-12,1.060685e-11,4.635665e-14,4.635665e-14,2.061493e-10,7.121641e-12,1.655446e-11,1.143452e-11,3.371555e-15,3.352938e-09,2.374990e+03,1.750008e+03,6.249817e+02,1.750008e+03,6.249817e+02
2017-12-22,3.530000e+01,-1.189000e+02,9.147878e-10,3.335647e-11,5.074070e-11,3.160228e-11,7.346042e-11,1.487866e-08,2.187163e-11,2.618645e-13,1.286262e-12,1.250403e-11,5.063209e-12,3.807936e-13,2.111803e-13,6.982556e-12,4.729927e-12,1.974399e-12,1.052368e-11,7.390227e-12,7.184906e-12,4.810272e-12,1.685777e-14,2.632035e-12,4.127341e-12,2.231799e-13,2.395465e-12,9.165256e-13,1.333128e-12,8.480837e-14,3.838695e-13,2.246678e-13,1.077215e-12,2.901339e-13,3.945301e-11,1.975886e-12,1.974399e-12,4.340329e-11,1.996270e-11,2.334462e-12,4.729927e-12,2.702709e-11,3.807936e-13,3.807936e-13,4.127341e-12,9.614592e-12,2.231799e-13,1.396511e-11,1.791391e-11,7.184906e-12,2.213350e-11,4.723231e-11,2.111803e-13,2.111803e-13,9.147878e-10,3.160228e-11,7.346042e-11,5.074070e-11,1.685777e-14,1.487866e-08,1.594927e-08,,,,
2017-12-22,3.550000e+01,-1.195000e+02,7.859444e-10,2.865838e-11,4.359412e-11,2.715126e-11,6.311388e-11,1.278308e-08,1.879112e-11,2.249821e-13,1.111853e-12,1.074290e-11,4.350081e-12,3.263946e-13,1.802759e-13,5.999098e-12,4.063740e-12,1.696314e-12,9.041470e-12,6.388163e-12,6.172948e-12,4.132768e-12,1.348622e-14,2.261326e-12,3.546025e-12,1.917461e-13,2.058075e-12,7.874375e-13,1.145364e-12,7.286354e-14,3.298034e-13,1.930244e-13,9.254947e-13,2.492700e-13,3.390300e-11,1.697592e-12,1.696314e-12,3.729691e-11,1.715105e-11,2.005665e-12,4.063740e-12,2.322046e-11,3.263946e-13,3.263946e-13,3.546025e-12,8.260424e-12,1.917461e-13,1.199819e-11,1.542963e-11,6.172948e-12,1.901610e-11,4.061868e-11,1.802759e-13,1.802759e-13,7.859444e-10,2.715126e-11,6.311388e-11,4.359412e-11,1.348622e-14,1.278308e-08,1.370289e-08,,,,
