date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,terpenesfire,c2h6sfire,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-10-13,3.610000e+01,-9.550000e+01,4.259521e-10,1.553175e-11,2.362636e-11,1.471495e-11,3.420533e-11,6.927943e-09,1.018408e-11,1.219318e-13,5.382689e-13,5.822243e-12,2.357579e-12,1.633987e-13,3.251284e-12,2.202393e-12,9.193380e-13,4.799689e-12,3.441109e-12,3.345504e-12,2.239804e-12,1.225553e-12,1.921811e-12,9.259789e-14,1.115399e-12,4.267613e-13,6.207437e-13,3.948927e-14,1.634305e-13,9.546174e-14,5.015830e-13,1.350949e-13,1.830983e-11,8.955702e-13,9.193380e-13,2.012474e-11,9.295220e-12,1.086994e-12,2.202393e-12,1.258461e-11,1.633987e-13,1.633987e-13,1.921811e-12,4.476836e-12,9.259789e-14,6.491245e-12,8.240798e-12,3.345504e-12,1.030601e-11,2.189231e-11,4.259521e-10,1.471495e-11,3.420533e-11,2.362636e-11,6.927943e-09,7.426441e-09,,,7.086443e-14,,7.086443e-14,7.086443e-14,,,
2020-10-13,3.630000e+01,-1.185000e+02,3.940056e-09,1.786152e-10,2.096840e-10,1.269164e-10,4.745990e-10,3.723769e-08,7.001552e-11,6.553834e-13,1.004769e-11,4.366682e-11,2.121821e-11,3.823528e-12,3.657694e-11,1.761914e-11,1.057239e-11,8.022337e-11,3.613164e-11,2.509127e-11,2.659767e-11,1.501302e-11,1.969856e-11,1.805659e-12,1.045686e-11,3.414090e-12,3.491683e-12,1.974464e-13,4.780342e-12,2.792256e-12,1.880936e-12,1.182080e-12,2.152605e-10,1.063561e-11,1.057239e-11,2.364685e-10,7.534189e-11,7.103219e-12,1.761914e-11,1.000643e-10,3.823528e-12,3.823528e-12,1.969856e-11,5.158996e-11,1.805659e-12,7.309418e-11,1.163550e-10,2.509127e-11,7.067091e-11,2.121172e-10,3.940056e-09,1.269164e-10,4.745990e-10,2.096840e-10,3.723769e-08,1.181818e+03,8.636155e+02,3.182019e+02,8.291139e-12,3.019359e-12,8.291139e-12,8.291139e-12,3.019359e-12,8.636155e+02,3.182019e+02
2020-10-13,3.630000e+01,-1.187000e+02,1.970028e-09,8.930759e-11,1.063186e-10,6.253854e-11,2.394373e-10,1.818585e-08,3.564427e-11,3.200710e-13,5.023843e-12,2.183341e-11,1.060910e-11,1.895425e-12,1.828847e-11,8.809572e-12,5.286193e-12,3.976885e-11,1.806582e-11,1.254564e-11,1.343882e-11,7.506513e-12,9.849283e-12,8.951129e-13,5.298144e-12,1.707045e-12,1.707045e-12,9.872318e-14,2.369742e-12,1.384195e-12,9.404682e-13,5.910401e-13,1.077703e-10,5.285446e-12,5.286193e-12,1.183419e-10,3.774066e-11,3.512813e-12,8.809572e-12,5.006304e-11,1.895425e-12,1.895425e-12,9.849283e-12,2.579498e-11,8.951129e-13,3.653938e-11,5.783467e-11,1.254564e-11,3.596434e-11,1.063446e-10,1.970028e-09,6.253854e-11,2.394373e-10,1.063186e-10,1.818585e-08,2.056567e-08,,,4.110137e-12,1.496776e-12,4.110137e-12,4.110137e-12,1.496776e-12,,
2020-10-13,3.730000e+01,-1.191000e+02,1.416291e-08,5.164308e-10,7.855765e-10,4.892721e-10,1.137327e-09,2.303541e-07,3.386205e-10,4.054232e-12,1.991595e-11,1.935896e-10,7.838950e-11,5.915032e-12,1.081052e-10,7.322958e-11,3.056799e-11,1.631894e-10,1.144169e-10,1.112380e-10,7.447348e-11,4.074964e-11,6.390023e-11,3.456988e-12,3.708701e-11,1.418981e-11,2.063973e-11,1.313018e-12,5.924355e-12,3.484353e-12,1.667764e-11,4.491905e-12,6.108203e-10,3.057825e-11,3.056799e-11,6.719665e-10,3.090661e-10,3.614256e-11,7.322958e-11,4.184382e-10,5.915032e-12,5.915032e-12,6.390023e-11,1.488548e-10,3.456988e-12,2.162120e-10,2.776063e-10,1.112380e-10,3.426747e-10,7.315191e-10,1.416291e-08,4.892721e-10,1.137327e-09,7.855765e-10,2.303541e-07,1.078386e+03,7.934355e+02,2.849501e+02,3.330628e-12,2.580649e-13,3.330628e-12,3.330628e-12,2.580649e-13,7.934355e+02,2.849501e+02
2020-10-13,3.750000e+01,-9.590001e+01,5.856841e-10,2.135616e-11,3.248625e-11,2.023306e-11,4.703233e-11,9.525921e-09,1.400310e-11,1.676562e-13,8.971148e-13,8.005584e-12,3.241671e-12,2.614379e-13,4.470515e-12,3.028290e-12,1.264090e-12,6.856698e-12,4.731525e-12,4.600067e-12,3.079730e-12,1.685135e-12,2.642491e-12,1.543298e-13,1.533673e-12,5.867967e-13,8.535225e-13,5.429775e-14,2.451457e-13,1.431926e-13,6.896767e-13,1.857555e-13,2.533301e-11,1.263771e-12,1.264090e-12,2.786087e-11,1.278093e-11,1.494617e-12,3.028290e-12,1.730384e-11,2.614379e-13,2.614379e-13,2.642491e-12,6.155650e-12,1.543298e-13,8.952471e-12,1.158822e-11,4.600067e-12,1.417076e-11,3.035905e-11,5.856841e-10,2.023306e-11,4.703233e-11,3.248625e-11,9.525921e-09,1.021136e-08,,,1.417289e-13,,1.417289e-13,1.417289e-13,,,
2020-10-13,3.750000e+01,-1.191000e+02,1.648967e-07,7.484364e-09,8.889419e-09,5.319455e-09,2.006143e-08,1.562251e-06,2.949563e-09,2.749562e-11,4.220926e-10,1.844196e-09,8.958801e-10,1.604575e-10,1.536638e-09,7.400041e-10,4.470281e-10,3.366639e-09,1.530003e-09,1.051325e-09,1.119342e-09,6.297811e-10,8.311833e-10,7.577593e-11,4.419768e-10,1.434451e-10,1.461075e-10,8.282875e-12,2.006109e-10,1.171793e-10,7.968901e-11,4.968114e-11,9.025799e-09,4.471604e-10,4.470281e-10,9.919987e-09,3.182052e-09,2.978355e-10,7.400041e-10,4.219892e-09,1.604575e-10,1.604575e-10,8.311833e-10,2.166419e-09,7.577593e-11,3.073378e-09,4.896642e-09,1.051325e-09,2.977059e-09,8.925025e-09,1.648967e-07,5.319455e-09,2.006143e-08,8.889419e-09,1.562251e-06,2.166224e+03,1.190893e+03,9.753309e+02,3.479443e-10,1.267099e-10,3.479443e-10,3.479443e-10,1.267099e-10,1.190893e+03,9.753309e+02
2020-10-13,3.750000e+01,-1.193000e+02,1.064880e-09,4.853673e-11,5.906590e-11,3.494801e-11,1.325457e-10,1.039191e-08,1.909514e-11,1.828977e-13,2.781056e-12,1.237227e-11,5.893947e-12,1.045751e-12,1.016026e-11,4.955384e-12,2.872931e-12,2.194144e-11,9.893190e-12,6.691008e-12,7.279363e-12,4.136242e-12,5.525207e-12,4.938554e-13,2.927922e-12,9.602128e-13,9.311155e-13,5.429775e-14,1.307444e-12,7.636939e-13,5.015830e-13,3.208503e-13,5.859715e-11,2.893571e-12,2.872931e-12,6.436365e-11,2.119413e-11,1.945626e-12,4.955384e-12,2.809514e-11,1.045751e-12,1.045751e-12,5.525207e-12,1.429650e-11,4.938554e-13,2.031557e-11,3.183463e-11,6.691008e-12,1.927804e-11,5.780368e-11,1.064880e-09,3.494801e-11,1.325457e-10,5.906590e-11,1.039191e-08,7.727865e+02,4.545846e+02,3.182019e+02,2.267662e-12,8.258077e-13,2.267662e-12,2.267662e-12,8.258077e-13,4.545846e+02,3.182019e+02
2020-10-13,3.770000e+01,-9.950000e+01,1.671862e-08,1.527936e-09,1.795604e-09,4.156973e-10,1.496483e-09,1.818585e-07,6.734219e-10,3.200709e-12,2.987393e-11,2.408953e-10,1.037335e-10,7.281045e-11,1.007898e-10,5.093033e-11,7.366197e-11,3.839751e-10,5.028321e-10,2.053303e-10,2.248203e-10,3.324313e-11,5.549230e-11,1.214575e-11,3.625046e-11,9.068677e-12,5.043542e-12,5.972753e-13,5.720067e-12,1.071558e-11,4.451550e-11,1.271581e-11,1.782630e-09,7.366695e-11,7.366197e-11,1.929959e-09,3.808792e-10,1.470950e-11,5.093033e-11,4.465190e-10,7.281045e-11,7.281045e-11,5.549230e-11,1.340329e-10,1.214575e-11,2.016710e-10,8.868072e-10,2.053303e-10,6.766226e-10,1.768760e-09,1.671862e-08,4.156973e-10,1.496483e-09,1.795604e-09,1.818585e-07,1.227265e+03,9.090634e+02,3.182019e+02,9.212376e-13,2.064519e-13,9.212376e-13,9.212376e-13,2.064519e-13,9.090634e+02,3.182019e+02
2020-10-13,3.810000e+01,-1.009000e+02,2.662200e-10,2.135616e-11,2.657966e-11,5.518106e-12,2.137833e-11,2.597978e-09,1.018408e-11,4.572442e-14,4.485574e-13,3.638902e-12,1.473487e-12,1.045751e-12,1.625642e-12,8.258973e-13,1.034255e-12,5.485359e-12,7.312357e-12,2.927316e-12,3.359706e-12,4.595824e-13,7.206792e-13,1.697628e-13,5.576994e-13,1.066903e-13,7.759296e-14,9.872318e-15,8.171525e-14,1.670580e-13,6.269788e-13,1.857555e-13,2.516443e-11,1.061508e-12,1.034255e-12,2.726019e-11,5.670088e-12,1.941556e-13,8.258973e-13,6.690141e-12,1.045751e-12,1.045751e-12,7.206792e-13,2.085224e-12,1.697628e-13,2.975666e-12,1.279772e-11,2.927316e-12,1.022980e-11,2.595483e-11,2.662200e-10,5.518106e-12,2.137833e-11,2.657966e-11,2.597978e-09,2.917675e-09,,,,,,,,,
2020-10-13,3.870000e+01,-1.049000e+02,4.791961e-10,1.747322e-11,2.657966e-11,1.655432e-11,3.848100e-11,7.793935e-09,1.145709e-11,1.371733e-13,6.279804e-13,6.550024e-12,2.652276e-12,1.960784e-13,3.657694e-12,2.477692e-12,1.034255e-12,5.485359e-12,3.871248e-12,3.763692e-12,2.519779e-12,1.378747e-12,2.162038e-12,1.080309e-13,1.254824e-12,4.801064e-13,6.983366e-13,4.442543e-14,2.042881e-13,1.193272e-13,5.642809e-13,1.519817e-13,2.062098e-11,1.039878e-12,1.034255e-12,2.269512e-11,1.045712e-11,1.222868e-12,2.477692e-12,1.415768e-11,1.960784e-13,1.960784e-13,2.162038e-12,5.036441e-12,1.080309e-13,7.306510e-12,9.356607e-12,3.763692e-12,1.159426e-11,2.471456e-11,4.791961e-10,1.655432e-11,3.848100e-11,2.657966e-11,7.793935e-09,8.354746e-09,,,1.417289e-13,,1.417289e-13,1.417289e-13,,,
2020-10-13,3.930000e+01,-1.217000e+02,3.727081e-10,3.300498e-11,3.839284e-11,9.196844e-12,2.992967e-11,3.463971e-09,1.400310e-11,6.096589e-14,6.279804e-13,5.094463e-12,2.062882e-12,1.535947e-12,2.032052e-12,1.101196e-12,1.608842e-12,8.228038e-12,1.075347e-11,4.181879e-12,4.759583e-12,7.659707e-13,1.201132e-12,2.623607e-13,8.365491e-13,2.133806e-13,7.759296e-14,1.480848e-14,1.225729e-13,2.386543e-13,9.404682e-13,2.701898e-13,3.839254e-11,1.571885e-12,1.608842e-12,4.157327e-11,7.993893e-12,3.057821e-13,1.101196e-12,9.400872e-12,1.535947e-12,1.535947e-12,1.201132e-12,2.798023e-12,2.623607e-13,4.261516e-12,1.898150e-11,4.181879e-12,1.406407e-11,3.722745e-11,3.727081e-10,9.196844e-12,2.992967e-11,3.839284e-11,3.463971e-09,3.914199e-09,,,,,,,,,
2020-10-13,3.950000e+01,-1.221000e+02,4.791961e-10,4.465379e-11,5.315932e-11,1.287558e-11,4.275666e-11,5.195957e-09,2.036815e-11,9.144884e-14,8.971148e-13,7.277804e-12,2.946974e-12,2.156862e-12,2.844873e-12,1.651795e-12,2.183428e-12,1.165639e-11,1.505485e-11,6.272819e-12,6.719411e-12,9.191648e-13,1.681585e-12,3.549585e-13,1.115399e-12,2.667258e-13,1.551859e-13,1.974464e-14,1.634305e-13,3.102506e-13,1.316656e-12,3.715109e-13,5.227032e-11,2.161848e-12,2.183428e-12,5.661559e-11,1.134018e-11,4.416564e-13,1.651795e-12,1.343363e-11,2.156862e-12,2.156862e-12,1.681585e-12,3.764038e-12,3.549585e-13,5.800581e-12,2.671124e-11,6.272819e-12,2.045960e-11,5.344366e-11,4.791961e-10,1.287558e-11,4.275666e-11,5.315932e-11,5.195957e-09,5.783945e-09,,,,,,,,,
2020-10-13,3.970000e+01,-1.223000e+02,1.490832e-09,1.359029e-10,1.594779e-10,3.678738e-11,1.325457e-10,1.645386e-08,5.983145e-11,2.895880e-13,2.691345e-12,2.183341e-11,9.135618e-12,6.503267e-12,8.941029e-12,4.680085e-12,6.550283e-12,3.428349e-11,4.516456e-11,1.840027e-11,2.015823e-11,2.910689e-12,5.044755e-12,1.080309e-12,3.206771e-12,8.001774e-13,4.655578e-13,5.429775e-14,5.311491e-13,9.546174e-13,3.949967e-12,1.131420e-12,1.587524e-10,6.567153e-12,6.550283e-12,1.718699e-10,3.417580e-11,1.320033e-12,4.680085e-12,4.017592e-11,6.503267e-12,6.503267e-12,5.044755e-12,1.185172e-11,1.080309e-12,1.797678e-11,7.944805e-11,1.840027e-11,6.012103e-11,1.579693e-10,1.490832e-09,3.678738e-11,1.325457e-10,1.594779e-10,1.645386e-08,1.827353e-08,,,7.086443e-14,2.580649e-14,7.086443e-14,7.086443e-14,2.580649e-14,,
