date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-17,3.190000e+01,-9.930000e+01,2.598111e-09,9.319209e-11,1.482602e-10,8.875129e-11,2.044893e-10,4.198990e-08,6.064654e-11,7.390221e-13,3.733777e-12,3.587660e-11,1.514371e-11,1.236587e-12,6.449069e-13,1.911334e-11,1.371477e-11,5.799528e-12,3.119994e-11,2.051122e-11,2.045140e-11,1.348296e-11,7.639062e-12,1.143395e-11,6.320203e-13,6.963517e-12,2.658395e-12,3.790674e-12,2.378945e-13,1.115483e-12,6.515673e-13,3.027616e-12,8.287936e-13,1.104088e-10,5.623460e-12,5.799528e-12,1.218318e-10,5.798383e-11,6.686963e-12,1.371477e-11,7.838555e-11,1.236587e-12,1.236587e-12,1.143395e-11,2.675240e-11,6.320203e-13,3.881837e-11,5.171116e-11,2.045140e-11,6.138556e-11,1.335481e-10,6.449069e-13,6.449069e-13,2.598111e-09,8.875129e-11,2.044893e-10,1.482602e-10,4.198990e-08,4.502951e-08,,,,,,
2018-08-17,3.190000e+01,-9.430000e+01,6.113202e-10,2.795762e-11,3.294672e-11,1.972251e-11,7.435976e-11,5.791710e-09,1.137123e-11,1.019341e-13,1.400166e-12,6.833638e-12,3.028743e-12,6.182936e-13,1.289814e-12,6.371112e-12,2.742954e-12,1.657008e-12,1.247998e-11,5.860348e-12,3.895504e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.808979e-13,1.638475e-12,5.316789e-13,5.415248e-13,3.069606e-14,7.436555e-13,4.343782e-13,2.953772e-13,1.841764e-13,3.350639e-11,1.657587e-12,1.657008e-12,3.682099e-11,1.150086e-11,1.103900e-12,2.742954e-12,1.534771e-11,6.182936e-13,6.182936e-13,2.858488e-12,8.454493e-12,2.808979e-13,1.159388e-11,1.834032e-11,3.895504e-12,1.147316e-11,3.370899e-11,1.289814e-12,1.289814e-12,6.113202e-10,1.972251e-11,7.435976e-11,3.294672e-11,5.791710e-09,6.530529e-09,4.697077e-13,4.697077e-13,,,,
2018-08-17,3.190000e+01,-9.409999e+01,1.528301e-10,9.319209e-12,8.236680e-12,4.930627e-12,1.858994e-11,1.447927e-09,3.790409e-12,2.548352e-14,4.667221e-13,1.708409e-12,1.514371e-12,,3.224534e-13,2.123704e-12,6.857384e-13,4.142520e-13,3.119994e-12,1.465087e-12,9.738759e-13,1.037150e-12,6.944603e-13,1.429244e-12,7.022448e-14,4.096187e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,1.085946e-13,7.384430e-14,4.604409e-14,1.082308e-11,4.143968e-13,4.142520e-13,1.165173e-11,3.632400e-12,2.759750e-13,6.857384e-13,4.594113e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,9.738759e-13,3.815892e-12,9.374850e-12,3.224534e-13,3.224534e-13,1.528301e-10,4.930627e-12,1.858994e-11,8.236680e-12,1.447927e-09,2.200011e+03,1.174269e-13,1.174269e-13,1.699995e+03,5.000153e+02,1.699995e+03,5.000153e+02
2018-08-17,3.210000e+01,-1.019000e+02,1.528300e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,3.790409e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,,,2.123704e-12,1.371477e-12,4.142520e-13,3.119994e-12,1.465087e-12,1.947752e-12,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,4.096187e-13,2.658395e-13,2.707624e-13,2.302205e-14,1.859139e-13,1.085946e-13,2.953772e-13,9.208818e-14,1.082308e-11,6.819738e-13,4.142520e-13,1.191931e-11,5.340809e-12,5.596240e-13,1.371477e-12,7.271910e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,1.947752e-12,3.866860e-12,1.039969e-11,,,1.528300e-10,9.861254e-12,1.858994e-11,1.647336e-11,4.343782e-09,4.541537e-09,,,,,,
2018-08-17,3.210000e+01,-1.009000e+02,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,3.416819e-12,1.514371e-12,,,2.123704e-12,1.371477e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,3.069606e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.186023e-11,7.558181e-13,8.285040e-13,1.344455e-11,5.750428e-12,7.026791e-13,1.371477e-12,7.824584e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,,,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,5.791710e-09,6.142294e-09,,,,,,
2018-08-17,3.290000e+01,-9.950000e+01,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.516164e-11,1.529011e-13,9.334442e-13,8.542047e-12,3.028743e-12,,,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320926e-11,1.397684e-12,2.742954e-12,1.734990e-11,,,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.531454e-11,3.081917e-11,,,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,9.388733e-09,,,,,,
2018-08-17,3.330000e+01,-9.550000e+01,7.641502e-10,2.795762e-11,4.118340e-11,2.465314e-11,5.576982e-11,1.303135e-08,1.895204e-11,2.293517e-13,9.334442e-13,1.025046e-11,4.543114e-12,6.182936e-13,3.224534e-13,6.371112e-12,4.114431e-12,1.657008e-12,9.359982e-12,5.860349e-12,5.843256e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.106734e-13,2.048093e-12,7.975184e-13,1.083050e-12,6.906614e-14,3.718278e-13,2.171891e-13,8.861316e-13,2.302205e-13,3.303967e-11,1.705369e-12,1.657008e-12,3.640204e-11,1.684167e-11,1.949634e-12,4.114431e-12,2.290573e-11,6.182936e-13,6.182936e-13,2.858488e-12,8.454493e-12,2.106734e-13,1.152365e-11,1.522033e-11,5.843256e-12,1.918139e-11,4.024498e-11,3.224534e-13,3.224534e-13,7.641502e-10,2.465314e-11,5.576982e-11,4.118340e-11,1.303135e-08,6.749821e+02,,,1.999924e+02,4.749897e+02,1.999924e+02,4.749897e+02
2018-08-17,3.350000e+01,-9.570000e+01,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,3.717988e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,,,2.123704e-12,2.057215e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,3.987592e-13,5.415248e-13,3.069606e-14,1.859139e-13,1.085946e-13,4.430658e-13,9.208818e-14,1.186023e-11,8.296624e-13,8.285040e-13,1.351840e-11,7.458837e-12,9.709801e-13,2.057215e-12,1.048703e-11,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,,,3.056601e-10,9.861254e-12,3.717988e-11,1.647336e-11,5.791710e-09,6.160884e-09,,,,,,
2018-08-17,3.370000e+01,-9.609999e+01,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.137123e-11,1.529011e-13,9.334442e-13,6.833638e-12,3.028743e-12,,,4.247408e-12,2.742953e-12,1.242756e-12,6.239988e-12,4.395261e-12,3.895504e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404489e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.150085e-11,1.397684e-12,2.742953e-12,1.564149e-11,,,2.858488e-12,5.636329e-12,1.404489e-13,8.635267e-12,1.063525e-11,3.895504e-12,1.152413e-11,2.605488e-11,,,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,2.378052e+03,,,1.428035e+03,9.500176e+02,1.428035e+03,9.500176e+02
2018-08-17,3.450000e+01,-1.011000e+02,1.864526e-08,6.803023e-10,1.029585e-09,6.409815e-10,1.487195e-09,3.026168e-07,4.434778e-10,5.326056e-12,2.613644e-11,2.545530e-10,1.029772e-10,8.037818e-12,4.191895e-12,1.422882e-10,9.600338e-11,4.018245e-11,2.121596e-10,1.494389e-10,1.460814e-10,9.749214e-11,5.347344e-11,8.432539e-11,4.564591e-12,4.874462e-11,1.860876e-11,2.707624e-11,1.718979e-12,7.808383e-12,4.560971e-12,2.185791e-11,5.893644e-12,8.039308e-10,4.012091e-11,4.018245e-11,8.842342e-10,4.062749e-10,4.740398e-11,9.600338e-11,5.496822e-10,8.037818e-12,8.037818e-12,8.432539e-11,1.957616e-10,4.564591e-12,2.846516e-10,3.615985e-10,1.460814e-10,4.488039e-10,9.564838e-10,4.191895e-12,4.191895e-12,1.864526e-08,6.409815e-10,1.487195e-09,1.029585e-09,3.026168e-07,3.704485e+03,3.522807e-13,3.522807e-13,2.545412e+03,1.159073e+03,2.545412e+03,1.159073e+03
