date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-09-17,3.330000e+01,-9.509999e+01,6.249981e-10,2.063486e-11,3.292897e-11,2.103867e-11,4.940382e-11,9.920605e-09,1.468746e-11,1.746026e-13,7.750721e-13,8.286185e-12,3.353164e-12,1.554875e-13,4.702367e-12,3.138011e-12,1.307932e-12,6.944423e-12,4.866057e-12,4.836295e-12,3.336002e-12,1.922117e-12,2.373505e-12,1.486107e-13,1.583725e-12,6.300328e-13,8.795608e-13,5.535697e-14,2.510142e-13,1.466205e-13,7.171373e-13,1.975937e-13,2.474593e-11,1.312366e-12,1.307932e-12,2.736623e-11,1.322307e-11,1.564951e-12,3.138011e-12,1.792604e-11,2.373505e-12,6.624484e-12,1.486107e-13,9.146598e-12,1.181048e-11,4.836295e-12,1.486206e-11,3.150883e-11,1.554875e-13,1.554875e-13,6.249981e-10,2.103867e-11,4.940382e-11,3.292897e-11,9.920605e-09,1.064897e-08,3.422609e-13,3.422609e-13,3.422609e-13,,,,,,
2018-09-17,3.330000e+01,-9.490001e+01,3.124991e-10,1.031743e-11,1.796126e-11,1.051934e-11,2.470191e-11,4.960302e-09,6.294623e-12,8.730132e-14,5.167147e-13,4.461792e-12,1.676582e-12,6.219501e-14,2.351183e-12,1.631766e-12,6.539662e-13,3.472211e-12,2.433028e-12,2.232136e-12,1.668001e-12,7.688468e-13,1.582336e-12,7.430534e-14,7.918627e-13,2.984366e-13,4.539669e-13,2.767849e-14,1.255071e-13,7.331024e-14,3.585687e-13,9.560983e-14,1.250215e-11,6.529959e-13,6.539662e-13,1.380911e-11,6.930237e-12,7.800819e-13,1.631766e-12,9.342084e-12,1.582336e-12,3.120030e-12,7.430534e-14,4.776672e-12,5.905240e-12,2.232136e-12,6.381925e-12,1.451930e-11,6.219501e-14,6.219501e-14,3.124991e-10,1.051934e-11,2.470191e-11,1.796126e-11,4.960302e-09,2.349953e+03,,,,,,1.849966e+03,4.999870e+02,1.849966e+03,4.999870e+02
2018-09-17,3.350000e+01,-9.430000e+01,3.333323e-09,1.238091e-10,1.855996e-10,1.152118e-10,2.672297e-10,5.431531e-08,7.973190e-11,9.559495e-13,4.650432e-12,4.589272e-11,1.844240e-11,7.774376e-13,2.586302e-11,1.732182e-11,7.193629e-12,3.854155e-11,2.676331e-11,2.604159e-11,1.751401e-11,9.610586e-12,1.503220e-11,8.173586e-13,8.771402e-12,3.349122e-12,4.880144e-12,3.106141e-13,1.398508e-12,8.168855e-13,3.927181e-12,1.058082e-12,1.459736e-10,7.200656e-12,7.193629e-12,1.603679e-10,7.310652e-11,8.539881e-12,1.732182e-11,9.896822e-11,1.503220e-11,3.547360e-11,8.173586e-13,5.132316e-11,6.530486e-11,2.604159e-11,8.068785e-11,1.720343e-10,7.774376e-13,7.774376e-13,3.333323e-09,1.152118e-10,2.672297e-10,1.855996e-10,5.431531e-08,5.821672e-08,1.369043e-12,1.369043e-12,1.369043e-12,3.995524e-14,3.995524e-14,,,,
2018-09-17,3.370000e+01,-9.609999e+01,3.749989e-09,1.341266e-10,2.065544e-10,1.292376e-10,3.009142e-10,6.076370e-08,9.022295e-11,1.069441e-12,5.167148e-12,5.099191e-11,2.095728e-11,8.707301e-13,2.821420e-11,1.933015e-11,8.051960e-12,4.305543e-11,3.000735e-11,2.938979e-11,1.973801e-11,1.076386e-11,1.661453e-11,9.128941e-13,9.806915e-12,3.747037e-12,5.447602e-12,3.475188e-13,1.559874e-12,9.216145e-13,4.405273e-12,1.185562e-12,1.590317e-10,8.072323e-12,8.051960e-12,1.751560e-10,8.175610e-11,9.542159e-12,1.933015e-11,1.106284e-10,1.661453e-11,3.897806e-11,9.128941e-13,5.650548e-11,7.306278e-11,2.938979e-11,9.129239e-11,1.937450e-10,8.707301e-13,8.707301e-13,3.749989e-09,1.292376e-10,3.009142e-10,2.065544e-10,6.076370e-08,4.431883e+03,1.711304e-12,1.711304e-12,1.711304e-12,7.991048e-14,7.991048e-14,3.454597e+03,9.772863e+02,3.454597e+03,9.772863e+02
2018-09-17,3.390000e+01,-9.470000e+01,5.729149e-10,2.063486e-11,3.292897e-11,2.003683e-11,4.715819e-11,9.424575e-09,1.468746e-11,1.658725e-13,7.750721e-13,8.286185e-12,3.353164e-12,1.243900e-13,4.702367e-12,3.012491e-12,1.267060e-12,6.597202e-12,4.866057e-12,4.464272e-12,3.058002e-12,1.537694e-12,2.373505e-12,1.379956e-13,1.522813e-12,5.968732e-13,8.511879e-13,5.535697e-14,2.510142e-13,1.466205e-13,6.829880e-13,1.848457e-13,2.446793e-11,1.265468e-12,1.267060e-12,2.700046e-11,1.316216e-11,1.503418e-12,3.012491e-12,1.767807e-11,2.373505e-12,6.240060e-12,1.379956e-13,8.751560e-12,1.146326e-11,4.464272e-12,1.485333e-11,3.078086e-11,1.243900e-13,1.243900e-13,5.729149e-10,2.003683e-11,4.715819e-11,3.292897e-11,9.424575e-09,1.009761e-08,3.422609e-13,3.422609e-13,3.422609e-13,,,,,,
2018-09-17,3.410000e+01,-9.609999e+01,3.124991e-10,1.031743e-11,1.796126e-11,1.102025e-11,2.470191e-11,5.208317e-09,8.392832e-12,9.166639e-14,5.167147e-13,4.461792e-12,1.676582e-12,6.219501e-14,2.351183e-12,1.631766e-12,6.948391e-13,3.819433e-12,2.433028e-12,2.604158e-12,1.668001e-12,7.688468e-13,1.582336e-12,7.430533e-14,8.527752e-13,3.315962e-13,4.539669e-13,3.075388e-14,1.255071e-13,7.331024e-14,3.756434e-13,1.019838e-13,1.250214e-11,6.764445e-13,6.948391e-13,1.387343e-11,6.991149e-12,8.163170e-13,1.631766e-12,9.439232e-12,1.582336e-12,3.120030e-12,7.430533e-14,4.776672e-12,6.252461e-12,2.604158e-12,8.484498e-12,1.734112e-11,6.219501e-14,6.219501e-14,3.124991e-10,1.102025e-11,2.470191e-11,1.796126e-11,5.208317e-09,1.000050e+03,,,,,,5.500305e+02,4.500198e+02,5.500305e+02,4.500198e+02
2018-09-17,3.430000e+01,-9.590001e+01,1.562495e-10,5.158715e-12,8.980628e-12,6.011049e-12,1.347377e-11,2.728166e-09,4.196416e-12,4.801573e-14,2.583574e-13,2.549596e-12,8.382911e-13,3.109750e-14,1.175592e-12,8.786432e-13,3.678560e-13,2.083327e-12,1.622019e-12,1.488091e-12,8.340005e-13,3.844234e-13,7.911682e-13,4.246019e-14,4.873001e-13,1.657981e-13,2.553564e-13,1.537694e-14,7.171836e-14,4.189156e-14,2.048964e-13,5.736590e-14,6.251073e-12,3.758722e-13,3.678560e-13,6.994801e-12,3.875187e-12,4.365314e-13,8.786432e-13,5.190361e-12,7.911682e-13,1.560015e-12,4.246019e-14,2.393643e-12,3.705346e-12,1.488091e-12,4.244432e-12,9.437869e-12,3.109750e-14,3.109750e-14,1.562495e-10,6.011049e-12,1.347377e-11,8.980628e-12,2.728166e-09,2.912881e-09,,,,,,,,,
2018-09-17,3.470000e+01,-1.129000e+02,1.093747e-09,4.126972e-11,5.987085e-11,3.806997e-11,8.757949e-11,1.785709e-08,2.727670e-11,3.142848e-13,1.550144e-12,1.529757e-11,5.868038e-12,2.487800e-13,8.229141e-12,5.648421e-12,2.370628e-12,1.249996e-11,8.921103e-12,8.556522e-12,5.838003e-12,3.075387e-12,4.747009e-12,2.653762e-13,2.862888e-12,1.094267e-12,1.617257e-12,1.014878e-13,4.661693e-13,2.722952e-13,1.297677e-12,3.505694e-13,4.865787e-11,2.386711e-12,2.370628e-12,5.341521e-11,2.402850e-11,2.813012e-12,5.648421e-12,3.248993e-11,4.747009e-12,1.130453e-11,2.653762e-13,1.631691e-11,2.142107e-11,8.556522e-12,2.759099e-11,5.756858e-11,2.487800e-13,2.487800e-13,1.093747e-09,3.806997e-11,8.757949e-11,5.987085e-11,1.785709e-08,1.913635e-08,3.422609e-13,3.422609e-13,3.422609e-13,,,,,,
2018-09-17,3.490000e+01,-9.509999e+01,3.124991e-10,1.547614e-11,1.496771e-11,9.517494e-12,3.593005e-11,2.728166e-09,6.294624e-12,4.801573e-14,7.750721e-13,3.186994e-12,1.676582e-12,6.219501e-13,2.351183e-12,1.255204e-12,7.765850e-13,5.902760e-12,2.433028e-12,1.860113e-12,1.946001e-12,1.153270e-12,1.582336e-12,1.379956e-13,7.918627e-13,2.652770e-13,2.553564e-13,1.537694e-14,3.585918e-13,2.094578e-13,1.365976e-13,8.923584e-14,1.819722e-11,7.938831e-13,7.765850e-13,1.976768e-11,5.655439e-12,5.360103e-13,1.255204e-12,7.446654e-12,1.582336e-12,3.504454e-12,1.379956e-13,5.224786e-12,8.335788e-12,1.860113e-12,6.342640e-12,1.653854e-11,6.219501e-13,6.219501e-13,3.124991e-10,9.517494e-12,3.593005e-11,1.496771e-11,2.728166e-09,3.101321e-09,3.422609e-13,3.422609e-13,3.422609e-13,2.397314e-13,2.397314e-13,,,,
2018-09-17,3.490000e+01,-1.119000e+02,2.489575e-08,1.134917e-09,1.344101e-09,8.044788e-10,3.033843e-09,2.361104e-07,4.469183e-10,4.155543e-12,6.381427e-11,2.785433e-10,1.349649e-10,5.258588e-11,2.327672e-10,1.118387e-10,6.760376e-11,5.090262e-10,2.311377e-10,1.588537e-10,1.690241e-10,9.533702e-11,1.257957e-10,1.145364e-11,6.682103e-11,2.168639e-11,2.210251e-11,1.251683e-12,3.031893e-11,1.770966e-11,1.203766e-11,7.514932e-12,1.367755e-09,6.758119e-11,6.760376e-11,1.502940e-09,4.803292e-10,4.504059e-11,1.118387e-10,6.372085e-10,1.257957e-10,3.281042e-10,1.145364e-11,4.653536e-10,7.401639e-10,1.588537e-10,4.510738e-10,1.350091e-09,5.258588e-11,5.258588e-11,2.489575e-08,8.044788e-10,3.033843e-09,1.344101e-09,2.361104e-07,3.534957e+03,2.430052e-11,2.430052e-11,2.430052e-11,1.917851e-11,1.917851e-11,2.028738e+03,1.506218e+03,2.028738e+03,1.506218e+03
