date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-27,3.290000e+01,-1.133000e+02,4.584901e-10,1.863842e-11,2.471004e-11,1.479188e-11,3.717988e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,2.057215e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,8.192373e-13,3.987592e-13,5.415248e-13,3.837008e-14,1.859139e-13,1.085946e-13,4.430658e-13,1.381323e-13,2.117944e-11,8.757065e-13,8.285040e-13,2.288365e-11,7.458837e-12,9.786542e-13,2.057215e-12,1.049471e-11,1.429244e-12,3.512625e-12,7.022448e-14,5.012093e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,4.584901e-10,1.479188e-11,3.717988e-11,2.471004e-11,5.791710e-09,6.326882e-09,,,,,,,,,,,,
2018-08-27,3.370000e+01,-1.171000e+02,8.099993e-09,2.982147e-10,4.530174e-10,2.810458e-10,6.506479e-10,1.317614e-07,1.933109e-10,2.319000e-12,1.166805e-11,1.110466e-10,4.543115e-11,6.158742e-11,4.183005e-11,1.739859e-11,9.359982e-11,6.592892e-11,6.427581e-11,4.252317e-11,2.361165e-11,3.716034e-11,1.966285e-12,2.130017e-11,8.108104e-12,1.191355e-11,7.520535e-13,3.346450e-12,1.954702e-12,9.599758e-12,2.578469e-12,3.524059e-10,1.747938e-11,1.739859e-11,3.872839e-10,1.777779e-10,2.077370e-11,4.183005e-11,2.403817e-10,3.716034e-11,8.519907e-11,1.966285e-12,1.243257e-10,1.595287e-10,6.427581e-11,1.956299e-10,4.194344e-10,8.099993e-09,2.810458e-10,6.506479e-10,4.530174e-10,1.317614e-07,1.400005e+03,1.049990e+03,3.500145e+02,3.709762e-12,1.934721e-12,1.174269e-13,3.709762e-12,3.709762e-12,1.934721e-12,1.934721e-12,1.174269e-13,1.049990e+03,3.500145e+02
2018-08-27,3.370000e+01,-1.175000e+02,4.049996e-08,1.481754e-09,2.248614e-09,1.400298e-09,3.253239e-09,6.602549e-07,9.703447e-10,1.162049e-11,5.694010e-11,5.535247e-10,2.241270e-10,3.100608e-10,2.098360e-10,8.740718e-11,4.679991e-10,3.281795e-10,3.184575e-10,2.136530e-10,1.166693e-10,1.829432e-10,9.901652e-12,1.060912e-10,4.067344e-11,5.916159e-11,3.760267e-12,1.710408e-11,9.990699e-12,4.777726e-11,1.284630e-11,1.752347e-09,8.771834e-11,8.740718e-11,1.927473e-09,8.837429e-10,1.035953e-10,2.098360e-10,1.197174e-09,1.829432e-10,4.267301e-10,9.901652e-12,6.195749e-10,7.961786e-10,3.184575e-10,9.819652e-10,2.096601e-09,4.049996e-08,1.400298e-09,3.253239e-09,2.248614e-09,6.602549e-07,1.090898e+03,8.181725e+02,2.727252e+02,1.669393e-11,9.351149e-12,7.045615e-13,1.669393e-11,1.669393e-11,9.351149e-12,9.351149e-12,7.045615e-13,8.181725e+02,2.727252e+02
2018-08-27,3.470000e+01,-1.025000e+02,2.750941e-09,1.025113e-10,1.564969e-10,9.861254e-11,2.416692e-10,4.633367e-08,6.822735e-11,8.154727e-13,3.733776e-12,3.929342e-11,1.514371e-11,2.123704e-11,1.440051e-11,6.213780e-12,3.119994e-11,2.344139e-11,2.239915e-11,1.452011e-11,7.639063e-12,1.286320e-11,7.022448e-13,7.373136e-12,2.791314e-12,4.196817e-12,2.609165e-13,1.115483e-12,6.515673e-13,3.322993e-12,8.748377e-13,1.207652e-10,5.964881e-12,6.213780e-12,1.329438e-10,6.181027e-11,7.249049e-12,1.440051e-11,8.345982e-11,1.286320e-11,2.887610e-11,7.022448e-13,4.244154e-11,5.464133e-11,2.239915e-11,6.904283e-11,1.460833e-10,2.750941e-09,9.861254e-11,2.416692e-10,1.564969e-10,4.633367e-08,4.958139e-08,,,1.236587e-12,6.449069e-13,,1.236587e-12,1.236587e-12,6.449069e-13,6.449069e-13,,,
2018-08-27,3.590000e+01,-9.709999e+01,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,2.123704e-12,1.371477e-12,4.142520e-13,3.119994e-12,1.465087e-12,1.947752e-12,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,2.302205e-14,1.859139e-13,1.085946e-13,2.953772e-13,9.208818e-14,1.082308e-11,6.819738e-13,4.142520e-13,1.191931e-11,5.750428e-12,6.950051e-13,1.371477e-12,7.816910e-12,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,1.947752e-12,7.657269e-12,1.419010e-11,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,4.343782e-09,4.694367e-09,,,,,,,,,,,,
2018-08-27,3.730000e+01,-1.035000e+02,7.641502e-10,2.795762e-11,4.118340e-11,2.465314e-11,5.576982e-11,1.158342e-08,1.895204e-11,2.038682e-13,9.334442e-13,1.025046e-11,4.543114e-12,6.371112e-12,4.114431e-12,1.657008e-12,9.359982e-12,5.860348e-12,5.843256e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.106734e-13,2.048093e-12,7.975184e-13,1.083050e-12,6.906614e-14,3.718278e-13,2.171891e-13,8.861316e-13,2.302205e-13,3.303967e-11,1.705369e-12,1.657008e-12,3.640205e-11,1.684167e-11,1.949634e-12,4.114431e-12,2.290573e-11,2.858488e-12,8.454493e-12,2.106734e-13,1.152365e-11,1.522033e-11,5.843256e-12,1.915591e-11,4.021950e-11,7.641502e-10,2.465314e-11,5.576982e-11,4.118340e-11,1.158342e-08,1.246918e-08,,,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,
2018-08-27,3.750000e+01,-1.035000e+02,1.833960e-09,6.523446e-11,9.884016e-11,6.409815e-11,1.487195e-10,2.895855e-08,4.169450e-11,5.096704e-13,2.333610e-12,2.562614e-11,1.060060e-11,1.486593e-11,9.600338e-12,3.728268e-12,2.183996e-11,1.465087e-11,1.460814e-11,9.334354e-12,5.555682e-12,8.575464e-12,4.213469e-13,4.915424e-12,1.860876e-12,2.707624e-12,1.688283e-13,7.436555e-13,4.343782e-13,2.141485e-12,5.985732e-13,7.690242e-11,3.918092e-12,3.728268e-12,8.454878e-11,4.114217e-11,4.737329e-12,9.600338e-12,5.547983e-11,8.575464e-12,2.042161e-11,4.213469e-13,2.941842e-11,3.649083e-11,1.460814e-11,4.220416e-11,9.330313e-11,1.833960e-09,6.409815e-11,1.487195e-10,9.884016e-11,2.895855e-08,3.110416e-08,,,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,
2018-08-27,3.750000e+01,-1.031000e+02,4.584901e-09,1.677458e-10,2.553371e-10,1.577801e-10,3.717988e-10,7.384430e-08,1.099218e-10,1.299660e-12,6.534110e-12,6.150274e-11,2.574431e-11,3.397927e-11,2.331511e-11,9.942048e-12,5.303990e-11,3.662718e-11,3.603342e-11,2.385446e-11,1.319474e-11,2.000941e-11,1.123592e-12,1.187894e-11,4.519271e-12,6.633679e-12,4.220708e-13,1.859139e-12,1.085946e-12,5.316790e-12,1.427367e-12,1.981343e-10,9.689241e-12,9.942048e-12,2.177656e-10,9.912600e-11,1.157502e-11,2.331511e-11,1.340161e-10,2.000941e-11,4.717401e-11,1.123592e-12,6.830702e-11,8.966708e-11,3.603342e-11,1.112215e-10,2.369220e-10,4.584901e-09,1.577801e-10,3.717988e-10,2.553371e-10,7.384430e-08,2.000023e+03,1.100018e+03,9.000046e+02,1.854881e-12,9.673603e-13,1.174269e-13,1.854881e-12,1.854881e-12,9.673603e-13,9.673603e-13,1.174269e-13,1.100018e+03,9.000046e+02
2018-08-27,3.770000e+01,-1.191000e+02,1.528300e-10,9.319209e-12,8.236680e-12,4.930627e-12,1.858994e-11,1.447927e-09,3.790409e-12,2.548352e-14,4.667221e-13,1.708410e-12,1.514371e-12,2.123704e-12,6.857384e-13,4.142520e-13,3.119994e-12,1.465087e-12,9.738759e-13,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,4.096187e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,1.085946e-13,7.384430e-14,4.604409e-14,1.082308e-11,4.143968e-13,4.142520e-13,1.165173e-11,3.632400e-12,2.759750e-13,6.857384e-13,4.594113e-12,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,9.738759e-13,3.815892e-12,9.374850e-12,1.528300e-10,4.930627e-12,1.858994e-11,8.236680e-12,1.447927e-09,1.632632e-09,,,,3.224534e-13,1.174269e-13,,,3.224534e-13,3.224534e-13,1.174269e-13,,
2018-08-27,3.930000e+01,-1.227000e+02,7.641502e-10,2.795762e-11,4.118340e-11,2.465314e-11,5.576982e-11,1.303135e-08,1.895204e-11,2.293517e-13,9.334442e-13,1.025046e-11,4.543115e-12,6.371112e-12,4.114431e-12,1.657008e-12,9.359982e-12,5.860349e-12,5.843256e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.106734e-13,2.048093e-12,7.975184e-13,1.083050e-12,6.906614e-14,3.718278e-13,2.171891e-13,8.861316e-13,2.302205e-13,3.303967e-11,1.705369e-12,1.657008e-12,3.640205e-11,1.684167e-11,1.949634e-12,4.114431e-12,2.290573e-11,2.858488e-12,8.454493e-12,2.106734e-13,1.152365e-11,1.522033e-11,5.843256e-12,1.918139e-11,4.024498e-11,7.641502e-10,2.465314e-11,5.576982e-11,4.118340e-11,1.303135e-08,1.000073e+03,7.000336e+02,3.000397e+02,6.182937e-13,3.224534e-13,,6.182937e-13,6.182937e-13,3.224534e-13,3.224534e-13,,7.000336e+02,3.000397e+02
