date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-09-03,3.170000e+01,-1.017000e+02,2.659075e-10,9.051862e-12,1.433092e-11,8.578749e-12,2.021528e-11,4.093756e-09,5.945079e-12,7.205011e-14,3.205519e-13,3.344000e-12,1.444529e-12,1.389940e-13,7.012919e-14,1.858250e-12,1.342248e-12,5.405647e-13,2.714223e-12,2.158701e-12,1.906242e-12,1.353396e-12,7.616276e-13,1.172483e-12,6.109144e-14,6.236050e-13,2.601739e-13,3.533227e-13,2.336590e-14,1.213011e-13,7.085347e-14,2.890822e-13,8.011166e-14,1.072581e-11,5.613484e-13,5.405647e-13,1.182772e-11,5.412134e-12,6.368625e-13,1.342248e-12,7.391245e-12,1.389940e-13,1.389940e-13,1.172483e-12,2.619878e-12,6.109144e-14,3.853452e-12,4.872924e-12,1.906242e-12,6.017129e-12,1.279629e-11,7.012919e-14,7.012919e-14,2.659075e-10,8.578749e-12,2.021528e-11,1.433092e-11,4.093756e-09,4.402788e-09,,,,,,
2018-09-03,3.170000e+01,-1.097000e+02,1.828114e-09,6.638032e-11,1.003164e-10,6.326827e-11,1.455500e-10,2.960101e-08,4.339907e-11,5.209777e-13,2.564415e-12,2.489423e-11,1.011170e-11,7.644669e-13,4.207751e-13,1.393688e-11,9.395737e-12,3.964142e-12,2.103523e-11,1.480252e-11,1.419091e-11,9.473770e-12,5.204455e-12,8.207383e-12,4.429129e-13,4.721581e-12,1.821218e-12,2.649920e-12,1.685683e-13,7.682406e-13,4.487386e-13,2.135996e-12,5.808095e-13,7.841850e-11,3.933785e-12,3.964142e-12,8.631643e-11,3.972751e-11,4.639706e-12,9.395737e-12,5.376295e-11,7.644669e-13,7.644669e-13,8.207383e-12,1.914133e-11,4.429129e-13,2.779163e-11,3.583775e-11,1.419091e-11,4.392005e-11,9.394871e-11,4.207751e-13,4.207751e-13,1.828114e-09,6.326827e-11,1.455500e-10,1.003164e-10,2.960101e-08,3.173828e-08,2.553874e-14,2.553874e-14,,,,
2018-09-03,3.350000e+01,-1.109000e+02,3.988612e-10,1.357779e-11,2.149638e-11,1.394047e-11,3.234445e-11,6.298086e-09,9.512125e-12,1.108463e-13,5.342531e-13,5.201778e-12,2.166794e-12,1.389940e-13,7.012919e-14,3.097084e-12,1.938803e-12,8.108472e-13,4.749891e-12,3.083858e-12,2.965265e-12,2.030094e-12,1.142441e-12,1.674976e-12,9.163715e-14,9.799507e-13,3.758068e-13,5.594275e-13,3.671784e-14,1.617349e-13,9.447129e-14,4.657435e-13,1.201675e-13,1.614214e-11,8.421171e-13,8.108472e-13,1.779510e-11,8.348522e-12,9.719521e-13,1.938803e-12,1.125928e-11,1.389940e-13,1.389940e-13,1.674976e-12,4.239525e-12,9.163715e-14,6.006139e-12,7.833748e-12,2.965265e-12,9.622971e-12,2.042198e-11,7.012919e-14,7.012919e-14,3.988612e-10,1.394047e-11,3.234445e-11,2.149638e-11,6.298086e-09,3.408947e+02,,,2.272664e+02,1.136283e+02,2.272664e+02,1.136283e+02
2018-09-03,3.550000e+01,-1.207000e+02,1.994306e-10,7.543218e-12,1.074819e-11,6.434062e-12,1.617223e-11,3.149043e-09,4.756063e-12,5.542316e-14,2.137012e-13,2.600889e-12,1.083397e-12,6.949699e-14,7.012919e-14,1.548542e-12,1.043971e-12,4.504706e-13,2.035667e-12,1.541929e-12,1.482632e-12,9.022638e-13,5.077517e-13,8.374880e-13,4.581858e-14,5.345186e-13,2.023575e-13,2.649920e-13,1.668993e-14,8.086743e-14,4.723565e-14,2.248417e-13,6.008374e-14,8.659183e-12,4.130285e-13,4.504706e-13,9.522681e-12,4.218805e-12,4.840394e-13,1.043971e-12,5.746815e-12,6.949699e-14,6.949699e-14,8.374880e-13,2.056294e-12,4.581858e-14,2.939600e-12,3.577596e-12,1.482632e-12,4.811486e-12,9.871715e-12,7.012919e-14,7.012919e-14,1.994306e-10,6.434062e-12,1.617223e-11,1.074819e-11,3.149043e-09,3.381828e-09,,,,,,
2018-09-03,3.650000e+01,-1.195000e+02,4.653381e-10,2.112101e-11,2.507911e-11,1.501281e-11,5.660279e-11,4.408661e-09,8.323110e-12,7.759242e-14,1.175357e-12,5.201778e-12,2.527926e-12,4.169820e-13,9.818087e-13,4.335917e-12,2.087942e-12,1.261318e-12,9.499782e-12,4.317401e-12,2.965265e-12,3.157924e-12,1.777131e-12,2.344967e-12,2.138200e-13,1.247210e-12,4.047150e-13,4.122097e-13,2.336590e-14,5.660720e-13,3.306495e-13,2.248417e-13,1.401954e-13,2.545429e-11,1.261758e-12,1.261318e-12,2.797737e-11,8.976914e-12,8.402907e-13,2.087942e-12,1.190515e-11,4.169820e-13,4.169820e-13,2.344967e-12,6.113048e-12,2.138200e-13,8.671836e-12,1.381718e-11,2.965265e-12,8.400702e-12,2.518315e-11,9.818087e-13,9.818087e-13,4.653381e-10,1.501281e-11,5.660279e-11,2.507911e-11,4.408661e-09,1.074945e+03,3.575424e-13,3.575424e-13,7.999603e+02,2.749851e+02,7.999603e+02,2.749851e+02
2018-09-03,3.890000e+01,-1.229000e+02,4.985765e-10,1.810372e-11,2.687047e-11,1.715750e-11,4.043057e-11,7.872607e-09,1.189016e-11,1.385579e-13,7.479543e-13,6.688001e-12,2.708492e-12,2.084910e-13,7.012919e-14,3.716501e-12,2.535358e-12,1.081129e-12,5.428446e-12,4.009015e-12,3.812483e-12,2.481226e-12,1.396317e-12,2.344966e-12,1.221829e-13,1.247210e-12,4.914397e-13,7.360888e-13,4.673180e-14,2.021686e-13,1.180891e-13,5.781643e-13,1.502094e-13,2.133290e-11,1.048631e-12,1.081129e-12,2.346266e-11,1.064370e-11,1.274260e-12,2.535358e-12,1.445332e-11,2.084910e-13,2.084910e-13,2.344966e-12,5.112818e-12,1.221829e-13,7.579967e-12,9.437461e-12,3.812483e-12,1.202871e-11,2.527866e-11,7.012919e-14,7.012919e-14,4.985765e-10,1.715750e-11,4.043057e-11,2.687047e-11,7.872607e-09,8.455642e-09,,,,,,
2018-09-03,3.930000e+01,-1.199000e+02,3.656228e-10,1.357779e-11,1.970501e-11,1.286812e-11,2.830140e-11,5.983182e-09,8.917618e-12,1.053040e-13,5.342531e-13,5.201778e-12,1.986227e-12,1.389940e-13,7.012919e-14,2.787376e-12,1.938803e-12,8.108471e-13,4.071335e-12,3.083858e-12,2.965265e-12,2.030094e-12,1.015503e-12,1.674976e-12,9.163715e-14,9.799507e-13,3.758068e-13,5.299839e-13,3.504885e-14,1.617349e-13,9.447129e-14,4.336232e-13,1.201675e-13,1.614214e-11,8.099969e-13,8.108471e-13,1.776298e-11,8.167956e-12,9.408396e-13,1.938803e-12,1.104760e-11,1.389940e-13,1.389940e-13,1.674976e-12,3.802879e-12,9.163715e-14,5.569492e-12,7.155193e-12,2.965265e-12,9.022921e-12,1.914338e-11,7.012919e-14,7.012919e-14,3.656228e-10,1.286812e-11,2.830140e-11,1.970501e-11,5.983182e-09,6.409679e-09,,,,,,
2018-09-03,3.950000e+01,-1.227000e+02,5.318149e-09,1.931064e-10,2.937838e-10,1.833708e-10,4.245209e-10,8.628378e-08,1.266302e-10,1.518595e-12,7.479543e-12,7.245334e-11,2.943228e-11,2.223904e-12,1.262325e-12,4.057180e-11,2.744152e-11,1.144195e-11,6.107002e-11,4.286562e-11,4.172552e-11,2.797018e-11,1.523255e-11,2.395216e-11,1.298193e-12,1.389748e-11,5.319112e-12,7.743655e-12,4.923529e-13,2.223854e-12,1.298980e-12,6.247387e-12,1.682345e-12,2.285561e-10,1.145257e-11,1.144195e-11,2.514506e-10,1.157831e-10,1.355512e-11,2.744152e-11,1.567797e-10,2.223904e-12,2.223904e-12,2.395216e-11,5.580435e-11,1.298193e-12,8.105470e-11,1.039357e-10,4.172552e-11,1.281488e-10,2.738099e-10,1.262325e-12,1.262325e-12,5.318149e-09,1.833708e-10,4.245209e-10,2.937838e-10,8.628378e-08,1.462775e+03,1.021550e-13,1.021550e-13,1.067814e+03,3.949613e+02,1.067814e+03,3.949613e+02
2018-09-03,3.950000e+01,-1.229000e+02,1.063630e-09,3.771609e-11,5.911503e-11,3.645968e-11,8.490419e-11,1.700483e-08,2.496933e-11,2.992851e-13,1.495909e-12,1.449067e-11,5.778116e-12,4.169820e-13,2.805168e-13,8.052418e-12,5.518131e-12,2.252353e-12,1.221400e-11,8.634802e-12,8.260381e-12,5.639149e-12,3.046510e-12,4.689933e-12,2.596386e-13,2.761679e-12,1.040696e-12,1.531065e-12,9.680159e-14,4.447708e-13,2.597961e-13,1.236629e-12,3.304606e-13,4.485115e-11,2.271657e-12,2.252353e-12,4.937516e-11,2.303046e-11,2.668562e-12,5.518131e-12,3.121716e-11,4.169820e-13,4.169820e-13,4.689933e-12,1.109893e-11,2.596386e-13,1.604850e-11,2.084881e-11,8.260381e-12,2.526862e-11,5.437780e-11,2.805168e-13,2.805168e-13,1.063630e-09,3.645968e-11,8.490419e-11,5.911503e-11,1.700483e-08,1.824897e-08,2.553874e-14,2.553874e-14,,,,
2018-09-03,4.010000e+01,-1.149000e+02,1.063630e-09,3.922473e-11,5.911503e-11,3.753202e-11,8.490418e-11,1.700483e-08,2.496933e-11,2.992851e-13,1.495909e-12,1.449067e-11,5.958682e-12,4.864790e-13,2.805168e-13,8.052418e-12,5.518132e-12,2.342447e-12,1.221400e-11,8.634802e-12,8.260380e-12,5.639149e-12,3.046510e-12,4.689933e-12,2.596386e-13,2.761679e-12,1.069604e-12,1.531065e-12,9.847058e-14,4.447708e-13,2.597961e-13,1.236629e-12,3.304606e-13,4.635979e-11,2.271657e-12,2.342447e-12,5.097389e-11,2.321103e-11,2.699139e-12,5.518132e-12,3.142830e-11,4.864790e-13,4.864790e-13,4.689933e-12,1.109893e-11,2.596386e-13,1.604850e-11,2.084881e-11,8.260380e-12,2.526861e-11,5.437780e-11,2.805168e-13,2.805168e-13,1.063630e-09,3.753202e-11,8.490418e-11,5.911503e-11,1.700483e-08,1.836471e+03,,,9.962408e+02,8.402301e+02,9.962408e+02,8.402301e+02
