date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-11-18,3.210000e+01,-9.470000e+01,1.113379e-09,4.064742e-11,6.130932e-11,3.826262e-11,8.832338e-11,1.788619e-08,2.640779e-11,3.147970e-13,1.548417e-12,1.515153e-11,6.179862e-12,4.710030e-13,2.553368e-13,8.344481e-12,5.755868e-12,2.361803e-12,1.284705e-11,8.982537e-12,8.637104e-12,5.748920e-12,1.859705e-14,3.142787e-12,5.000772e-12,2.669170e-13,2.919233e-12,1.115686e-12,1.608037e-12,1.020889e-13,4.710947e-13,2.751722e-13,1.302425e-12,3.500190e-13,4.794476e-11,2.398711e-12,2.361803e-12,5.270527e-11,2.425062e-11,2.825812e-12,5.755868e-12,3.283230e-11,4.710030e-13,4.710030e-13,5.000772e-12,1.148727e-11,2.669170e-13,1.675496e-11,2.182959e-11,8.637104e-12,2.672259e-11,5.718928e-11,2.553368e-13,2.553368e-13,1.113379e-09,3.826262e-11,8.832338e-11,6.130932e-11,1.859705e-14,1.788619e-08,1.918748e-08,,,,
2018-11-18,3.310000e+01,-1.107000e+02,1.234398e-09,4.504174e-11,6.913604e-11,4.294784e-11,1.000998e-10,2.017929e-08,2.987111e-11,3.551555e-13,1.734227e-12,1.704547e-11,6.837295e-12,5.181033e-13,3.064042e-13,9.472114e-12,6.407476e-12,2.689831e-12,1.432941e-11,1.010535e-11,9.716742e-12,6.570194e-12,1.859705e-14,3.604962e-12,5.610623e-12,3.002816e-13,3.243592e-12,1.241990e-12,1.822442e-12,1.154577e-13,5.299816e-13,3.095687e-13,1.466695e-12,3.937714e-13,5.334616e-11,2.700017e-12,2.689831e-12,5.873600e-11,2.712636e-11,3.179890e-12,6.407476e-12,3.671372e-11,5.181033e-13,5.181033e-13,5.610623e-12,1.307708e-11,3.002816e-13,1.898798e-11,2.443476e-11,9.716742e-12,3.022627e-11,6.437777e-11,3.064042e-13,3.064042e-13,1.234398e-09,4.294784e-11,1.000998e-10,6.913604e-11,1.859705e-14,2.017929e-08,2.162589e-08,,,,
2018-11-18,3.330000e+01,-9.750000e+01,1.984719e-09,7.250622e-11,1.095741e-10,6.871654e-11,1.589821e-10,3.233273e-08,4.762061e-11,5.690560e-13,2.787150e-12,2.705630e-11,1.104486e-11,8.242553e-13,4.596063e-13,1.511028e-11,1.031712e-11,4.264366e-12,2.272940e-11,1.594400e-11,1.557763e-11,1.051231e-11,3.719410e-14,5.730965e-12,8.903814e-12,4.893478e-13,5.189747e-12,1.978763e-12,2.894467e-12,1.835169e-13,8.244158e-13,4.815513e-13,2.334979e-12,6.271173e-13,8.580568e-11,4.268063e-12,4.264366e-12,9.433811e-11,4.329091e-11,5.056747e-12,1.031712e-11,5.866478e-11,8.242553e-13,8.242553e-13,8.903814e-12,2.084124e-11,4.893478e-13,3.023440e-11,3.867340e-11,1.557763e-11,4.818966e-11,1.024407e-10,4.596063e-13,4.596063e-13,1.984719e-09,6.871654e-11,1.589821e-10,1.095741e-10,3.719410e-14,3.233273e-08,3.465476e-08,,,,
2018-11-18,3.350000e+01,-9.490001e+01,3.872623e-10,1.428153e-11,2.217571e-11,1.405566e-11,3.238524e-11,6.420684e-09,9.524121e-12,1.130040e-13,5.574300e-13,5.411260e-12,2.235269e-12,1.648511e-13,1.021347e-13,2.931845e-12,2.063424e-12,8.528732e-13,4.447057e-12,3.143888e-12,3.084680e-12,2.135313e-12,,1.109219e-12,1.829551e-12,1.000939e-13,1.037949e-12,3.999627e-13,5.788934e-13,3.646031e-14,1.766605e-13,1.031896e-13,4.693424e-13,1.239651e-13,1.697427e-11,8.731576e-13,8.528732e-13,1.870030e-11,8.684478e-12,1.015316e-12,2.063424e-12,1.176322e-11,1.648511e-13,1.648511e-13,1.829551e-12,4.041063e-12,1.000939e-13,5.970708e-12,7.590945e-12,3.084680e-12,9.637125e-12,2.031275e-11,1.021347e-13,1.021347e-13,3.872623e-10,1.405566e-11,3.238524e-11,2.217571e-11,,6.420684e-09,6.876563e-09,,,,
2018-11-18,3.350000e+01,-1.109000e+02,1.452233e-10,5.492895e-12,7.826722e-12,4.685219e-12,1.177645e-11,2.293101e-09,3.463317e-12,4.035858e-14,1.858100e-13,1.893941e-12,7.889185e-13,4.710030e-14,5.106737e-14,1.127633e-12,7.602089e-13,3.280282e-13,1.482352e-12,1.122817e-12,1.079638e-12,6.570194e-13,,3.697397e-13,6.098502e-13,3.336462e-14,3.892310e-13,1.473547e-13,1.929645e-13,1.215344e-14,5.888684e-14,3.439652e-14,1.642699e-13,4.375237e-14,6.335724e-12,3.013056e-13,3.280282e-13,6.965057e-12,3.072091e-12,3.524726e-13,7.602089e-13,4.184772e-12,4.710030e-14,4.710030e-14,6.098502e-13,1.497372e-12,3.336462e-14,2.140587e-12,2.605170e-12,1.079638e-12,3.503675e-12,7.188483e-12,5.106737e-14,5.106737e-14,1.452233e-10,4.685219e-12,1.177645e-11,7.826722e-12,,2.293101e-09,1.159032e+03,7.272252e+02,4.318065e+02,7.272252e+02,4.318065e+02
2018-11-18,3.390000e+01,-1.099000e+02,3.267525e-09,1.483082e-10,1.761012e-10,1.054174e-10,3.974552e-10,3.095687e-08,5.844347e-11,5.448409e-13,8.361450e-12,3.652600e-11,1.775067e-11,3.179270e-12,6.894095e-12,3.044608e-11,1.466117e-11,8.856760e-12,6.670586e-11,3.031606e-11,2.082159e-11,2.217440e-11,2.510602e-12,1.247871e-11,1.646596e-11,1.501408e-12,8.757698e-12,2.841840e-12,2.894467e-12,1.640714e-13,3.974862e-12,2.321765e-12,1.572297e-12,9.844284e-13,1.788440e-10,8.853353e-12,8.856760e-12,1.965541e-10,6.303437e-11,5.900379e-12,1.466117e-11,8.359592e-11,3.179270e-12,3.179270e-12,1.646596e-11,4.292479e-11,1.501408e-12,6.089216e-11,9.702192e-11,2.082159e-11,5.898831e-11,1.768318e-10,6.894095e-12,6.894095e-12,3.267525e-09,1.054174e-10,3.974552e-10,1.761012e-10,2.510602e-12,3.095687e-08,2.249950e+03,1.699965e+03,5.499847e+02,1.699965e+03,5.499847e+02
2018-11-18,3.390000e+01,-1.097000e+02,1.452233e-09,6.591474e-11,7.826722e-11,4.685219e-11,1.766468e-10,1.375861e-08,2.597488e-11,2.421515e-13,3.716200e-12,1.623378e-11,7.889186e-12,1.413009e-12,3.064042e-12,1.353159e-11,6.516077e-12,3.936337e-12,2.964705e-11,1.347380e-11,9.254039e-12,9.855291e-12,1.115823e-12,5.546095e-12,7.318203e-12,6.672924e-13,3.892310e-12,1.263040e-12,1.286430e-12,7.292063e-14,1.766605e-12,1.031896e-12,7.040137e-13,4.375237e-13,7.948623e-11,3.940038e-12,3.936337e-12,8.736260e-11,2.801528e-11,2.622391e-12,6.516077e-12,3.715375e-11,1.413009e-12,1.413009e-12,7.318203e-12,1.907769e-11,6.672924e-13,2.706318e-11,4.312085e-11,9.254039e-12,2.621703e-11,7.859192e-11,3.064042e-12,3.064042e-12,1.452233e-09,4.685219e-11,1.766468e-10,7.826722e-11,1.115823e-12,1.375861e-08,2.249950e+03,1.699965e+03,5.499847e+02,1.699965e+03,5.499847e+02
2018-11-18,3.410000e+01,-1.101000e+02,3.194914e-09,1.450124e-10,1.721879e-10,1.030748e-10,3.886229e-10,3.026894e-08,5.714473e-11,5.327333e-13,8.175640e-12,3.571432e-11,1.735621e-11,3.108620e-12,6.740893e-12,2.976950e-11,1.433537e-11,8.659944e-12,6.522351e-11,2.964238e-11,2.035889e-11,2.168164e-11,2.454811e-12,1.220141e-11,1.610005e-11,1.468043e-12,8.563083e-12,2.778689e-12,2.830146e-12,1.604254e-13,3.886532e-12,2.270170e-12,1.537097e-12,9.625522e-13,1.748697e-10,8.656351e-12,8.659944e-12,1.921860e-10,6.163361e-11,5.769260e-12,1.433537e-11,8.173824e-11,3.108620e-12,3.108620e-12,1.610005e-11,4.197091e-11,1.468043e-12,5.953900e-11,9.486588e-11,2.035889e-11,5.767746e-11,1.729022e-10,6.740893e-12,6.740893e-12,3.194914e-09,1.030748e-10,3.886229e-10,1.721879e-10,2.454811e-12,3.026894e-08,2.113585e+03,1.590847e+03,5.227374e+02,1.590847e+03,5.227374e+02
2018-11-18,3.430000e+01,-9.509999e+01,8.713401e-10,3.954884e-11,4.696033e-11,2.811131e-11,1.059881e-10,8.255165e-09,1.558493e-11,1.452909e-13,2.229720e-12,9.740269e-12,4.733511e-12,8.478054e-13,1.838425e-12,8.118954e-12,3.909646e-12,2.361803e-12,1.778823e-11,8.084283e-12,5.552424e-12,5.913174e-12,6.694939e-13,3.327657e-12,4.390922e-12,4.003755e-13,2.335386e-12,7.578241e-13,7.718579e-13,4.375237e-14,1.059963e-12,6.191373e-13,4.106746e-13,2.625142e-13,4.769174e-11,2.352289e-12,2.361803e-12,5.240583e-11,1.680917e-11,1.573434e-12,3.909646e-12,2.229225e-11,8.478054e-13,8.478054e-13,4.390922e-12,1.144661e-11,4.003755e-13,1.623791e-11,2.587251e-11,5.552424e-12,1.573022e-11,4.715515e-11,1.838425e-12,1.838425e-12,8.713401e-10,2.811131e-11,1.059881e-10,4.696033e-11,6.694939e-13,8.255165e-09,9.308234e-09,,,,
2018-11-18,3.450000e+01,-1.133000e+02,1.210195e-10,4.394316e-12,6.522268e-12,4.685219e-12,8.832339e-12,2.063791e-09,3.030402e-12,3.632272e-14,1.858100e-13,1.623378e-12,6.574322e-13,4.710030e-14,5.106737e-14,9.021061e-13,6.516077e-13,2.624225e-13,1.482352e-12,8.982536e-13,9.254040e-13,6.570194e-13,,3.697397e-13,6.098503e-13,3.336462e-14,3.243592e-13,1.263040e-13,1.715240e-13,1.215344e-14,5.888684e-14,3.439652e-14,1.525363e-13,3.646031e-14,5.237146e-12,2.822800e-13,2.624225e-13,5.781848e-12,2.605170e-12,3.099815e-13,6.516077e-13,3.566759e-12,4.710030e-14,4.710030e-14,6.098503e-13,1.271846e-12,3.336462e-14,1.915061e-12,2.380606e-12,9.254040e-13,3.066725e-12,6.372735e-12,5.106737e-14,5.106737e-14,1.210195e-10,4.685219e-12,8.832339e-12,6.522268e-12,,2.063791e-09,2.204851e-09,,,,
