date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-09-01,3.170000e+01,-1.017000e+02,1.794875e-09,6.487167e-11,9.852506e-11,6.219593e-11,1.455500e-10,2.928610e-08,4.280457e-11,5.154354e-13,2.564415e-12,2.452267e-11,9.931138e-12,7.644669e-13,4.207751e-13,1.362717e-11,9.246598e-12,3.874047e-12,2.035667e-11,1.449413e-11,1.397911e-11,9.473770e-12,2.553874e-14,5.204455e-12,8.039885e-12,4.429129e-13,4.721581e-12,1.792309e-12,2.620476e-12,1.668993e-13,7.682406e-13,4.487386e-13,2.103876e-12,5.707956e-13,7.690985e-11,3.891650e-12,3.874047e-12,8.467555e-11,3.917539e-11,4.579685e-12,9.246598e-12,5.300167e-11,7.644669e-13,7.644669e-13,8.039885e-12,1.883162e-11,4.429129e-13,2.731442e-11,3.485081e-11,1.397911e-11,4.332000e-11,9.214991e-11,4.207751e-13,4.207751e-13,1.794875e-09,6.219593e-11,1.455500e-10,9.852506e-11,2.553874e-14,2.928610e-08,3.138727e-08,,,,
2018-09-01,3.190000e+01,-1.017000e+02,1.661922e-10,6.034574e-12,1.074819e-11,6.434062e-12,1.617223e-11,2.834139e-09,4.161555e-12,4.988084e-14,2.137012e-13,2.600889e-12,1.083397e-12,6.949699e-14,7.012919e-14,1.238834e-12,8.948321e-13,3.603765e-13,2.035667e-12,1.541929e-12,1.482632e-12,9.022638e-13,,5.077517e-13,8.374880e-13,4.581858e-14,4.454322e-13,1.734493e-13,2.649920e-13,1.668993e-14,8.086743e-14,4.723565e-14,2.087816e-13,6.008374e-14,7.150540e-12,3.969684e-13,3.603765e-13,7.907884e-12,4.129718e-12,4.551312e-13,8.948321e-13,5.479681e-12,6.949699e-14,6.949699e-14,8.374880e-13,1.746585e-12,4.581858e-14,2.629892e-12,3.577596e-12,1.482632e-12,4.211435e-12,9.271664e-12,7.012919e-14,7.012919e-14,1.661922e-10,6.434062e-12,1.617223e-11,1.074819e-11,,2.834139e-09,3.033685e-09,,,,
2018-09-01,3.310000e+01,-1.107000e+02,3.988612e-10,1.508644e-11,2.328774e-11,1.394047e-11,3.234445e-11,6.612991e-09,1.010663e-11,1.163886e-13,5.342531e-13,5.573334e-12,2.347360e-12,1.389940e-13,7.012919e-14,3.097084e-12,2.087942e-12,9.009412e-13,4.749891e-12,3.392244e-12,3.177070e-12,2.255660e-12,,1.142441e-12,1.842474e-12,1.069100e-13,1.069037e-12,4.047150e-13,5.888711e-13,3.838684e-14,1.617349e-13,9.447129e-14,4.818036e-13,1.301814e-13,1.787635e-11,8.681912e-13,9.009412e-13,1.964548e-11,8.989731e-12,1.031973e-12,2.087942e-12,1.210965e-11,1.389940e-13,1.389940e-13,1.842474e-12,4.239525e-12,1.069100e-13,6.188909e-12,8.142135e-12,3.177070e-12,1.022302e-11,2.154223e-11,7.012919e-14,7.012919e-14,3.988612e-10,1.394047e-11,3.234445e-11,2.328774e-11,,6.612991e-09,7.081424e-09,,,,
2018-09-01,3.330000e+01,-9.530000e+01,1.994306e-10,7.543218e-12,1.074819e-11,7.506406e-12,1.617223e-11,3.463947e-09,4.756062e-12,6.096547e-14,3.205519e-13,2.972445e-12,1.083397e-12,6.949699e-14,7.012919e-14,1.548542e-12,1.043971e-12,4.504706e-13,2.035667e-12,1.541929e-12,1.694437e-12,1.127830e-12,,6.346897e-13,1.004986e-12,4.581858e-14,5.345186e-13,2.023575e-13,2.944355e-13,1.835892e-14,8.086743e-14,4.723565e-14,2.409018e-13,7.009770e-14,8.991599e-12,4.391026e-13,4.504706e-13,9.881172e-12,4.590360e-12,5.151519e-13,1.043971e-12,6.149483e-12,6.949699e-14,6.949699e-14,1.004986e-12,2.183232e-12,4.581858e-14,3.234036e-12,3.577597e-12,1.694437e-12,4.817028e-12,1.008906e-11,7.012919e-14,7.012919e-14,1.994306e-10,7.506406e-12,1.617223e-11,1.074819e-11,,3.463947e-09,2.375025e+03,1.800020e+03,5.750049e+02,1.800020e+03,5.750049e+02
2018-09-01,3.370000e+01,-9.450000e+01,8.641993e-10,3.168152e-11,4.836685e-11,3.002562e-11,6.873196e-11,1.417069e-08,2.080777e-11,2.494042e-13,1.175357e-12,1.188978e-11,4.875286e-12,3.474850e-13,2.103876e-13,6.503876e-12,4.474161e-12,1.891977e-12,1.017834e-11,7.092873e-12,6.777749e-12,4.511319e-12,2.553874e-14,2.538758e-12,3.852445e-12,2.138200e-13,2.227161e-12,8.672465e-13,1.266073e-12,8.011166e-14,3.639034e-13,2.125604e-13,1.027848e-12,2.703768e-13,3.736819e-11,1.874688e-12,1.891977e-12,4.113486e-11,1.899223e-11,2.213431e-12,4.474161e-12,2.567982e-11,3.474850e-13,3.474850e-13,3.852445e-12,9.042635e-12,2.138200e-13,1.310890e-11,1.727121e-11,6.777749e-12,2.105718e-11,4.510614e-11,2.103876e-13,2.103876e-13,8.641993e-10,3.002562e-11,6.873196e-11,4.836685e-11,2.553874e-14,1.417069e-08,1.518204e-08,,,,
2018-09-01,3.450000e+01,-1.197000e+02,4.686619e-09,1.704767e-10,2.597479e-10,1.608516e-10,3.760043e-10,7.589194e-08,1.117675e-10,1.335698e-12,6.624738e-12,6.390755e-11,2.582095e-11,1.945916e-12,1.122067e-12,3.561646e-11,2.416047e-11,1.009054e-11,5.360590e-11,3.762307e-11,3.664220e-11,2.458669e-11,7.661622e-14,1.345542e-11,2.110470e-11,1.145464e-12,1.220484e-11,4.683131e-12,6.801461e-12,4.322692e-13,1.940818e-12,1.157273e-12,5.508621e-12,1.482066e-12,2.016882e-10,1.008878e-11,1.009054e-11,2.218675e-10,1.019333e-10,1.191686e-11,2.416047e-11,1.380107e-10,1.945916e-12,1.945916e-12,2.110470e-11,4.907189e-11,1.145464e-12,7.132205e-11,9.122897e-11,3.664220e-11,1.131032e-10,2.409744e-10,1.122067e-12,1.122067e-12,4.686619e-09,1.608516e-10,3.760043e-10,2.597479e-10,7.661622e-14,7.589194e-08,1.500020e+03,1.050030e+03,4.499901e+02,1.050030e+03,4.499901e+02
2018-09-01,3.490000e+01,-1.119000e+02,1.296299e-09,5.883710e-11,6.986322e-11,4.182141e-11,1.576792e-10,1.228127e-08,2.318581e-11,2.161503e-13,3.312369e-12,1.449067e-11,7.042080e-12,1.250946e-12,2.735038e-12,1.207863e-11,5.816409e-12,3.513671e-12,2.646368e-11,1.202705e-11,8.260382e-12,8.797073e-12,9.960110e-13,4.950579e-12,6.532407e-12,5.956415e-13,3.474371e-12,1.127420e-12,1.148299e-12,6.509072e-14,1.576915e-12,9.210951e-13,6.263447e-13,3.905443e-13,7.094655e-11,3.514899e-12,3.513671e-12,7.797511e-11,2.500712e-11,2.340810e-12,5.816409e-12,3.316434e-11,1.250946e-12,1.250946e-12,6.532407e-12,1.702921e-11,5.956415e-13,2.415725e-11,3.849072e-11,8.260382e-12,2.340196e-11,7.015306e-11,2.735038e-12,2.735038e-12,1.296299e-09,4.182141e-11,1.576792e-10,6.986322e-11,9.960110e-13,1.228127e-08,2.874975e+03,2.049980e+03,8.249951e+02,2.049980e+03,8.249951e+02
2018-09-01,3.530000e+01,-1.005000e+02,6.647687e-10,2.413830e-11,3.761866e-11,2.251922e-11,5.255973e-11,1.070675e-08,1.605171e-11,1.884387e-13,9.616556e-13,8.917335e-12,3.611323e-12,2.779880e-13,1.402584e-13,4.955334e-12,3.430190e-12,1.441506e-12,7.464114e-12,5.242559e-12,5.295116e-12,3.609055e-12,,1.904069e-12,3.014957e-12,1.680014e-13,1.781729e-12,6.648890e-13,9.716373e-13,6.175273e-14,2.830360e-13,1.653248e-13,7.869459e-13,2.102931e-13,2.870901e-11,1.445600e-12,1.441506e-12,3.159611e-11,1.431039e-11,1.698279e-12,3.430190e-12,1.943886e-11,2.779880e-13,2.779880e-13,3.014957e-12,6.859403e-12,1.680014e-13,1.004236e-11,1.270667e-11,5.295116e-12,1.624015e-11,3.424194e-11,1.402584e-13,1.402584e-13,6.647687e-10,2.251922e-11,5.255973e-11,3.761866e-11,,1.070675e-08,1.148421e-08,,,,
2018-09-01,3.590000e+01,-1.191000e+02,1.861352e-09,8.448404e-11,1.003164e-10,6.005124e-11,2.264112e-10,1.763464e-08,3.329244e-11,3.103697e-13,4.701427e-12,2.080711e-11,1.011170e-11,1.806922e-12,3.927235e-12,1.734367e-11,8.351766e-12,5.045271e-12,3.799912e-11,1.726960e-11,1.186106e-11,1.263169e-11,1.430169e-12,7.108524e-12,9.379866e-12,8.552801e-13,4.988840e-12,1.618860e-12,1.648839e-12,9.346360e-14,2.264288e-12,1.322598e-12,8.993667e-13,5.607816e-13,1.018172e-10,5.047034e-12,5.045271e-12,1.119095e-10,3.590766e-11,3.361163e-12,8.351766e-12,4.762058e-11,1.806922e-12,1.806922e-12,9.379866e-12,2.445219e-11,8.552801e-13,3.468734e-11,5.526873e-11,1.186106e-11,3.360281e-11,1.007326e-10,3.927235e-12,3.927235e-12,1.861352e-09,6.005124e-11,2.264112e-10,1.003164e-10,1.430169e-12,1.763464e-08,1.988420e-08,,,,
2018-09-01,3.630000e+01,-9.690001e+01,6.647687e-10,2.413830e-11,3.582729e-11,2.251922e-11,5.255973e-11,1.070675e-08,1.545720e-11,1.884387e-13,9.616556e-13,8.917335e-12,3.611323e-12,2.779880e-13,1.402584e-13,4.955334e-12,3.430190e-12,1.441506e-12,7.464114e-12,5.242559e-12,5.083311e-12,3.383489e-12,,1.904069e-12,3.014957e-12,1.527286e-13,1.692642e-12,6.648890e-13,9.421937e-13,6.008374e-14,2.830360e-13,1.653248e-13,7.708857e-13,2.102931e-13,2.848344e-11,1.429540e-12,1.441506e-12,3.135449e-11,1.422130e-11,1.667167e-12,3.430190e-12,1.931866e-11,2.779880e-13,2.779880e-13,3.014957e-12,6.859403e-12,1.527286e-13,1.002709e-11,1.270667e-11,5.083311e-12,1.564564e-11,3.343563e-11,1.402584e-13,1.402584e-13,6.647687e-10,2.251922e-11,5.255973e-11,3.582729e-11,,1.070675e-08,1.148242e-08,,,,
