date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c2h6sfire,other_dms
2018-07-27,3.410000e+01,-1.123000e+02,,,2.811731e-10,8.508022e-12,1.515365e-11,9.071251e-12,2.280089e-11,4.439771e-09,6.705474e-12,7.813996e-14,4.796728e-13,3.143091e-12,1.648124e-12,,,1.746606e-12,1.261605e-12,5.080873e-13,3.826727e-12,1.739147e-12,1.791714e-12,1.272083e-12,7.158686e-13,1.036986e-12,4.306577e-14,7.536066e-13,2.445426e-13,4.151185e-13,2.353078e-14,1.140133e-13,6.659656e-14,3.169996e-13,8.471082e-14,1.025978e-11,5.823203e-13,5.080873e-13,1.135019e-11,5.544822e-12,6.831919e-13,1.261605e-12,7.489619e-12,,,1.036986e-12,2.462474e-12,4.306577e-14,3.542526e-12,5.565874e-12,1.791714e-12,6.783614e-12,1.414120e-11,,,2.811731e-10,9.071251e-12,2.280089e-11,1.515365e-11,,,4.439771e-09,4.767970e-09,,
2018-07-27,3.450000e+01,-1.113000e+02,2.086384e+03,2.059087e+03,1.030968e-09,4.679412e-11,5.556337e-11,3.326125e-11,1.254049e-10,9.767495e-09,1.844005e-11,1.719079e-13,2.638200e-12,1.152467e-11,6.043123e-12,8.972039e-13,2.175221e-12,9.606331e-12,4.625886e-12,2.794480e-12,2.104700e-11,9.565308e-12,6.569617e-12,6.996457e-12,3.937277e-12,5.703421e-12,4.737234e-13,2.763224e-12,8.966561e-13,9.132608e-13,5.176773e-14,1.254146e-12,7.325622e-13,4.981423e-13,3.106064e-13,5.642878e-11,2.795457e-12,2.794480e-12,6.201872e-11,2.033101e-11,1.861684e-12,4.625886e-12,2.681859e-11,8.972039e-13,8.972039e-13,5.703421e-12,1.354361e-11,4.737234e-13,1.972075e-11,3.061231e-11,6.569617e-12,1.861196e-11,5.579388e-11,2.175221e-12,2.175221e-12,1.030968e-09,3.326125e-11,1.254049e-10,5.556337e-11,2.086384e+03,2.059087e+03,9.767495e-09,4.145471e+03,7.921439e-13,7.921439e-13
2018-07-27,3.470000e+01,-1.129000e+02,2.682943e+03,1.999992e+03,5.623461e-09,2.084465e-10,3.131754e-10,1.965438e-10,4.446173e-10,9.234723e-08,1.357859e-10,1.625311e-12,7.914601e-12,7.752958e-11,3.131437e-11,2.243009e-12,1.384232e-12,4.366514e-11,2.901692e-11,1.219410e-11,6.505435e-11,4.521782e-11,4.419561e-11,2.925791e-11,1.610704e-11,2.592464e-11,1.378105e-12,1.482093e-11,5.624479e-12,8.219347e-12,5.223834e-13,2.394280e-12,1.398528e-12,6.656992e-12,1.807164e-12,2.456190e-10,1.225696e-11,1.219410e-11,2.700701e-10,1.236649e-10,1.436621e-11,2.901692e-11,1.670480e-10,2.243009e-12,2.243009e-12,2.592464e-11,5.977219e-11,1.378105e-12,8.707493e-11,1.102722e-10,4.419561e-11,1.374112e-10,2.918789e-10,1.384232e-12,1.384232e-12,5.623461e-09,1.965438e-10,4.446173e-10,3.131754e-10,2.682943e+03,1.999992e+03,9.234723e-08,4.682935e+03,7.201307e-14,7.201307e-14
2018-07-27,3.550000e+01,-1.117000e+02,3.043537e+03,1.512498e+03,4.095754e-08,1.859003e-09,2.207381e-09,1.321379e-09,4.981993e-09,3.880359e-07,7.325731e-10,6.829433e-12,1.048085e-10,4.578436e-10,2.224968e-10,3.992557e-11,8.641560e-11,3.816334e-10,1.837738e-10,1.110171e-10,8.361399e-10,3.800036e-10,2.609930e-10,2.779502e-10,1.564173e-10,2.063601e-10,1.881974e-11,1.097754e-10,3.562170e-11,3.628136e-11,2.056591e-12,4.982382e-11,2.910270e-11,1.978983e-11,1.233954e-11,2.241761e-09,1.110559e-10,1.110171e-10,2.463834e-09,7.901158e-10,7.395966e-11,1.837738e-10,1.047849e-09,3.992557e-11,3.992557e-11,2.063601e-10,5.380507e-10,1.881974e-11,7.632305e-10,1.216144e-09,2.609930e-10,7.394025e-10,2.216539e-09,8.641560e-11,8.641560e-11,4.095754e-08,1.321379e-09,4.981993e-09,2.207381e-09,3.043537e+03,1.512498e+03,3.880359e-07,4.556035e+03,3.146972e-11,3.146972e-11
2018-07-27,3.570000e+01,-1.069000e+02,2.132901e+03,7.851960e+02,2.811731e-10,1.276203e-11,1.515365e-11,9.071252e-12,3.420133e-11,2.663862e-09,5.029106e-12,4.688398e-14,7.195093e-13,3.143091e-12,1.648125e-12,2.243010e-13,5.932421e-13,2.619909e-12,1.261605e-12,7.621310e-13,5.740091e-12,2.608721e-12,1.791714e-12,1.908125e-12,1.073803e-12,1.555478e-12,1.291973e-13,7.536066e-13,2.445426e-13,2.490711e-13,1.411847e-14,3.420399e-13,1.997897e-13,1.358570e-13,8.471082e-14,1.538967e-11,7.623974e-13,7.621310e-13,1.691420e-11,5.544823e-12,5.077322e-13,1.261605e-12,7.314161e-12,2.243010e-13,2.243010e-13,1.555478e-12,3.693712e-12,1.291973e-13,5.378387e-12,8.348811e-12,1.791714e-12,5.075990e-12,1.521651e-11,5.932421e-13,5.932421e-13,2.811731e-10,9.071252e-12,3.420133e-11,1.515365e-11,2.132901e+03,7.851960e+02,2.663862e-09,2.918097e+03,2.160392e-13,2.160392e-13
2018-07-27,3.570000e+01,-1.067000e+02,2.146541e+03,7.907585e+02,1.874487e-10,8.508022e-12,1.010243e-11,6.047500e-12,2.280089e-11,1.775908e-09,3.352737e-12,3.125599e-14,4.796728e-13,2.095394e-12,1.098750e-12,2.243010e-13,3.954948e-13,1.746606e-12,8.410702e-13,5.080873e-13,3.826727e-12,1.739147e-12,1.194476e-12,1.272083e-12,7.158687e-13,1.036986e-12,8.613155e-14,5.024044e-13,1.630284e-13,1.660474e-13,9.412314e-15,2.280266e-13,1.331931e-13,9.057132e-14,5.647388e-14,1.025978e-11,5.082649e-13,5.080873e-13,1.127613e-11,3.696549e-12,3.384881e-13,8.410702e-13,4.876107e-12,2.243010e-13,2.243010e-13,1.036986e-12,2.462474e-12,8.613155e-14,3.585592e-12,5.565874e-12,1.194476e-12,3.383993e-12,1.014434e-11,3.954948e-13,3.954948e-13,1.874487e-10,6.047500e-12,2.280089e-11,1.010243e-11,2.146541e+03,7.907585e+02,1.775908e-09,2.937300e+03,1.440262e-13,1.440262e-13
2018-07-27,3.590000e+01,-9.970000e+01,,,1.124692e-09,3.828610e-11,6.061459e-11,3.930875e-11,9.120354e-11,1.775908e-08,2.682190e-11,3.125598e-13,1.439019e-12,1.466776e-11,6.043123e-12,4.486019e-13,1.977474e-13,8.733029e-12,5.466956e-12,2.286393e-12,1.339354e-11,8.695735e-12,8.361332e-12,5.724374e-12,3.221409e-12,5.184928e-12,2.583947e-13,2.763225e-12,1.059684e-12,1.577451e-12,1.035355e-13,4.560532e-13,2.663863e-13,1.267999e-12,3.388433e-13,4.544949e-11,2.329281e-12,2.286393e-12,5.006516e-11,2.347410e-11,2.740670e-12,5.466956e-12,3.168173e-11,4.486019e-13,4.486019e-13,5.184928e-12,1.195444e-11,2.583947e-13,1.739776e-11,2.208928e-11,8.361332e-12,2.713446e-11,5.758507e-11,1.977474e-13,1.977474e-13,1.124692e-09,3.930875e-11,9.120354e-11,6.061459e-11,,,1.775908e-08,1.907490e-08,,
2018-07-27,3.590000e+01,-1.069000e+02,1.942986e+03,9.749870e+02,1.593314e-09,7.231818e-11,8.587067e-11,5.140375e-11,1.938075e-10,1.509522e-08,2.849826e-11,2.656759e-13,4.077219e-12,1.781085e-11,8.240623e-12,1.570107e-12,3.361705e-12,1.484615e-11,7.149096e-12,4.318742e-12,3.252718e-11,1.478275e-11,1.015305e-11,1.081270e-11,6.084883e-12,7.777390e-12,7.321183e-13,4.270438e-12,1.385741e-12,1.411403e-12,8.000467e-14,1.938226e-12,1.132141e-12,7.698562e-13,4.800280e-13,8.720810e-11,4.320252e-12,4.318742e-12,9.584709e-11,3.032191e-11,2.877149e-12,7.149096e-12,4.034816e-11,1.570107e-12,1.570107e-12,7.777390e-12,2.093103e-11,7.321183e-13,2.944054e-11,4.730993e-11,1.015305e-11,2.876394e-11,8.622691e-11,3.361705e-12,3.361705e-12,1.593314e-09,5.140375e-11,1.938075e-10,8.587067e-11,1.942986e+03,9.749870e+02,1.509522e-08,2.917973e+03,1.224222e-12,1.224222e-12
2018-07-27,3.630000e+01,-1.191000e+02,,,9.372436e-10,3.403209e-11,5.556337e-11,3.326125e-11,7.980310e-11,1.598317e-08,2.346916e-11,2.813039e-13,1.439019e-12,1.362006e-11,5.493748e-12,4.486019e-13,1.977474e-13,6.986423e-12,5.046421e-12,2.032349e-12,1.148018e-11,7.826162e-12,7.764093e-12,5.088333e-12,2.863474e-12,4.147942e-12,2.583947e-13,2.512022e-12,9.781702e-13,1.411403e-12,8.941698e-14,4.560532e-13,2.663863e-13,1.132141e-12,3.106064e-13,4.055944e-11,2.165187e-12,2.032349e-12,4.475698e-11,2.162583e-11,2.478990e-12,5.046421e-12,2.915124e-11,4.486019e-13,4.486019e-13,4.147942e-12,9.849898e-12,2.583947e-13,1.425624e-11,1.930634e-11,7.764093e-12,2.375047e-11,5.082090e-11,1.977474e-13,1.977474e-13,9.372436e-10,3.326125e-11,7.980310e-11,5.556337e-11,,,1.598317e-08,1.708904e-08,,
2018-07-27,3.630000e+01,-1.189000e+02,,,1.312141e-09,5.955615e-11,7.071702e-11,4.233250e-11,1.596062e-10,1.243136e-08,2.346916e-11,2.187919e-13,3.357710e-12,1.466776e-11,7.141873e-12,1.345806e-12,2.768463e-12,1.222624e-11,5.887491e-12,3.556611e-12,2.678709e-11,1.217403e-11,8.361332e-12,8.904582e-12,5.011081e-12,6.740406e-12,6.029209e-13,3.516831e-12,1.141199e-12,1.162332e-12,6.588619e-14,1.596186e-12,9.323519e-13,6.339993e-13,3.953172e-13,7.181845e-11,3.557855e-12,3.556611e-12,7.893292e-11,2.532646e-11,2.369417e-12,5.887491e-12,3.358337e-11,1.345806e-12,1.345806e-12,6.740406e-12,1.723732e-11,6.029209e-13,2.458065e-11,3.896112e-11,8.361332e-12,2.368795e-11,7.101041e-11,2.768463e-12,2.768463e-12,1.312141e-09,4.233250e-11,1.596062e-10,7.071702e-11,,,1.243136e-08,1.401716e-08,1.008183e-12,1.008183e-12
