date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,terpenesfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,c2h6sfire,other_dms
2018-08-19,3.930000e+01,-1.229000e+02,2.004746e+02,7.534372e+01,3.056601e-09,1.118305e-10,1.647336e-10,1.035432e-10,2.416692e-10,4.922953e-08,7.201777e-11,8.664397e-13,4.200499e-12,4.100183e-11,1.665808e-11,2.336075e-11,1.577198e-11,6.628032e-12,3.431993e-11,2.344139e-11,2.337302e-11,1.555726e-11,8.333523e-12,1.286320e-11,7.022448e-13,7.782754e-12,3.057154e-12,4.332199e-12,2.762646e-13,1.301397e-12,7.601619e-13,3.544526e-12,9.669259e-13,1.315883e-10,6.573011e-12,6.628032e-12,1.447893e-10,6.544267e-11,7.665617e-12,1.577198e-11,8.888027e-11,1.286320e-11,3.169427e-11,7.022448e-13,4.525971e-11,5.776132e-11,2.337302e-11,7.288421e-11,1.540185e-10,3.056601e-09,1.035432e-10,2.416692e-10,1.647336e-10,2.004746e+02,7.534372e+01,4.922953e-08,2.758183e+02,1.236587e-12,6.449069e-13,1.236587e-12,1.236587e-12,6.449069e-13,6.449069e-13,,
2018-08-19,3.930000e+01,-1.231000e+02,,,7.641502e-10,2.795762e-11,4.118340e-11,2.465314e-11,5.576982e-11,1.158342e-08,1.895204e-11,2.038682e-13,9.334442e-13,1.025046e-11,4.543114e-12,6.371112e-12,4.114431e-12,1.657008e-12,9.359982e-12,5.860348e-12,5.843256e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.106734e-13,2.048093e-12,7.975184e-13,1.083050e-12,6.906614e-14,3.718278e-13,2.171891e-13,8.861316e-13,2.302205e-13,3.303967e-11,1.705369e-12,1.657008e-12,3.640205e-11,1.684167e-11,1.949634e-12,4.114431e-12,2.290573e-11,2.858488e-12,8.454493e-12,2.106734e-13,1.152365e-11,1.522033e-11,5.843256e-12,1.915591e-11,4.021950e-11,7.641502e-10,2.465314e-11,5.576982e-11,4.118340e-11,,,1.158342e-08,1.246918e-08,6.182936e-13,3.224534e-13,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,
2018-08-19,3.950000e+01,-1.227000e+02,2.394122e+02,9.369325e+01,5.807542e-09,2.143418e-10,3.212305e-10,2.021557e-10,4.647485e-10,9.411528e-08,1.402451e-10,1.656429e-12,8.400998e-12,8.029526e-11,3.180180e-11,4.459779e-11,3.017249e-11,1.242756e-11,6.551987e-11,4.688279e-11,4.577217e-11,3.007736e-11,1.666705e-11,2.572639e-11,1.404490e-12,1.515589e-11,5.848468e-12,8.529016e-12,5.371811e-13,2.416880e-12,1.411729e-12,6.867520e-12,1.841764e-12,2.528202e-10,1.253789e-11,1.242756e-11,2.777856e-10,1.272529e-10,1.491466e-11,3.017249e-11,1.723401e-10,2.572639e-11,6.126483e-11,1.404490e-12,8.839571e-11,1.124027e-10,4.577217e-11,1.419015e-10,3.000764e-10,5.807542e-09,2.021557e-10,4.647485e-10,3.212305e-10,2.394122e+02,9.369325e+01,9.411528e-08,3.331055e+02,2.473174e-12,1.289814e-12,2.473174e-12,2.473174e-12,1.289814e-12,1.289814e-12,1.174269e-13,1.174269e-13
2018-08-19,3.950000e+01,-1.229000e+02,2.571331e+02,9.998779e+01,1.146225e-08,4.193644e-10,6.342243e-10,3.944502e-10,9.109071e-10,1.853347e-07,2.729094e-10,3.261891e-12,1.586855e-11,1.554653e-10,6.360359e-11,8.707187e-11,5.897351e-11,2.444087e-11,1.310397e-10,9.230049e-11,8.959659e-11,6.015472e-11,3.263963e-11,5.145279e-11,2.808979e-12,2.990216e-11,1.143110e-11,1.665189e-11,1.059014e-12,4.833761e-12,2.823458e-12,1.343966e-11,3.637483e-12,4.953876e-10,2.473436e-11,2.444087e-11,5.445629e-10,2.489710e-10,2.914200e-11,5.897351e-11,3.370865e-10,5.145279e-11,1.197115e-10,2.808979e-12,1.739733e-10,2.233402e-10,8.959659e-11,2.761713e-10,5.891081e-10,1.146225e-08,3.944502e-10,9.109071e-10,6.342243e-10,2.571331e+02,9.998779e+01,1.853347e-07,3.571208e+02,4.946349e-12,2.579627e-12,4.946349e-12,4.946349e-12,2.579627e-12,2.579627e-12,2.348538e-13,2.348538e-13
2018-08-19,3.990000e+01,-1.113000e+02,1.047097e+03,6.822136e+02,9.169803e-10,2.795763e-11,4.942008e-11,2.958376e-11,7.435976e-11,1.447927e-08,2.274245e-11,2.548352e-13,1.400166e-12,1.195887e-11,4.543115e-12,6.371112e-12,4.800169e-12,2.071260e-12,9.359982e-12,7.325436e-12,6.817133e-12,4.148602e-12,2.777841e-12,4.287732e-12,2.106735e-13,2.457712e-12,9.304381e-13,1.218431e-12,8.441417e-14,3.718278e-13,2.171891e-13,1.033820e-12,2.762646e-13,3.350639e-11,1.899102e-12,2.071260e-12,3.747675e-11,1.895969e-11,2.233283e-12,4.800169e-12,2.599315e-11,4.287732e-12,9.148953e-12,2.106735e-13,1.364736e-11,1.668542e-11,6.817133e-12,2.299729e-11,4.649984e-11,9.169803e-10,2.958376e-11,7.435976e-11,4.942008e-11,1.047097e+03,6.822136e+02,1.447927e-08,1.729311e+03,6.182936e-13,3.224534e-13,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,
2018-08-19,4.010000e+01,-1.109000e+02,8.181725e+02,6.136221e+02,6.113201e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334441e-13,8.542047e-12,3.028743e-12,4.247408e-12,3.428692e-12,1.242756e-12,6.239987e-12,4.395261e-12,4.869380e-12,3.111451e-12,2.083380e-12,2.858488e-12,1.404489e-13,1.638475e-12,6.645987e-13,9.476685e-13,6.139212e-14,1.859139e-13,1.085946e-13,7.384430e-13,1.841764e-13,2.268331e-11,1.217128e-12,1.242756e-12,2.514319e-11,1.320926e-11,1.673659e-12,3.428692e-12,1.831161e-11,2.858488e-12,6.330789e-12,1.404489e-13,9.329726e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113201e-10,1.972251e-11,5.576982e-11,3.294672e-11,8.181725e+02,6.136221e+02,1.013549e-08,1.431795e+03,,,,,,,,
2018-08-19,4.070000e+01,-1.225000e+02,1.817893e+02,1.363817e+02,1.299055e-08,5.871101e-10,7.001178e-10,4.191033e-10,1.580145e-09,1.230738e-07,2.312149e-10,2.166099e-12,3.313726e-11,1.452148e-10,7.117546e-11,1.210511e-10,5.828776e-11,3.521142e-11,2.651995e-10,1.201371e-10,8.277946e-11,8.815779e-11,5.000114e-11,6.574521e-11,5.969080e-12,3.481759e-11,1.129818e-11,1.150740e-11,6.522913e-13,1.580268e-11,9.230537e-12,6.276765e-12,3.913748e-12,7.084051e-10,3.522373e-11,3.521142e-11,7.788403e-10,2.512079e-10,2.345787e-11,5.828776e-11,3.329535e-10,6.574521e-11,1.710523e-10,5.969080e-12,2.427666e-10,3.853366e-10,8.277946e-11,2.333810e-10,7.014971e-10,1.299055e-08,4.191033e-10,1.580145e-09,7.001178e-10,1.817893e+02,1.363817e+02,1.230738e-07,3.181710e+02,1.236587e-11,2.740854e-11,1.236587e-11,1.236587e-11,2.740854e-11,2.740854e-11,9.981287e-12,9.981287e-12
2018-08-19,4.090000e+01,-1.223000e+02,1.946279e+02,1.975341e+02,2.445281e-09,1.025113e-10,1.317869e-10,7.889003e-11,2.974390e-10,2.316684e-08,4.169450e-11,4.077363e-13,6.067387e-12,2.733455e-11,1.211497e-11,2.123704e-11,1.097181e-11,6.628033e-12,4.991990e-11,2.197630e-11,1.558201e-11,1.659441e-11,9.027983e-12,1.143395e-11,1.123592e-12,6.553899e-12,2.126716e-12,2.166099e-12,1.227842e-13,2.974622e-12,1.737513e-12,1.181509e-12,7.367055e-13,1.251731e-10,6.630349e-12,6.628033e-12,1.384315e-10,4.600342e-11,4.415599e-12,1.097181e-11,6.139084e-11,1.143395e-11,3.026503e-11,1.123592e-12,4.282257e-11,7.189620e-11,1.558201e-11,4.210223e-11,1.295805e-10,2.445281e-09,7.889003e-11,2.974390e-10,1.317869e-10,1.946279e+02,1.975341e+02,2.316684e-08,3.921620e+02,2.473174e-12,5.159255e-12,2.473174e-12,2.473174e-12,5.159255e-12,5.159255e-12,1.878830e-12,1.878830e-12
2018-08-19,4.090000e+01,-1.225000e+02,3.563457e+02,1.672821e+02,6.113202e-10,2.795762e-11,3.294672e-11,1.972251e-11,7.435976e-11,5.791710e-09,1.137123e-11,1.019341e-13,1.866888e-12,6.833638e-12,3.028743e-12,6.371112e-12,2.742954e-12,1.657008e-12,1.247997e-11,5.860348e-12,3.895504e-12,4.148602e-12,2.777841e-12,2.858488e-12,2.808979e-13,1.638475e-12,5.316789e-13,5.415248e-13,3.069606e-14,7.436555e-13,4.343782e-13,2.953772e-13,1.841764e-13,3.397312e-11,1.657587e-12,1.657008e-12,3.728771e-11,1.150085e-11,1.103900e-12,2.742954e-12,1.534771e-11,2.858488e-12,9.148953e-12,2.808979e-13,1.228834e-11,1.834032e-11,3.895504e-12,1.147316e-11,3.370899e-11,6.113202e-10,1.972251e-11,7.435976e-11,3.294672e-11,3.563457e+02,1.672821e+02,5.791710e-09,5.236278e+02,6.182936e-13,1.289814e-12,6.182936e-13,6.182936e-13,1.289814e-12,1.289814e-12,4.697076e-13,4.697076e-13
2018-08-19,4.110000e+01,-1.237000e+02,,,1.222640e-09,5.591525e-11,6.589344e-11,3.944502e-11,1.487195e-10,1.158342e-08,2.274245e-11,2.038682e-13,3.267055e-12,1.366728e-11,7.571856e-12,1.274222e-11,5.485907e-12,3.314016e-12,2.495995e-11,1.172070e-11,7.791007e-12,8.297203e-12,4.861222e-12,7.146220e-12,5.617958e-13,3.276949e-12,1.063358e-12,1.083050e-12,6.139212e-14,1.487311e-12,8.687565e-13,5.907544e-13,3.683527e-13,6.747951e-11,3.315175e-12,3.314016e-12,7.410870e-11,2.451608e-11,2.207800e-12,5.485907e-12,3.220979e-11,7.146220e-12,1.760345e-11,5.617958e-13,2.531146e-11,3.668065e-11,7.791007e-12,2.294632e-11,6.741797e-11,1.222640e-09,3.944502e-11,1.487195e-10,6.589344e-11,,,1.158342e-08,1.306106e-08,1.236587e-12,2.579627e-12,1.236587e-12,1.236587e-12,2.579627e-12,2.579627e-12,9.394153e-13,9.394153e-13
