date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,c2h6sfire,other_dms
2020-11-17,3.710000e+01,-9.670000e+01,1.168201e-08,4.228906e-10,6.509878e-10,4.047374e-10,9.408918e-10,1.906057e-07,2.795043e-10,3.354661e-12,1.647263e-11,1.603827e-10,6.490196e-11,2.743875e-12,8.967788e-11,6.059467e-11,2.526907e-11,1.348077e-10,9.418465e-11,9.191432e-11,6.140459e-11,3.370192e-11,5.224574e-11,2.852253e-12,3.072305e-11,1.174151e-11,1.708889e-11,1.085464e-12,4.905344e-12,2.875605e-12,1.379884e-11,3.715654e-12,5.007679e-10,2.529544e-11,2.526907e-11,5.513324e-10,2.560077e-10,2.991587e-11,6.059467e-11,3.465183e-10,5.224574e-11,1.233798e-10,2.852253e-12,1.784778e-10,2.289923e-10,9.191432e-11,2.828589e-10,6.037655e-10,2.743875e-12,2.743875e-12,1.168201e-08,4.047374e-10,9.408918e-10,6.509878e-10,1.906057e-07,2.042846e-07,5.065877e-12,5.065877e-12,5.065877e-12,2.274562e-13,2.274562e-13
2020-11-17,3.750000e+01,-1.085000e+02,4.150969e-10,1.174696e-11,2.385819e-11,1.384901e-11,3.323803e-11,6.494714e-09,9.555701e-12,1.143070e-13,5.883082e-13,5.805710e-12,1.908881e-12,1.003857e-13,2.676952e-12,2.143679e-12,8.841847e-13,4.743965e-12,3.693516e-12,2.964978e-12,2.215629e-12,1.313062e-12,1.801577e-12,9.668653e-14,1.040284e-12,4.152946e-13,5.814746e-13,3.851648e-14,1.723923e-13,9.894556e-14,4.704149e-13,1.306285e-13,1.455090e-11,8.723813e-13,8.841847e-13,1.630747e-11,8.754875e-12,1.035286e-12,2.143679e-12,1.193384e-11,1.801577e-12,3.990014e-12,9.668653e-14,5.888277e-12,8.437481e-12,2.964978e-12,9.670008e-12,2.107247e-11,1.003857e-13,1.003857e-13,4.150969e-10,1.384901e-11,3.323803e-11,2.385819e-11,6.494714e-09,6.980756e-09,,,,,
2020-11-17,3.770000e+01,-9.930000e+01,1.778987e-10,1.762044e-11,1.704156e-11,4.500928e-12,1.534063e-11,1.976652e-09,7.166776e-12,3.478908e-14,2.941541e-13,2.177141e-12,9.544406e-13,,1.338476e-12,5.716478e-13,7.445766e-13,3.953304e-12,5.540274e-12,2.117841e-12,2.215629e-12,4.376872e-13,9.007886e-13,1.208582e-13,3.467612e-13,1.132622e-13,6.460829e-14,7.002996e-15,6.268811e-14,1.113137e-13,4.704149e-13,1.306285e-13,2.013022e-11,7.750453e-13,7.445766e-13,2.164985e-11,3.478343e-12,1.848734e-13,5.716478e-13,4.234864e-12,9.007886e-13,1.776163e-12,1.208582e-13,2.797810e-12,9.493578e-12,2.117841e-12,7.201565e-12,1.881298e-11,,,1.778987e-10,4.500928e-12,1.534063e-11,1.704156e-11,1.976652e-09,2.191434e-09,7.793657e-13,7.793657e-13,7.793657e-13,,
2020-11-17,3.770000e+01,-9.509999e+01,4.150969e-10,1.174696e-11,2.044988e-11,1.350279e-11,3.068126e-11,6.494714e-09,9.555701e-12,1.143070e-13,5.883082e-13,5.079996e-12,1.908881e-12,1.003857e-13,2.676952e-12,2.000767e-12,8.376487e-13,4.348635e-12,2.770137e-12,2.964978e-12,2.215629e-12,1.313062e-12,1.801577e-12,9.668653e-14,1.040284e-12,3.775406e-13,5.814746e-13,3.501498e-14,1.723923e-13,9.894556e-14,4.704149e-13,1.233713e-13,1.455090e-11,8.651241e-13,8.376487e-13,1.625367e-11,8.029161e-12,9.940302e-13,2.000767e-12,1.102396e-11,1.801577e-12,3.990014e-12,9.668653e-14,5.888277e-12,7.118772e-12,2.964978e-12,9.670008e-12,1.975376e-11,1.003857e-13,1.003857e-13,4.150969e-10,1.350279e-11,3.068126e-11,2.044988e-11,6.494714e-09,6.974445e-09,,,,,
2020-11-17,3.790000e+01,-9.709999e+01,2.964978e-10,1.174696e-11,1.704156e-11,1.004053e-11,2.301094e-11,4.800441e-09,7.166776e-12,8.448776e-14,2.941541e-13,3.628569e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.572031e-12,6.515045e-13,3.162643e-12,2.770137e-12,2.117841e-12,1.582592e-12,8.753745e-13,9.007886e-13,7.251490e-14,7.628747e-13,3.020324e-13,4.199539e-13,2.801198e-14,1.253762e-13,7.420917e-14,3.484555e-13,9.434278e-14,1.362371e-11,6.423837e-13,6.515045e-13,1.491760e-11,6.300324e-12,7.499983e-13,1.572031e-12,8.622354e-12,9.007886e-13,3.552326e-12,7.251490e-14,4.525630e-12,5.932780e-12,2.117841e-12,7.251264e-12,1.530188e-11,6.692380e-14,6.692380e-14,2.964978e-10,1.004053e-11,2.301094e-11,1.704156e-11,4.800441e-09,5.147032e-09,,,,,
2020-11-17,3.850000e+01,-9.609999e+01,2.964978e-10,1.174696e-11,1.704156e-11,1.038676e-11,2.301094e-11,4.800441e-09,7.166776e-12,8.448776e-14,2.941541e-13,4.354282e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.572031e-12,6.515045e-13,3.557974e-12,2.770137e-12,2.541410e-12,1.582592e-12,8.753745e-13,9.007886e-13,7.251490e-14,7.628747e-13,3.020324e-13,4.199539e-13,2.801198e-14,1.253762e-13,7.420917e-14,3.484555e-13,9.434278e-14,1.362371e-11,6.423837e-13,6.515045e-13,1.491760e-11,7.026038e-12,7.499983e-13,1.572031e-12,9.348068e-12,9.007886e-13,3.552326e-12,7.251490e-14,4.525630e-12,6.328111e-12,2.541410e-12,7.251264e-12,1.612079e-11,6.692380e-14,6.692380e-14,2.964978e-10,1.038676e-11,2.301094e-11,1.704156e-11,4.800441e-09,5.147378e-09,,,,,
2020-11-17,3.890000e+01,-9.590001e+01,8.301939e-10,2.936740e-11,4.430807e-11,2.769802e-11,6.391928e-11,1.298943e-08,1.911140e-11,2.286139e-13,1.176616e-12,1.088571e-11,4.772203e-12,2.007714e-13,6.692379e-12,4.144447e-12,1.721833e-12,9.092600e-12,6.463653e-12,6.353524e-12,4.114740e-12,2.188436e-12,3.603154e-12,1.933731e-13,2.080567e-12,7.928351e-13,1.162949e-12,7.353146e-14,3.447846e-13,1.978911e-13,9.408299e-13,2.539998e-13,3.465876e-11,1.737505e-12,1.721833e-12,3.811810e-11,1.773848e-11,2.029316e-12,4.144447e-12,2.391224e-11,3.603154e-12,8.880815e-12,1.933731e-13,1.267734e-11,1.555625e-11,6.353524e-12,1.934002e-11,4.124979e-11,2.007714e-13,2.007714e-13,8.301939e-10,2.769802e-11,6.391928e-11,4.430807e-11,1.298943e-08,1.395555e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,3.910000e+01,-9.670000e+01,2.668480e-09,9.984917e-11,1.499658e-10,9.278837e-11,2.147688e-10,4.376873e-08,6.450098e-11,7.703295e-13,3.824003e-12,3.701140e-11,1.527105e-11,6.357760e-13,2.007714e-11,1.386246e-11,5.770469e-12,3.083577e-11,2.123771e-11,2.117841e-11,1.424333e-11,7.878371e-12,1.171025e-11,6.526340e-13,7.004577e-12,2.680538e-12,3.908801e-12,2.486064e-13,1.128386e-12,6.616984e-13,3.153523e-12,8.490850e-13,1.179165e-10,5.792692e-12,5.770469e-12,1.294796e-10,5.928703e-11,6.837946e-12,1.386246e-11,7.998743e-11,1.171025e-11,2.795551e-11,6.526340e-13,4.031839e-11,5.207348e-11,2.117841e-11,6.527131e-11,1.385232e-10,6.357760e-13,6.357760e-13,2.668480e-09,9.278837e-11,2.147688e-10,1.499658e-10,4.376873e-08,4.689478e-08,1.169048e-12,1.169048e-12,1.169048e-12,4.549124e-14,4.549124e-14
2020-11-17,4.190000e+01,-9.730000e+01,8.894934e-10,8.222873e-11,9.202445e-11,2.181219e-11,7.925991e-11,9.600882e-09,3.583388e-11,1.689755e-13,1.470770e-12,1.233713e-11,5.726644e-12,3.346190e-14,5.353904e-12,2.715327e-12,3.862491e-12,2.016185e-11,2.585461e-11,1.058921e-11,1.171118e-11,1.750749e-12,2.702366e-12,6.284624e-13,1.872511e-12,4.908027e-13,2.584331e-13,3.151348e-14,2.977685e-13,5.565687e-13,2.317229e-12,6.603995e-13,9.541068e-11,3.831966e-12,3.862491e-12,1.031051e-10,1.993629e-11,7.807493e-13,2.715327e-12,2.343236e-11,2.702366e-12,7.104652e-12,6.284624e-13,1.043548e-11,4.601646e-11,1.058921e-11,3.600285e-11,9.260852e-11,3.346190e-14,3.346190e-14,8.894934e-10,2.181219e-11,7.925991e-11,9.202445e-11,9.600882e-09,1.068347e-08,3.896829e-12,3.896829e-12,3.896829e-12,,
2020-11-17,4.250000e+01,-1.219000e+02,7.115947e-09,2.584331e-10,3.919560e-10,2.451275e-10,5.701600e-10,1.152106e-07,1.696137e-10,2.027706e-12,1.000124e-11,9.724564e-11,3.913207e-11,1.673095e-12,5.353903e-11,3.672837e-11,1.531036e-11,8.143806e-11,5.724949e-11,5.591102e-11,3.734918e-11,2.057130e-11,3.242839e-11,1.728272e-12,1.858640e-11,7.097762e-12,1.033733e-11,6.582816e-13,2.977685e-12,1.743915e-12,8.345510e-12,2.249713e-12,3.057836e-10,1.531682e-11,1.531036e-11,3.364108e-10,1.549641e-10,1.809337e-11,3.672837e-11,2.097858e-10,3.242839e-11,7.411034e-11,1.728272e-12,1.082670e-10,1.386876e-10,5.591102e-11,1.716414e-10,3.662400e-10,1.673095e-12,1.673095e-12,7.115947e-09,2.451275e-10,5.701600e-10,3.919560e-10,1.152106e-07,1.235339e-07,3.117463e-12,3.117463e-12,3.117463e-12,1.364737e-13,1.364737e-13
2020-11-17,4.290000e+01,-1.231000e+02,3.973071e-09,1.762044e-10,2.113154e-10,1.274109e-10,4.806730e-10,3.727401e-08,7.166776e-11,6.560226e-13,1.000124e-11,4.426854e-11,2.099769e-11,8.332012e-12,3.613885e-11,1.772108e-11,1.070329e-11,8.064741e-11,3.693516e-11,2.499053e-11,2.690407e-11,1.488137e-11,1.981735e-11,1.812872e-12,1.054154e-11,3.435619e-12,3.488847e-12,1.995854e-13,4.795640e-12,2.801396e-12,1.899083e-12,1.190170e-12,2.131097e-10,1.068629e-11,1.070329e-11,2.344993e-10,7.580777e-11,7.124052e-12,1.772108e-11,1.006529e-10,1.981735e-11,5.102022e-11,1.812872e-12,7.265043e-11,1.175826e-10,2.499053e-11,7.232378e-11,2.148969e-10,8.332012e-12,8.332012e-12,3.973071e-09,1.274109e-10,4.806730e-10,2.113154e-10,3.727401e-08,4.206953e-08,3.896829e-12,3.896829e-12,3.896829e-12,3.047913e-12,3.047913e-12
2020-11-17,4.310000e+01,-1.241000e+02,2.549881e-09,1.174696e-10,1.363325e-10,8.170916e-11,3.068125e-10,2.400220e-08,4.538958e-11,4.224388e-13,6.471389e-12,2.830283e-11,1.336217e-11,5.353904e-12,2.409256e-11,1.129004e-11,6.840797e-12,5.178829e-11,2.308447e-11,1.609560e-11,1.709200e-11,9.629120e-12,1.261104e-11,1.160238e-12,6.796520e-12,2.189735e-12,2.228986e-12,1.260539e-13,3.071717e-12,1.799572e-12,1.219594e-12,7.619994e-13,1.410330e-10,6.852883e-12,6.840797e-12,1.547267e-10,4.846152e-11,4.544775e-12,1.129004e-11,6.429634e-11,1.261104e-11,3.372169e-11,1.160238e-12,4.749296e-11,7.487276e-11,1.609560e-11,4.581202e-11,1.367804e-10,5.353904e-12,5.353904e-12,2.549881e-09,8.170916e-11,3.068125e-10,1.363325e-10,2.400220e-08,2.707890e-08,2.338097e-12,2.338097e-12,2.338097e-12,1.956123e-12,1.956123e-12
2020-11-17,4.330000e+01,-1.235000e+02,1.838286e-09,7.048177e-11,1.022494e-10,6.439790e-11,1.508495e-10,3.021454e-08,4.538958e-11,5.317759e-13,2.647387e-12,2.539998e-11,1.049885e-11,4.350047e-13,1.472323e-11,9.575100e-12,4.002099e-12,2.134784e-11,1.477406e-11,1.482489e-11,9.812073e-12,5.252247e-12,8.107097e-12,4.592610e-13,4.854657e-12,1.849949e-12,2.713548e-12,1.715734e-13,7.836014e-13,4.576232e-13,2.195270e-12,5.878281e-13,8.294123e-11,4.024323e-12,4.002099e-12,9.096765e-11,4.075348e-11,4.735070e-12,9.575100e-12,5.506366e-11,8.107097e-12,1.997548e-11,4.592610e-13,2.854184e-11,3.612190e-11,1.482489e-11,4.592136e-11,9.686815e-11,4.350047e-13,4.350047e-13,1.838286e-09,6.439790e-11,1.508495e-10,1.022494e-10,3.021454e-08,3.237037e-08,7.793657e-13,7.793657e-13,7.793657e-13,4.549124e-14,4.549124e-14
2020-11-17,4.430000e+01,-1.223000e+02,1.073322e-08,3.935232e-10,5.964548e-10,3.711535e-10,8.616319e-10,1.747925e-07,2.556150e-10,3.076348e-12,1.500186e-11,1.465942e-10,5.917532e-11,2.509642e-12,8.164703e-11,5.559275e-11,2.317495e-11,1.237384e-10,8.679762e-11,8.429010e-11,5.634029e-11,3.107579e-11,4.864258e-11,2.622622e-12,2.808766e-11,1.075991e-11,1.563520e-11,9.944255e-13,4.513544e-12,2.634425e-12,1.264894e-11,3.403597e-12,4.648653e-10,2.320050e-11,2.317495e-11,5.112408e-10,2.338572e-10,2.738954e-11,5.559275e-11,3.168394e-10,4.864258e-11,1.127228e-10,2.622622e-12,1.639880e-10,2.105360e-10,8.429010e-11,2.586913e-10,5.535175e-10,2.509642e-12,2.509642e-12,1.073322e-08,3.711535e-10,8.616319e-10,5.964548e-10,1.747925e-07,1.873552e-07,4.676194e-12,4.676194e-12,4.676194e-12,1.819649e-13,1.819649e-13
2020-11-17,4.430000e+01,-1.225000e+02,7.708943e-10,2.936740e-11,4.089976e-11,2.631312e-11,6.136251e-11,1.242467e-08,1.911140e-11,2.186742e-13,1.176616e-12,1.015999e-11,3.817763e-12,1.673095e-13,5.353904e-12,3.858623e-12,1.628761e-12,8.697269e-12,6.463653e-12,5.929956e-12,4.114740e-12,2.188436e-12,3.603154e-12,1.812872e-13,2.011215e-12,7.550811e-13,1.098341e-12,7.002996e-14,3.134405e-13,1.855229e-13,8.885616e-13,2.394855e-13,3.465876e-11,1.627011e-12,1.628761e-12,3.791453e-11,1.598897e-11,1.923452e-12,3.858623e-12,2.177104e-11,3.603154e-12,7.542340e-12,1.812872e-13,1.132678e-11,1.516092e-11,5.929956e-12,1.933008e-11,4.042095e-11,1.673095e-13,1.673095e-13,7.708943e-10,2.631312e-11,6.136251e-11,4.089976e-11,1.242467e-08,1.332414e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,4.450000e+01,-1.235000e+02,2.490582e-09,2.290657e-10,2.692567e-10,6.266677e-11,2.249959e-10,2.739075e-08,1.003349e-10,4.820772e-13,4.412311e-12,3.628569e-11,1.527105e-11,1.338476e-13,1.472323e-11,7.717245e-12,1.107558e-11,5.771824e-11,7.571707e-11,3.092048e-11,3.386748e-11,4.814560e-12,8.107097e-12,1.824958e-12,5.478828e-12,1.359146e-12,7.429953e-13,9.103895e-14,8.619615e-13,1.607865e-12,6.690346e-12,1.908627e-12,2.673455e-10,1.106880e-11,1.107558e-11,2.894899e-10,5.703557e-11,2.193180e-12,7.717245e-12,6.694599e-11,8.107097e-12,1.953779e-11,1.824958e-12,2.946985e-11,1.334353e-10,3.092048e-11,1.008169e-10,2.651727e-10,1.338476e-13,1.338476e-13,2.490582e-09,6.266677e-11,2.249959e-10,2.692567e-10,2.739075e-08,3.043830e-08,1.091112e-11,1.091112e-11,1.091112e-11,4.549124e-14,4.549124e-14
