date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,terpenes_monoterpenes,terpenes_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2018-08-29,3.670000e+01,-9.750000e+01,3.056601e-10,2.795762e-11,3.294672e-11,9.861254e-12,3.717988e-11,4.343782e-09,1.516164e-11,7.645056e-14,4.667221e-13,5.125229e-12,1.514371e-12,1.236587e-12,2.123704e-12,1.371477e-12,1.657008e-12,9.359982e-12,1.025561e-11,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.808979e-13,8.192373e-13,1.329197e-13,1.353812e-13,1.534803e-14,1.859139e-13,2.171891e-13,8.861316e-13,2.762646e-13,3.257295e-11,1.565499e-12,1.657008e-12,3.579545e-11,7.458837e-12,2.836490e-13,1.371477e-12,9.113963e-12,1.236587e-12,1.236587e-12,1.429244e-12,2.818165e-12,2.808979e-13,4.528307e-12,1.961559e-11,3.895504e-12,1.523809e-11,3.874918e-11,3.056601e-10,9.861254e-12,3.717988e-11,3.294672e-11,4.343782e-09,4.729430e-09,,,,,,,,,
2018-08-29,3.710000e+01,-9.750000e+01,2.139620e-09,1.957034e-10,2.306270e-10,5.423690e-11,1.858994e-10,2.316684e-08,8.338899e-11,4.077363e-13,3.733777e-12,3.075137e-11,1.362934e-11,9.274404e-12,1.274222e-11,6.171646e-12,9.113545e-12,4.991990e-11,6.299875e-11,2.629465e-11,2.800306e-11,4.166762e-12,7.146220e-12,1.544939e-12,4.505805e-12,1.196278e-12,6.769061e-13,7.674016e-14,7.436555e-13,1.303135e-12,5.612167e-12,1.611543e-12,2.274402e-10,9.270500e-12,9.113545e-12,2.458242e-10,4.888652e-11,1.949924e-12,6.171646e-12,5.700809e-11,9.274404e-12,9.274404e-12,7.146220e-12,1.690899e-11,1.544939e-12,2.560014e-11,1.129186e-10,2.629465e-11,8.379673e-11,2.230100e-10,2.139620e-09,5.423690e-11,1.858994e-10,2.306270e-10,2.316684e-08,2.577722e-08,,,,,,,,,
2018-08-29,3.710000e+01,-1.203000e+02,1.528300e-10,9.319209e-12,8.236680e-12,4.930627e-12,1.858994e-11,2.895855e-09,3.790409e-12,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,,2.123704e-12,6.857384e-13,4.142520e-13,3.119994e-12,1.465087e-12,1.947752e-12,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,4.096187e-13,1.329197e-13,2.707624e-13,1.534803e-14,,,2.215329e-13,4.604409e-14,1.082308e-11,2.675770e-13,4.142520e-13,1.150491e-11,5.340809e-12,4.190302e-13,6.857384e-13,6.445578e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,1.947752e-12,3.841376e-12,1.037421e-11,1.528300e-10,4.930627e-12,1.858994e-11,8.236680e-12,2.895855e-09,3.080442e-09,,,,,,,,,
2018-08-29,3.730000e+01,-1.073000e+02,2.598111e-09,1.118305e-10,1.400235e-10,8.382067e-11,3.160290e-10,2.461477e-08,4.548490e-11,4.332199e-13,6.534109e-12,2.904296e-11,1.362934e-11,2.473174e-12,2.336075e-11,1.165755e-11,7.042284e-12,5.303990e-11,2.197631e-11,1.655589e-11,1.763156e-11,9.722443e-12,1.143395e-11,1.193816e-12,6.963517e-12,2.259635e-12,2.301481e-12,1.304583e-13,3.160536e-12,1.846107e-12,1.255353e-12,7.827496e-13,1.359962e-10,7.044746e-12,7.042284e-12,1.500832e-10,4.963582e-11,4.691574e-12,1.165755e-11,6.598495e-11,2.473174e-12,2.473174e-12,1.143395e-11,3.308319e-11,1.193816e-12,4.571096e-11,7.501620e-11,1.655589e-11,4.591812e-11,1.374902e-10,2.598111e-09,8.382067e-11,3.160290e-10,1.400235e-10,2.461477e-08,2.249992e+03,5.481708e-12,5.481708e-12,5.481708e-12,1.449975e+03,8.000168e+02,1.449975e+03,8.000168e+02,1.996258e-12,1.996258e-12
2018-08-29,3.770000e+01,-1.209000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334442e-13,8.542047e-12,3.028743e-12,,4.247408e-12,3.428692e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,6.645987e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,7.384430e-13,1.841764e-13,2.268331e-11,1.217128e-12,1.242756e-12,2.514320e-11,1.320926e-11,1.530604e-12,3.428692e-12,1.816856e-11,,,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113202e-10,1.972251e-11,5.576982e-11,3.294672e-11,1.013549e-08,1.085525e-08,,,,,,,,,
2018-08-29,3.890000e+01,-9.690001e+01,3.056601e-10,9.319209e-12,1.647336e-11,9.861255e-12,1.858994e-11,5.791710e-09,7.580819e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,,2.123704e-12,1.371477e-12,8.285041e-13,3.119994e-12,2.930175e-12,2.921628e-12,2.074301e-12,6.944602e-13,1.429244e-12,7.022449e-14,8.192373e-13,2.658395e-13,5.415248e-13,3.069606e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.186023e-11,7.558181e-13,8.285041e-13,1.344455e-11,7.458838e-12,8.380603e-13,1.371477e-12,9.668375e-12,,,1.429244e-12,2.818165e-12,7.022449e-14,4.317633e-12,6.050169e-12,2.921628e-12,7.682753e-12,1.665455e-11,3.056601e-10,9.861255e-12,1.858994e-11,1.647336e-11,5.791710e-09,1.174987e+03,,,,8.499977e+02,3.249889e+02,8.499977e+02,3.249889e+02,,
2018-08-29,3.910000e+01,-9.790001e+01,7.641502e-10,7.455367e-11,9.060348e-11,1.972251e-11,7.435976e-11,8.687564e-09,3.411368e-11,1.529011e-13,1.400166e-12,1.195887e-11,4.543114e-12,3.709762e-12,4.247408e-12,2.742954e-12,3.728268e-12,1.871996e-11,2.490648e-11,9.738760e-12,1.140865e-11,1.388921e-12,2.858488e-12,6.320203e-13,1.638475e-12,3.987592e-13,2.707624e-13,3.069606e-14,3.718278e-13,5.429728e-13,2.215329e-12,6.446173e-13,8.736249e-11,3.774747e-12,3.728268e-12,9.486550e-11,1.814046e-11,7.002177e-13,2.742954e-12,2.158363e-11,3.709762e-12,3.709762e-12,2.858488e-12,5.636329e-12,6.320203e-13,9.126838e-12,4.362645e-11,9.738760e-12,3.426658e-11,8.763179e-11,7.641502e-10,1.972251e-11,7.435976e-11,9.060348e-11,8.687564e-09,1.349976e+03,,,,9.999619e+02,3.500145e+02,9.999619e+02,3.500145e+02,,
2018-08-29,3.910000e+01,-9.709999e+01,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,,2.123704e-12,1.371477e-12,8.285040e-13,3.119994e-12,2.930174e-12,1.947752e-12,2.074301e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,3.069606e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.186023e-11,7.558181e-13,8.285040e-13,1.344455e-11,5.750428e-12,7.026791e-13,1.371477e-12,7.824584e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,1.947752e-12,7.657269e-12,1.565519e-11,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,4.343782e-09,4.694367e-09,,,,,,,,,
2018-08-29,3.910000e+01,-1.217000e+02,7.641502e-10,7.455367e-11,9.060348e-11,1.972251e-11,7.435976e-11,8.687564e-09,3.411368e-11,1.529011e-13,1.400166e-12,1.195887e-11,4.543114e-12,3.709762e-12,4.247408e-12,2.742954e-12,3.728268e-12,1.871996e-11,2.490648e-11,9.738759e-12,1.140865e-11,1.388920e-12,2.858488e-12,6.320203e-13,1.638475e-12,3.987592e-13,2.707624e-13,3.069606e-14,3.718278e-13,5.429728e-13,2.215329e-12,6.446173e-13,8.736249e-11,3.774747e-12,3.728268e-12,9.486550e-11,1.814045e-11,7.002177e-13,2.742954e-12,2.158363e-11,3.709762e-12,3.709762e-12,2.858488e-12,5.636329e-12,6.320203e-13,9.126837e-12,4.362644e-11,9.738759e-12,3.426658e-11,8.763178e-11,7.641502e-10,1.972251e-11,7.435976e-11,9.060348e-11,8.687564e-09,9.636400e-09,,,,,,,,,
2018-08-29,3.930000e+01,-1.217000e+02,1.528300e-10,1.863842e-11,1.647336e-11,4.930627e-12,1.858994e-11,1.447927e-09,7.580818e-12,2.548352e-14,4.667221e-13,1.708410e-12,1.514371e-12,6.182936e-13,,6.857384e-13,8.285040e-13,3.119994e-12,4.395261e-12,1.947752e-12,2.074301e-12,,,1.404490e-13,4.096187e-13,1.329197e-13,,7.674015e-15,,1.085946e-13,4.430658e-13,1.381323e-13,2.117944e-11,6.897926e-13,8.285040e-13,2.269774e-11,3.632400e-12,1.405937e-13,6.857384e-13,4.458732e-12,6.182936e-13,6.182936e-13,,,1.404490e-13,1.404490e-13,7.515255e-12,1.947752e-12,7.606301e-12,1.706931e-11,1.528300e-10,4.930627e-12,1.858994e-11,1.647336e-11,1.447927e-09,1.640751e-09,,,,,,,,,
