date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total
2020-11-14,4.310000e+01,-1.239000e+02,7.230664e-10,3.285613e-11,3.897272e-11,2.331805e-11,8.782671e-11,6.876561e-09,1.293881e-11,1.210275e-13,1.845148e-12,8.092241e-12,3.949291e-12,6.955601e-13,1.529251e-12,6.732912e-12,3.244285e-12,1.969121e-12,1.475944e-11,6.671840e-12,4.602361e-12,4.916311e-12,5.571197e-13,2.769869e-12,3.654211e-12,3.321244e-13,1.947266e-12,6.315221e-13,6.377588e-13,3.660655e-14,8.800755e-13,5.148700e-13,3.493775e-13,2.187832e-13,3.961759e-11,1.963106e-12,1.969121e-12,4.354982e-11,1.398880e-11,1.305887e-12,3.244285e-12,1.853897e-11,6.955601e-13,6.955601e-13,3.654211e-12,9.502781e-12,3.321244e-13,1.348912e-11,2.143128e-11,4.602361e-12,1.305984e-11,3.909349e-11,1.529251e-12,1.529251e-12,7.230664e-10,2.331805e-11,8.782671e-11,3.897272e-11,5.571197e-13,6.876561e-09,7.750302e-09
2020-11-14,4.430000e+01,-1.223000e+02,1.073541e-08,3.914891e-10,5.958102e-10,3.710389e-10,8.622292e-10,1.746888e-07,2.567857e-10,3.074522e-12,1.511264e-11,1.467808e-10,5.943201e-11,4.489524e-12,2.518767e-12,8.198948e-11,5.553704e-11,2.318120e-11,1.234936e-10,8.673392e-11,8.435720e-11,5.644303e-11,1.902360e-13,3.089469e-11,4.845483e-11,2.620894e-12,2.811107e-11,1.075843e-11,1.565211e-11,9.956983e-13,4.508047e-12,2.636996e-12,1.264747e-11,3.406431e-12,4.630448e-10,2.319894e-11,2.318120e-11,5.094249e-10,2.343239e-10,2.740624e-11,5.553704e-11,3.172672e-10,4.489524e-12,4.489524e-12,4.845483e-11,1.128842e-10,2.620894e-12,1.639599e-10,2.102275e-10,8.435720e-11,2.598602e-10,5.544449e-10,2.518767e-12,2.518767e-12,1.073541e-08,3.710389e-10,8.622292e-10,5.958102e-10,1.902360e-13,1.746888e-07,1.872534e-07
2020-11-14,4.430000e+01,-1.225000e+02,7.570930e-10,2.784418e-11,4.192520e-11,2.613672e-11,6.109684e-11,1.230542e-08,1.816410e-11,2.165755e-13,1.054370e-12,1.033317e-11,4.238263e-12,3.161637e-13,1.799119e-13,5.755553e-12,3.927293e-12,1.632930e-12,8.780933e-12,6.099968e-12,5.942289e-12,3.970867e-12,1.358829e-14,2.166179e-12,3.434958e-12,1.841124e-13,1.988697e-12,7.555711e-13,1.102566e-12,7.007540e-14,3.183252e-13,1.859796e-13,8.909127e-13,2.399558e-13,3.286941e-11,1.635173e-12,1.632930e-12,3.613752e-11,1.656013e-11,1.928212e-12,3.927293e-12,2.241564e-11,3.161637e-13,3.161637e-13,3.434958e-12,7.921733e-12,1.841124e-13,1.154080e-11,1.488090e-11,5.942289e-12,1.838068e-11,3.920387e-11,1.799119e-13,1.799119e-13,7.570930e-10,2.613672e-11,6.109684e-11,4.192520e-11,1.358829e-14,1.230542e-08,1.319169e-08
2020-11-14,4.450000e+01,-1.207000e+02,1.692826e-09,7.684993e-11,9.152684e-11,5.483587e-11,2.062018e-10,1.604531e-08,3.035645e-11,2.823974e-13,4.305344e-12,1.892340e-11,9.247120e-12,1.644051e-12,3.578248e-12,1.585492e-11,7.598457e-12,4.594616e-12,3.456325e-11,1.582179e-11,1.077768e-11,1.153442e-11,1.304475e-12,6.463027e-12,8.550853e-12,7.797702e-13,4.536716e-12,1.477311e-12,1.502516e-12,8.471803e-14,2.064433e-12,1.205931e-12,8.210372e-13,5.104942e-13,9.268969e-11,4.601895e-12,4.594616e-12,1.018862e-10,3.270723e-11,3.064545e-12,7.598457e-12,4.337023e-11,1.644051e-12,1.644051e-12,8.550853e-12,2.231795e-11,7.797702e-13,3.164857e-11,5.038504e-11,1.077768e-11,3.063885e-11,9.180158e-11,3.578248e-12,3.578248e-12,1.692826e-09,5.483587e-11,2.062018e-10,9.152684e-11,1.304475e-12,1.604531e-08,1.809200e-08
2020-11-14,4.450000e+01,-1.235000e+02,2.509466e-09,2.294360e-10,2.698566e-10,6.252313e-11,2.252946e-10,2.726496e-08,1.012711e-10,4.798633e-13,4.481072e-12,3.622834e-11,1.560451e-11,1.093926e-11,1.399315e-13,1.520335e-11,7.683834e-12,1.106230e-11,5.772997e-11,7.548710e-11,3.081834e-11,3.375237e-11,2.717657e-14,5.007070e-12,8.331600e-12,1.823074e-12,5.448202e-12,1.364539e-12,7.566630e-13,8.994753e-14,8.613505e-13,1.609213e-12,6.681845e-12,1.910236e-12,2.676695e-10,1.106264e-11,1.106230e-11,2.897944e-10,5.728106e-11,2.211149e-12,7.683834e-12,6.717604e-11,1.093926e-11,1.093926e-11,8.331600e-12,2.021042e-11,1.823074e-12,3.036509e-11,1.332171e-10,3.081834e-11,1.017510e-10,2.657864e-10,1.399315e-13,1.399315e-13,2.509466e-09,6.252313e-11,2.252946e-10,2.698566e-10,2.717657e-14,2.726496e-08,3.033213e-08
2020-11-14,4.470000e+01,-1.225000e+02,3.258052e-09,1.475741e-10,1.753772e-10,1.050594e-10,3.956021e-10,3.088420e-08,5.822466e-11,5.435619e-13,8.347096e-12,3.635284e-11,1.772365e-11,3.161637e-12,6.866639e-12,3.029810e-11,1.459928e-11,8.821023e-12,6.651090e-11,3.011859e-11,2.073976e-11,2.212340e-11,2.500245e-12,1.242890e-11,1.637086e-11,1.494560e-12,8.721267e-12,2.830572e-12,2.886129e-12,1.631606e-13,3.960340e-12,2.312021e-12,1.572199e-12,9.809957e-13,1.780446e-10,8.825555e-12,8.821023e-12,1.956912e-10,6.279775e-11,5.879861e-12,1.459928e-11,8.327690e-11,3.161637e-12,3.161637e-12,1.637086e-11,4.272700e-11,1.494560e-12,6.059243e-11,9.662950e-11,2.073976e-11,5.876823e-11,1.761375e-10,6.866639e-12,6.866639e-12,3.258052e-09,1.050594e-10,3.956021e-10,1.753772e-10,2.500245e-12,3.088420e-08,3.482079e-08
2020-11-14,4.470000e+01,-1.227000e+02,7.230664e-10,6.626914e-11,7.794544e-11,1.793696e-11,6.491540e-11,7.841692e-09,2.911233e-11,1.380138e-13,1.317962e-12,1.045767e-11,4.527235e-12,3.161637e-12,3.998043e-14,4.343814e-12,2.219774e-12,3.185814e-12,1.662773e-11,2.173113e-11,8.855176e-12,9.738078e-12,1.358829e-14,1.455957e-12,2.411779e-12,5.270669e-13,1.574385e-12,3.947013e-13,2.161894e-13,2.614754e-14,2.481064e-13,4.639703e-13,1.930311e-12,5.504867e-13,7.732518e-11,3.192874e-12,3.185814e-12,8.370387e-11,1.655929e-11,6.370383e-13,2.219774e-12,1.941610e-11,3.161637e-12,3.161637e-12,2.411779e-12,5.799770e-12,5.270669e-13,8.738617e-12,3.835886e-11,8.855176e-12,2.925035e-11,7.646438e-11,3.998043e-14,3.998043e-14,7.230664e-10,1.793696e-11,6.491540e-11,7.794544e-11,1.358829e-14,7.841692e-09,8.725570e-09
2020-11-14,4.490000e+01,-1.215000e+02,1.471653e-09,5.346082e-11,8.148841e-11,5.073599e-11,1.183751e-10,2.388700e-08,3.508409e-11,4.204112e-13,2.108740e-12,2.016835e-11,8.187553e-12,6.007109e-13,3.398337e-13,1.118532e-11,7.598457e-12,3.169805e-12,1.700138e-11,1.181869e-11,1.153503e-11,7.752644e-12,2.717657e-14,4.225825e-12,6.650663e-12,3.573947e-13,3.853101e-12,1.477311e-12,2.140275e-12,1.359672e-13,6.179254e-13,3.621709e-13,1.729419e-12,4.657965e-13,6.332220e-11,3.175311e-12,3.169805e-12,6.966732e-11,3.220901e-11,3.753553e-12,7.598457e-12,4.356102e-11,6.007109e-13,6.007109e-13,6.650663e-12,1.541115e-11,3.573947e-13,2.241920e-11,2.882007e-11,1.153503e-11,3.550450e-11,7.585961e-11,3.398337e-13,3.398337e-13,1.471653e-09,5.073599e-11,1.183751e-10,8.148841e-11,2.717657e-14,2.388700e-08,2.560928e-08
2020-11-14,4.510000e+01,-1.225000e+02,2.739146e-09,1.241850e-10,1.476239e-10,8.814737e-11,3.329778e-10,2.593790e-08,4.901820e-11,4.565071e-13,7.029133e-12,3.062602e-11,1.483392e-11,2.655775e-12,5.767177e-12,2.551991e-11,1.225145e-11,7.412220e-12,5.586169e-11,2.535299e-11,1.741906e-11,1.853071e-11,2.106184e-12,1.044027e-11,1.381292e-11,1.256296e-12,7.333321e-12,2.379485e-12,2.421321e-12,1.370131e-13,3.328371e-12,1.943977e-12,1.318900e-12,8.233777e-13,1.497449e-10,7.414625e-12,7.412220e-12,1.645717e-10,5.279326e-11,4.937820e-12,1.225145e-11,6.998253e-11,2.655775e-12,2.655775e-12,1.381292e-11,3.596018e-11,1.256296e-12,5.102939e-11,8.121467e-11,1.741906e-11,4.947471e-11,1.481084e-10,5.767177e-12,5.767177e-12,2.739146e-09,8.814737e-11,3.329778e-10,1.476239e-10,2.106184e-12,2.593790e-08,2.924791e-08
2020-11-14,4.630000e+01,-9.890001e+01,2.237252e-09,2.043763e-10,2.397413e-10,5.560459e-11,2.000922e-10,2.424892e-08,9.007405e-11,4.267811e-13,3.953888e-12,3.224447e-11,1.387068e-11,9.737841e-12,1.199413e-13,1.346582e-11,6.830074e-12,9.845606e-12,5.137780e-11,6.729027e-11,2.743939e-11,3.006513e-11,2.717657e-14,4.438892e-12,7.454589e-12,1.624521e-12,4.847450e-12,1.217935e-12,6.701872e-13,8.053442e-14,7.630442e-13,1.431064e-12,5.948153e-12,1.698510e-12,2.383953e-10,9.840771e-12,9.845606e-12,2.580816e-10,5.096260e-11,1.968657e-12,6.830074e-12,5.976133e-11,9.737841e-12,9.737841e-12,7.454589e-12,1.790472e-11,1.624521e-12,2.698383e-11,1.186681e-10,2.743939e-11,9.050084e-11,2.366083e-10,1.199413e-13,1.199413e-13,2.237252e-09,5.560459e-11,2.000922e-10,2.397413e-10,2.717657e-14,2.424892e-08,2.698164e-08
2020-11-14,4.630000e+01,-9.790001e+01,3.232532e-10,3.007171e-11,3.483925e-11,8.199755e-12,2.902100e-11,3.498601e-09,1.318764e-11,6.157538e-14,6.150491e-13,4.730849e-12,2.022807e-12,1.422736e-12,1.999021e-14,1.954716e-12,9.818232e-13,1.440820e-12,7.473135e-12,9.912448e-12,4.019784e-12,4.349044e-12,,6.392004e-13,1.096263e-12,2.382631e-13,7.043304e-13,1.804349e-13,9.728524e-14,1.150492e-14,1.123501e-13,2.094718e-13,8.734438e-13,2.493658e-13,3.503580e-11,1.444632e-12,1.440820e-12,3.792126e-11,7.457986e-12,2.892251e-13,9.818232e-13,8.729035e-12,1.422736e-12,1.422736e-12,1.096263e-12,2.593917e-12,2.382631e-13,3.928443e-12,1.738558e-11,4.019784e-12,1.324921e-11,3.465458e-11,1.999021e-14,1.999021e-14,3.232532e-10,8.199755e-12,2.902100e-11,3.483925e-11,,3.498601e-09,3.893914e-09
2020-11-14,4.630000e+01,-1.215000e+02,8.931996e-10,4.065250e-11,4.842065e-11,2.895539e-11,1.092106e-10,8.444899e-09,1.592469e-11,1.486302e-13,2.284468e-12,9.959682e-12,4.816208e-12,8.852583e-13,1.889075e-12,8.361842e-12,4.012669e-12,2.417376e-12,1.830918e-11,8.387456e-12,5.709258e-12,6.050844e-12,6.930026e-13,3.409069e-12,4.531221e-12,4.115454e-13,2.403009e-12,7.781254e-13,7.890913e-13,4.497377e-14,1.090732e-12,6.362462e-13,4.279875e-13,2.705384e-13,4.898781e-11,2.425504e-12,2.417376e-12,5.383069e-11,1.717890e-11,1.612191e-12,4.012669e-12,2.280376e-11,8.852583e-13,8.852583e-13,4.531221e-12,1.177091e-11,4.115454e-13,1.671368e-11,2.669664e-11,5.709258e-12,1.607332e-11,4.847922e-11,1.889075e-12,1.889075e-12,8.931996e-10,2.895539e-11,1.092106e-10,4.842065e-11,6.930026e-13,8.444899e-09,9.525378e-09
