date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2017-12-10,3.110000e+01,-9.790001e+01,2.876624e-10,1.058131e-11,1.595583e-11,9.937594e-12,2.399450e-11,4.678717e-09,6.877713e-12,8.234541e-14,4.130047e-13,3.931993e-12,1.592167e-12,1.221396e-13,7.567250e-14,2.339323e-12,1.487364e-12,6.319011e-13,3.294863e-12,2.329333e-12,2.259352e-12,1.582072e-12,8.218299e-13,1.355530e-12,7.416041e-14,7.690256e-13,2.882089e-13,4.192130e-13,2.666868e-14,1.308893e-13,7.645403e-14,3.387391e-13,9.123497e-14,1.257638e-11,6.373173e-13,6.319011e-13,1.384560e-11,6.293186e-12,7.340906e-13,1.487364e-12,8.514640e-12,1.221396e-13,1.221396e-13,1.355530e-12,3.161153e-12,7.416041e-14,4.590843e-12,5.624196e-12,2.259352e-12,6.960059e-12,1.484361e-11,7.567250e-14,7.567250e-14,2.876624e-10,9.937594e-12,2.399450e-11,1.595583e-11,4.678717e-09,5.016267e-09,,,,,,
2017-12-10,3.170000e+01,-9.709999e+01,6.831983e-10,2.523234e-11,3.789509e-11,2.360179e-11,5.453296e-11,1.111195e-08,1.633457e-11,1.955704e-13,9.636776e-13,9.338484e-12,3.781397e-12,2.791762e-13,1.513450e-13,5.179930e-12,3.532489e-12,1.458233e-12,7.688013e-12,5.490572e-12,5.365962e-12,3.650935e-12,1.986089e-12,3.072535e-12,1.648009e-13,1.778372e-12,6.844962e-13,9.956309e-13,6.333812e-14,2.835935e-13,1.656504e-13,8.045053e-13,2.166831e-13,2.984695e-11,1.470432e-12,1.458233e-12,3.277562e-11,1.489825e-11,1.743465e-12,3.532489e-12,2.017421e-11,2.791762e-13,2.791762e-13,3.072535e-12,7.166019e-12,1.648009e-13,1.040336e-11,1.317858e-11,5.365962e-12,1.653014e-11,3.507469e-11,1.513450e-13,1.513450e-13,6.831983e-10,2.360179e-11,5.453296e-11,3.789509e-11,1.111195e-08,1.191119e-08,1.377872e-14,1.377872e-14,,,,
2017-12-10,3.210000e+01,-9.409999e+01,1.938126e-08,7.113893e-10,1.074027e-09,6.683032e-10,1.577093e-09,3.120119e-07,4.603769e-10,5.491410e-12,2.785487e-11,2.636893e-10,1.072723e-10,8.375285e-12,5.448420e-12,1.488812e-10,9.983931e-11,4.209433e-11,2.273455e-10,1.572300e-10,1.515178e-10,1.027130e-10,5.622686e-11,8.774797e-11,4.836907e-12,5.080375e-11,1.934602e-11,2.795627e-11,1.776801e-12,8.529620e-12,4.982254e-12,2.248381e-11,6.141254e-12,8.419571e-10,4.213693e-11,4.209433e-11,9.261883e-10,4.217653e-10,4.907909e-11,9.983931e-11,5.706837e-10,8.375285e-12,8.375285e-12,8.774797e-11,2.051081e-10,4.836907e-12,2.976930e-10,3.845755e-10,1.515178e-10,4.658683e-10,1.001962e-09,5.448420e-12,5.448420e-12,1.938126e-08,6.683032e-10,1.577093e-09,1.074027e-09,3.120119e-07,3.347133e-07,7.164932e-13,7.164932e-13,,,,
2017-12-10,3.250000e+01,-9.409999e+01,2.337258e-10,1.058131e-11,1.296411e-11,7.453195e-12,2.835714e-11,2.339358e-09,4.298571e-12,4.117271e-14,5.965623e-13,2.703245e-12,1.293636e-12,2.268306e-13,4.918712e-13,2.172229e-12,1.022563e-12,6.319011e-13,4.759246e-12,2.162953e-12,1.553305e-12,1.582072e-12,8.903157e-13,1.174793e-12,1.071206e-13,6.248333e-13,1.981436e-13,2.096065e-13,1.166755e-14,2.835935e-13,1.656504e-13,1.058560e-13,6.842623e-14,1.275994e-11,6.235261e-13,6.319011e-13,1.401537e-11,4.621714e-12,4.194177e-13,1.022563e-12,6.063695e-12,2.268306e-13,2.268306e-13,1.174793e-12,3.062545e-12,1.071206e-13,4.344458e-12,6.922199e-12,1.553305e-12,4.339743e-12,1.281525e-11,4.918712e-13,4.918712e-13,2.337258e-10,7.453195e-12,2.835714e-11,1.296411e-11,2.339358e-09,2.622038e-09,1.791233e-13,1.791233e-13,,,,
2017-12-10,3.330000e+01,-1.173000e+02,2.337258e-10,8.953413e-12,1.296411e-11,8.074295e-12,1.963187e-11,3.801457e-09,5.588142e-12,6.690565e-14,3.212258e-13,3.194745e-12,1.293636e-12,1.046911e-13,3.783625e-14,1.838040e-12,1.208483e-12,5.346855e-13,2.562671e-12,1.996572e-12,1.835724e-12,1.216978e-12,6.848582e-13,1.084424e-12,5.768032e-14,6.248333e-13,2.341698e-13,3.406106e-13,2.166831e-14,1.090744e-13,6.371169e-14,2.752255e-13,7.412841e-14,1.049162e-11,5.221400e-13,5.346855e-13,1.154844e-11,5.113214e-12,5.964487e-13,1.208483e-12,6.918145e-12,1.046911e-13,1.046911e-13,1.084424e-12,2.522898e-12,5.768032e-14,3.665002e-12,4.559243e-12,1.835724e-12,5.655048e-12,1.205001e-11,3.783625e-14,3.783625e-14,2.337258e-10,8.074295e-12,1.963187e-11,1.296411e-11,3.801457e-09,4.749758e+02,,,1.999763e+02,2.749995e+02,1.999763e+02,2.749995e+02
2017-12-10,3.350000e+01,-9.570000e+01,6.472405e-10,2.360445e-11,3.590061e-11,2.235959e-11,5.235164e-11,1.052711e-08,1.547485e-11,1.852772e-13,9.177882e-13,8.846985e-12,3.582376e-12,2.791762e-13,1.513450e-13,5.012836e-12,3.346569e-12,1.409625e-12,7.321917e-12,5.157810e-12,5.083543e-12,3.407539e-12,1.849117e-12,2.891797e-12,1.565609e-13,1.682244e-12,6.484701e-13,9.432292e-13,6.000454e-14,2.617786e-13,1.529081e-13,7.621629e-13,2.052787e-13,2.792978e-11,1.382128e-12,1.409625e-12,3.072153e-11,1.411161e-11,1.651704e-12,3.346569e-12,1.910988e-11,2.791762e-13,2.791762e-13,2.891797e-12,6.861953e-12,1.565609e-13,9.910311e-12,1.247973e-11,5.083543e-12,1.566013e-11,3.322340e-11,1.513450e-13,1.513450e-13,6.472405e-10,2.235959e-11,5.235164e-11,3.590061e-11,1.052711e-08,1.128498e-08,1.377872e-14,1.377872e-14,,,,
2017-12-10,3.430000e+01,-1.193000e+02,3.103159e-08,1.131386e-09,1.721235e-09,1.072018e-09,2.493247e-09,5.047165e-07,7.419333e-10,8.883012e-12,4.368672e-11,4.241638e-10,1.717551e-10,1.298169e-11,7.264560e-12,2.369401e-10,1.604494e-10,6.698150e-11,3.569435e-10,2.507361e-10,2.437276e-10,1.631968e-10,8.930551e-11,1.400714e-10,7.572602e-12,8.127640e-11,3.109054e-11,4.522260e-11,2.876884e-12,1.302349e-11,7.619919e-12,3.654148e-11,9.841973e-12,1.338269e-09,6.702686e-11,6.698150e-11,1.472278e-09,6.771952e-10,7.919003e-11,1.604494e-10,9.168346e-10,1.298169e-11,1.298169e-11,1.400714e-10,3.262456e-10,7.572602e-12,4.738896e-10,6.076796e-10,2.437276e-10,7.508163e-10,1.602223e-09,7.264560e-12,7.264560e-12,3.103159e-08,1.072018e-09,2.493247e-09,1.721235e-09,5.047165e-07,1.335193e+03,5.511486e-13,5.511486e-13,7.719990e+02,5.631937e+02,7.719990e+02,5.631937e+02
2017-12-10,3.450000e+01,-9.670000e+01,3.415992e-10,1.220920e-11,1.894754e-11,1.180089e-11,2.835714e-11,5.555976e-09,8.167285e-12,9.778518e-14,5.047835e-13,4.669242e-12,1.890699e-12,1.395881e-13,7.567250e-14,2.673512e-12,1.766245e-12,7.291166e-13,4.027055e-12,2.828476e-12,2.682981e-12,1.825467e-12,9.588015e-13,1.536267e-12,8.240046e-14,9.132180e-13,3.422481e-13,4.978154e-13,3.166906e-14,1.527042e-13,8.919637e-14,4.022526e-13,1.083415e-13,1.453945e-11,7.524947e-13,7.291166e-13,1.602106e-11,7.473158e-12,8.717326e-13,1.766245e-12,1.011114e-11,1.395881e-13,1.395881e-13,1.536267e-12,3.632314e-12,8.240046e-14,5.250982e-12,6.855531e-12,2.682981e-12,8.265070e-12,1.780358e-11,7.567250e-14,7.567250e-14,3.415992e-10,1.180089e-11,2.835714e-11,1.894754e-11,5.555976e-09,5.956680e-09,,,,,,
2017-12-10,3.450000e+01,-1.191000e+02,5.722685e-08,2.086145e-09,3.174212e-09,1.976960e-09,4.593857e-09,9.307722e-07,1.368235e-09,1.638159e-11,8.049001e-11,7.822210e-10,3.167417e-10,2.392190e-11,1.343187e-11,4.366180e-10,2.958924e-10,1.235124e-10,6.582404e-10,4.622063e-10,4.494699e-10,3.008370e-10,1.646399e-10,2.581833e-10,1.395864e-11,1.498158e-10,5.733556e-11,8.339718e-11,5.305402e-12,2.399637e-11,1.404206e-11,6.738790e-11,1.815006e-11,2.467472e-09,1.235764e-10,1.235124e-10,2.714561e-09,1.248779e-09,1.460381e-10,2.958924e-10,1.690709e-09,2.392190e-11,2.392190e-11,2.581833e-10,6.012579e-10,1.395864e-11,8.733998e-10,1.120447e-09,4.494699e-10,1.384617e-09,2.954533e-09,1.343187e-11,1.343187e-11,5.722685e-08,1.976960e-09,4.593857e-09,3.174212e-09,9.307722e-07,8.137874e+02,1.019625e-12,1.019625e-12,2.085690e+02,6.052183e+02,2.085690e+02,6.052183e+02
2017-12-10,3.450000e+01,-1.189000e+02,2.491876e-08,9.083644e-10,1.382173e-09,8.608440e-10,2.000269e-09,4.052938e-07,5.957820e-10,7.133171e-12,3.505951e-11,3.406089e-10,1.379215e-10,1.041676e-11,5.826783e-12,1.901536e-10,1.288429e-10,5.376020e-11,2.866531e-10,2.013210e-10,1.957164e-10,1.309469e-10,7.170466e-11,1.124186e-10,6.081153e-12,6.522299e-11,2.496610e-11,3.631433e-11,2.310175e-12,1.044933e-11,6.116322e-12,2.934327e-11,7.903229e-12,1.074371e-09,5.381215e-11,5.376020e-11,1.181943e-09,5.437534e-10,6.359060e-11,1.288429e-10,7.361869e-10,1.041676e-11,1.041676e-11,1.124186e-10,2.618582e-10,6.081153e-12,3.803580e-10,4.879741e-10,1.957164e-10,6.029152e-10,1.286606e-09,5.826783e-12,5.826783e-12,2.491876e-08,8.608440e-10,2.000269e-09,1.382173e-09,4.052938e-07,6.842320e+02,4.409189e-13,4.409189e-13,4.265658e+02,2.576662e+02,4.265658e+02,2.576662e+02
