date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total
2018-11-23,3.130000e+01,-1.031000e+02,6.999458e+02,3.499935e+02,1.246500e-08,4.548117e-10,6.913604e-10,4.302593e-10,1.000998e-09,2.027102e-07,2.978452e-10,3.567699e-12,1.752807e-11,1.704547e-10,6.903037e-11,5.204583e-12,2.910840e-12,9.517219e-11,6.440056e-11,2.689831e-11,1.432941e-10,1.006044e-10,9.793858e-11,6.553768e-11,2.231646e-13,3.586475e-11,5.622820e-11,3.036181e-12,3.263053e-11,1.248305e-11,1.816010e-11,1.155792e-12,5.240929e-12,3.061290e-12,1.467869e-11,3.952298e-12,5.378775e-10,2.693320e-11,2.689831e-11,5.917090e-10,2.721156e-10,3.179894e-11,6.440056e-11,3.683151e-10,5.204583e-12,5.204583e-12,5.622820e-11,1.310369e-10,3.036181e-12,1.903013e-10,2.438985e-10,9.793858e-11,3.014130e-10,6.432500e-10,2.910840e-12,2.910840e-12,1.246500e-08,4.302593e-10,1.000998e-09,6.913604e-10,2.231646e-13,6.999458e+02,3.499935e+02,2.027102e-07,1.049939e+03
2018-11-23,3.130000e+01,-1.017000e+02,,,3.630584e-10,1.318295e-11,2.087126e-11,1.249392e-11,2.944113e-11,5.962063e-09,8.658292e-12,1.049323e-13,4.954933e-13,4.870135e-12,1.972296e-12,1.413009e-13,1.021347e-13,2.706318e-12,1.846222e-12,7.872675e-13,4.447057e-12,2.919324e-12,2.930446e-12,1.971058e-12,,1.016784e-12,1.707581e-12,8.897233e-14,9.730775e-13,3.578614e-13,5.360124e-13,3.402962e-14,1.472171e-13,8.599130e-14,4.341418e-13,1.166730e-13,1.564950e-11,7.840232e-13,7.872675e-13,1.722079e-11,7.815509e-12,9.279035e-13,1.846222e-12,1.058963e-11,1.413009e-13,1.413009e-13,1.707581e-12,3.723103e-12,8.897233e-14,5.519655e-12,7.366382e-12,2.930446e-12,8.763225e-12,1.906005e-11,1.021347e-13,1.021347e-13,3.630584e-10,1.249392e-11,2.944113e-11,2.087126e-11,,,,5.962063e-09,6.387928e-09
2018-11-23,3.290000e+01,-1.115000e+02,,,4.356700e-10,1.538011e-11,2.478462e-11,1.483653e-11,3.532935e-11,7.108614e-09,1.038995e-11,1.251116e-13,6.193667e-13,5.952387e-12,2.366756e-12,1.884012e-13,1.021347e-13,3.382898e-12,2.280627e-12,9.184788e-13,4.941175e-12,3.593015e-12,3.393148e-12,2.299568e-12,,1.294089e-12,1.951521e-12,1.112154e-13,1.167693e-12,4.420641e-13,6.432149e-13,4.010634e-14,1.766605e-13,1.031896e-13,5.162767e-13,1.385492e-13,1.829904e-11,9.346759e-13,9.184788e-13,2.015220e-11,9.486835e-12,1.125385e-12,2.280627e-12,1.289285e-11,1.884012e-13,1.884012e-13,1.951521e-12,4.676987e-12,1.112154e-13,6.739723e-12,8.534189e-12,3.393148e-12,1.051506e-11,2.244240e-11,1.021347e-13,1.021347e-13,4.356700e-10,1.483653e-11,3.532935e-11,2.478462e-11,,,,7.108614e-09,7.619235e-09
2018-11-23,3.330000e+01,-1.155000e+02,,,1.210195e-09,4.394316e-11,6.783159e-11,4.216697e-11,9.715572e-11,1.972067e-08,2.900528e-11,3.470838e-13,1.734227e-12,1.650434e-11,6.705808e-12,5.181033e-13,3.064042e-13,9.246587e-12,6.298874e-12,2.624225e-12,1.383529e-11,9.880791e-12,9.562508e-12,6.405939e-12,1.859705e-14,3.512527e-12,5.488653e-12,3.002816e-13,3.178720e-12,1.220939e-12,1.758121e-12,1.118116e-13,5.005381e-13,2.923704e-13,1.431494e-12,3.864793e-13,5.208332e-11,2.610882e-12,2.624225e-12,5.731843e-11,2.638887e-11,3.090871e-12,6.298874e-12,3.577862e-11,5.181033e-13,5.181033e-13,5.488653e-12,1.275911e-11,3.002816e-13,1.854805e-11,2.371608e-11,9.562508e-12,2.935236e-11,6.263096e-11,3.064042e-13,3.064042e-13,1.210195e-09,4.216697e-11,9.715572e-11,6.783159e-11,1.859705e-14,,,1.972067e-08,2.113804e-08
2018-11-23,3.350000e+01,-1.109000e+02,,,8.713401e-10,3.185879e-11,4.826478e-11,3.045392e-11,7.065871e-11,1.421723e-08,2.077990e-11,2.502232e-13,1.238733e-12,1.190477e-11,4.864998e-12,3.532523e-13,2.042695e-13,6.765795e-12,4.561254e-12,1.902563e-12,9.882349e-12,6.961466e-12,6.786296e-12,4.599136e-12,1.859705e-14,2.495743e-12,3.903042e-12,2.113093e-13,2.270514e-12,8.841282e-13,1.264989e-12,8.142803e-14,3.533211e-13,2.063791e-13,1.032553e-12,2.770984e-13,3.769666e-11,1.869352e-12,1.902563e-12,4.146858e-11,1.904028e-11,2.230546e-12,4.561254e-12,2.583208e-11,3.532523e-13,3.532523e-13,3.903042e-12,9.261538e-12,2.113093e-13,1.337589e-11,1.684381e-11,6.786296e-12,2.103012e-11,4.466023e-11,2.042695e-13,2.042695e-13,8.713401e-10,3.045392e-11,7.065871e-11,4.826478e-11,1.859705e-14,,,1.421723e-08,1.523796e-08
2018-11-23,3.430000e+01,-9.490001e+01,,,1.960515e-09,8.898490e-11,1.056607e-10,6.325045e-11,2.384731e-10,1.857412e-08,3.506608e-11,3.269045e-13,5.016870e-12,2.191560e-11,1.065040e-11,1.907562e-12,4.136457e-12,1.826765e-11,8.796704e-12,5.314056e-12,4.002352e-11,1.818964e-11,1.249295e-11,1.330464e-11,1.506361e-12,7.487228e-12,9.879575e-12,9.008449e-13,5.254619e-12,1.705104e-12,1.736680e-12,9.844284e-14,2.384917e-12,1.393059e-12,9.386849e-13,5.906570e-13,1.073064e-10,5.307318e-12,5.314056e-12,1.179278e-10,3.782063e-11,3.540227e-12,8.796704e-12,5.015756e-11,1.907562e-12,1.907562e-12,9.879575e-12,2.575488e-11,9.008449e-13,3.653530e-11,5.821316e-11,1.249295e-11,3.539299e-11,1.060991e-10,4.136457e-12,4.136457e-12,1.960515e-09,6.325045e-11,2.384731e-10,1.056607e-10,1.506361e-12,,,1.857412e-08,2.094353e-08
2018-11-23,3.530000e+01,-1.025000e+02,,,3.146506e-10,1.208437e-11,1.826235e-11,1.093218e-11,2.649701e-11,5.274133e-09,7.792463e-12,9.282474e-14,4.335567e-13,4.329009e-12,1.840810e-12,1.413009e-13,5.106737e-14,2.480792e-12,1.629019e-12,7.216619e-13,3.458822e-12,2.694761e-12,2.467744e-12,1.642549e-12,,9.243491e-13,1.463641e-12,7.785079e-14,8.433339e-13,3.157601e-13,4.716909e-13,2.916825e-14,1.472171e-13,8.599130e-14,3.754740e-13,1.020889e-13,1.416047e-11,7.107712e-13,7.216619e-13,1.559291e-11,7.013152e-12,8.166192e-13,1.629019e-12,9.458791e-12,1.413009e-13,1.413009e-13,1.463641e-12,3.405141e-12,7.785079e-14,4.946633e-12,6.153584e-12,2.467744e-12,7.885288e-12,1.650662e-11,5.106737e-14,5.106737e-14,3.146506e-10,1.093218e-11,2.649701e-11,1.826235e-11,,,,5.274133e-09,5.644475e-09
2018-11-23,3.530000e+01,-9.670000e+01,,,3.630584e-10,1.318295e-11,2.087126e-11,1.249392e-11,2.944113e-11,5.962063e-09,8.658292e-12,1.049323e-13,4.954933e-13,4.870135e-12,1.972296e-12,1.413009e-13,1.021347e-13,2.706318e-12,1.846222e-12,7.872675e-13,3.952940e-12,2.919324e-12,2.930446e-12,1.971058e-12,,1.016784e-12,1.585611e-12,8.897233e-14,9.730775e-13,3.578614e-13,5.360124e-13,3.402962e-14,1.472171e-13,8.599130e-14,4.341418e-13,1.166730e-13,1.564950e-11,7.840232e-13,7.872675e-13,1.722079e-11,7.815509e-12,9.279035e-13,1.846222e-12,1.058963e-11,1.413009e-13,1.413009e-13,1.585611e-12,3.723103e-12,8.897233e-14,5.397686e-12,6.872264e-12,2.930446e-12,8.763225e-12,1.856593e-11,1.021347e-13,1.021347e-13,3.630584e-10,1.249392e-11,2.944113e-11,2.087126e-11,,,,5.962063e-09,6.387928e-09
2018-11-23,3.630000e+01,-9.770000e+01,,,4.356700e-10,4.064742e-11,4.696033e-11,1.093218e-11,3.827347e-11,4.815513e-09,1.774950e-11,8.475303e-14,8.051767e-13,6.222950e-12,2.761215e-12,1.907562e-12,,2.706318e-12,1.303215e-12,1.968169e-12,9.882349e-12,1.324924e-11,5.398190e-12,5.913174e-12,,8.319142e-13,1.463641e-12,3.225247e-13,9.730775e-13,2.315574e-13,1.286430e-13,1.579947e-14,1.472171e-13,2.751722e-13,1.173356e-12,3.354349e-13,4.736577e-11,1.931180e-12,1.968169e-12,5.126512e-11,9.957242e-12,3.759998e-13,1.303215e-12,1.163646e-11,1.907562e-12,1.907562e-12,1.463641e-12,3.538232e-12,3.225247e-13,5.324398e-12,2.313159e-11,5.398190e-12,1.783425e-11,4.636403e-11,,,4.356700e-10,1.093218e-11,3.827347e-11,4.696033e-11,,,,4.815513e-09,5.347349e-09
2018-11-23,3.650000e+01,-1.187000e+02,6.818496e+02,4.545481e+02,6.970720e-09,3.163908e-10,3.756827e-10,2.248905e-10,8.479045e-10,6.604132e-08,1.246794e-10,1.162327e-12,1.783776e-11,7.792216e-11,3.786809e-11,6.782443e-12,1.470740e-11,6.495163e-11,3.127717e-11,1.889442e-11,1.423058e-10,6.467426e-11,4.441940e-11,4.730539e-11,5.355950e-12,2.662125e-11,3.512738e-11,3.203004e-12,1.868309e-11,6.062593e-12,6.174863e-12,3.500190e-13,8.479706e-12,4.953099e-12,3.367532e-12,2.100114e-12,3.815339e-10,1.890045e-11,1.889442e-11,4.193288e-10,1.344733e-10,1.258747e-11,3.127717e-11,1.783380e-10,6.782443e-12,6.782443e-12,3.512738e-11,9.157289e-11,3.203004e-12,1.299033e-10,2.069801e-10,4.441940e-11,1.258418e-10,3.772412e-10,1.470740e-11,1.470740e-11,6.970720e-09,2.248905e-10,8.479045e-10,3.756827e-10,5.355950e-12,6.818496e+02,4.545481e+02,6.604132e-08,1.136398e+03
2018-11-23,3.650000e+01,-1.199000e+02,,,3.388545e-10,3.185879e-11,3.782916e-11,8.589567e-12,3.238524e-11,3.898272e-09,1.428618e-11,6.860959e-14,6.193667e-13,5.140697e-12,2.235269e-12,1.530760e-12,,2.029739e-12,1.086013e-12,1.574535e-12,7.905880e-12,1.055448e-11,4.318552e-12,4.763391e-12,,7.394793e-13,1.219701e-12,2.557955e-13,7.784620e-13,1.894560e-13,1.072025e-13,1.215344e-14,1.177737e-13,2.235774e-13,9.269513e-13,2.698063e-13,3.724155e-11,1.538109e-12,1.574535e-12,4.035419e-11,8.154429e-12,3.088120e-13,1.086013e-12,9.549254e-12,1.530760e-12,1.530760e-12,1.219701e-12,2.769218e-12,2.557955e-13,4.244714e-12,1.846036e-11,4.318552e-12,1.435479e-11,3.713371e-11,,,3.388545e-10,8.589567e-12,3.238524e-11,3.782916e-11,,,,3.898272e-09,4.315931e-09
