date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total
2020-08-21,3.110000e+01,-9.470000e+01,6.364030e+02,4.772690e+02,6.841695e-10,3.105345e-11,3.687289e-11,2.207279e-11,8.322101e-11,6.206560e-09,1.216486e-11,1.092355e-13,1.750759e-12,7.647984e-12,3.716717e-12,6.342384e-13,1.443517e-12,6.374941e-12,3.069824e-12,1.854469e-12,1.396718e-11,6.347717e-12,4.359720e-12,4.642979e-12,5.256814e-13,2.612850e-12,3.447718e-12,3.143717e-13,1.833727e-12,5.950376e-13,6.024501e-13,3.242928e-14,8.322749e-13,4.861419e-13,3.370162e-13,2.061242e-13,3.744719e-11,1.861557e-12,1.854469e-12,4.116321e-11,1.319843e-11,1.229917e-12,3.069824e-12,1.749817e-11,6.342384e-13,6.342384e-13,3.447718e-12,8.987791e-12,3.143717e-13,1.274988e-11,2.031490e-11,4.359720e-12,1.227409e-11,3.694871e-11,1.443517e-12,1.443517e-12,6.841695e-10,2.207279e-11,8.322101e-11,3.687289e-11,5.256814e-13,6.364030e+02,4.772690e+02,6.206560e-09,1.113672e+03
2020-08-21,3.130000e+01,-1.017000e+02,,,7.244148e-10,2.557343e-11,3.904188e-11,2.466958e-11,5.874424e-11,1.137869e-08,1.672668e-11,2.002650e-13,1.029858e-12,9.897391e-12,3.935347e-12,3.171192e-13,1.698256e-13,5.249951e-12,3.611557e-12,1.527210e-12,8.215989e-12,5.600926e-12,5.641991e-12,3.823630e-12,,1.998062e-12,3.244911e-12,1.664321e-13,1.833727e-12,7.000443e-13,1.019531e-12,6.485855e-14,2.937441e-13,1.715795e-13,8.238174e-13,2.303740e-13,3.042691e-11,1.519515e-12,1.527210e-12,3.347364e-11,1.566646e-11,1.784434e-12,3.611557e-12,2.106246e-11,3.171192e-13,3.171192e-13,3.244911e-12,7.248013e-12,1.664321e-13,1.065936e-11,1.381691e-11,5.641991e-12,1.692694e-11,3.638585e-11,1.698256e-13,1.698256e-13,7.244148e-10,2.466958e-11,5.874424e-11,3.904188e-11,,,,1.137869e-08,1.222556e-08
2020-08-21,3.170000e+01,-1.017000e+02,,,6.439242e-10,2.374675e-11,3.687289e-11,2.207279e-11,5.384889e-11,1.086148e-08,1.596638e-11,1.911620e-13,9.268724e-13,8.997628e-12,3.716717e-12,2.536954e-13,1.698256e-13,4.874955e-12,3.430980e-12,1.418124e-12,7.394390e-12,5.227531e-12,5.129083e-12,3.550513e-12,,1.844365e-12,3.042104e-12,1.664321e-13,1.725861e-12,6.650421e-13,9.731887e-13,6.191044e-14,2.937441e-13,1.715795e-13,7.863711e-13,2.061242e-13,2.822414e-11,1.457819e-12,1.418124e-12,3.110008e-11,1.444021e-11,1.700141e-12,3.430980e-12,1.957133e-11,2.536954e-13,2.536954e-13,3.042104e-12,6.719320e-12,1.664321e-13,9.927856e-12,1.262192e-11,5.129083e-12,1.615754e-11,3.390854e-11,1.698256e-13,1.698256e-13,6.439242e-10,2.207279e-11,5.384889e-11,3.687289e-11,,,,1.086148e-08,1.161820e-08
2020-08-21,3.170000e+01,-9.570000e+01,,,2.817168e-10,2.557343e-11,3.036591e-11,7.790395e-12,2.447677e-11,3.103280e-09,1.140455e-11,5.461773e-14,5.149291e-13,4.048933e-12,1.749043e-12,1.268477e-12,,1.874982e-12,9.028894e-13,1.309037e-12,6.572790e-12,8.588087e-12,3.590358e-12,3.823630e-12,,6.147883e-13,1.014035e-12,2.034170e-13,6.471978e-13,1.400089e-13,9.268463e-14,1.179246e-14,9.791469e-14,1.715795e-13,7.863711e-13,2.182491e-13,2.991199e-11,1.274114e-12,1.309037e-12,3.249514e-11,6.445173e-12,2.444859e-13,9.028894e-13,7.592549e-12,1.268477e-12,1.268477e-12,1.014035e-12,2.489771e-12,2.034170e-13,3.707222e-12,1.516088e-11,3.590358e-12,1.145917e-11,3.021041e-11,,,2.817168e-10,7.790395e-12,2.447677e-11,3.036591e-11,,,,3.103280e-09,3.447630e-09
2020-08-21,3.210000e+01,-9.430000e+01,,,1.287848e-09,5.845355e-11,6.940779e-11,4.154877e-11,1.566513e-10,1.241312e-08,2.356941e-11,2.184709e-13,3.295546e-12,1.439620e-11,6.996173e-12,1.268477e-12,2.717209e-12,1.199989e-11,5.778492e-12,3.490766e-12,2.629116e-11,1.194864e-11,8.206533e-12,8.739725e-12,9.895179e-13,4.918307e-12,6.489823e-12,5.917586e-13,3.451722e-12,1.120071e-12,1.158558e-12,6.485855e-14,1.566635e-12,9.150906e-13,6.365862e-13,3.879984e-13,7.048882e-11,3.506310e-12,3.490766e-12,7.748589e-11,2.484410e-11,2.343487e-12,5.778492e-12,3.296608e-11,1.268477e-12,1.268477e-12,6.489823e-12,1.691819e-11,5.917586e-13,2.399978e-11,3.823980e-11,8.206533e-12,2.378788e-11,7.023422e-11,2.717209e-12,2.717209e-12,1.287848e-09,4.154877e-11,1.566513e-10,6.940779e-11,9.895179e-13,,,1.241312e-08,1.396957e-08
2020-08-21,3.230000e+01,-1.019000e+02,,,1.770792e-09,6.393357e-11,9.760470e-11,6.102476e-11,1.419652e-10,2.844673e-08,4.181670e-11,5.006625e-13,2.471660e-12,2.384372e-11,9.619737e-12,7.610861e-13,4.245639e-13,1.349987e-11,9.028894e-12,3.818025e-12,2.053997e-11,1.418901e-11,1.384852e-11,9.285958e-12,3.092244e-14,5.072004e-12,7.909471e-12,4.253265e-13,4.638251e-12,1.750111e-12,2.548827e-12,1.621464e-13,7.343602e-13,4.289487e-13,2.059544e-12,5.577477e-13,7.569119e-11,3.780600e-12,3.818025e-12,8.328981e-11,3.810171e-11,4.461084e-12,9.028894e-12,5.159168e-11,7.610861e-13,7.610861e-13,7.909471e-12,1.857188e-11,4.253265e-13,2.690667e-11,3.472898e-11,1.384852e-11,4.231736e-11,9.089486e-11,4.245639e-13,4.245639e-13,1.770792e-09,6.102476e-11,1.419652e-10,9.760470e-11,3.092244e-14,,,2.844673e-08,3.051815e-08
2020-08-21,3.250000e+01,-1.017000e+02,,,7.646600e-10,2.740010e-11,4.337987e-11,2.596798e-11,6.363959e-11,1.241312e-08,1.824729e-11,2.184709e-13,1.029858e-12,1.034727e-11,4.153978e-12,3.171192e-13,1.698256e-13,5.999944e-12,3.972713e-12,1.636296e-12,9.037588e-12,6.347717e-12,6.154899e-12,4.096746e-12,,2.151759e-12,3.447718e-12,1.849246e-13,2.049460e-12,7.700487e-13,1.112216e-12,7.075478e-14,3.427014e-13,2.001761e-13,8.987099e-13,2.424990e-13,3.252670e-11,1.684086e-12,1.636296e-12,3.584709e-11,1.655071e-11,1.953019e-12,3.972713e-12,2.247644e-11,3.171192e-13,3.171192e-13,3.447718e-12,8.151703e-12,1.849246e-13,1.178435e-11,1.538530e-11,6.154899e-12,1.846576e-11,4.000596e-11,1.698256e-13,1.698256e-13,7.646600e-10,2.596798e-11,6.363959e-11,4.337987e-11,,,,1.241312e-08,1.331077e-08
2020-08-21,3.350000e+01,-1.109000e+02,1.245277e+03,2.370457e+03,6.729008e-08,2.455049e-09,3.732838e-09,2.325433e-09,5.404470e-09,1.094941e-06,1.609563e-09,1.927095e-11,9.474696e-11,9.200075e-10,3.725462e-10,2.816018e-11,1.579378e-11,5.137452e-10,3.479736e-10,1.451940e-10,7.739461e-10,5.436632e-10,5.285519e-10,3.542320e-10,1.205975e-12,1.936583e-10,3.038048e-10,1.640281e-11,1.762535e-10,6.741426e-11,9.810668e-11,6.241162e-12,2.824839e-11,1.652883e-11,7.927370e-11,2.135204e-11,2.904028e-09,1.454029e-10,1.451940e-10,3.194625e-09,1.468807e-09,1.717621e-10,3.479736e-10,1.988543e-09,2.816018e-11,2.816018e-11,3.038048e-10,7.074035e-10,1.640281e-11,1.027611e-09,1.317609e-09,5.285519e-10,1.628834e-09,3.474995e-09,1.579378e-11,1.579378e-11,6.729008e-08,2.325433e-09,5.404470e-09,3.732838e-09,1.205975e-12,1.245277e+03,2.370457e+03,1.094941e-06,3.615733e+03
2020-08-21,3.350000e+01,-1.107000e+02,,,5.485027e-07,2.000025e-08,3.042447e-08,1.894884e-08,4.404839e-08,8.921413e-06,1.311448e-08,1.570169e-10,7.716727e-10,7.497274e-09,3.035902e-09,2.292772e-10,1.284730e-10,4.186836e-09,2.836156e-09,1.183806e-09,6.309879e-09,4.431080e-09,4.308173e-09,2.884383e-09,9.833335e-12,1.578162e-09,2.474853e-09,1.338299e-10,1.436348e-09,5.495348e-10,7.993586e-10,5.085205e-11,2.301485e-10,1.347185e-10,6.459103e-10,1.739688e-10,2.365630e-08,1.184746e-09,1.183806e-09,2.602485e-08,1.196952e-08,1.399745e-09,2.836156e-09,1.620542e-08,2.292772e-10,2.292772e-10,2.474853e-09,5.764997e-09,1.338299e-10,8.373680e-09,1.074096e-08,4.308173e-09,1.327149e-08,2.832062e-08,1.284730e-10,1.284730e-10,5.485027e-07,1.894884e-08,4.404839e-08,3.042447e-08,9.833335e-12,,,8.921413e-06,9.563347e-06
2020-08-21,3.370000e+01,-1.107000e+02,,,1.134916e-08,4.146548e-10,6.311771e-10,3.921165e-10,9.105357e-10,1.846452e-07,2.714284e-10,3.249755e-12,1.596280e-11,1.552091e-10,6.296555e-11,4.756788e-12,2.632296e-12,8.662419e-11,5.868781e-11,2.454444e-11,1.306342e-10,9.185519e-11,8.924604e-11,5.981250e-11,2.164570e-13,3.273748e-11,5.131016e-11,2.773868e-12,2.977110e-11,1.137572e-11,1.654421e-11,1.052477e-12,4.748863e-12,2.802465e-12,1.336831e-11,3.601110e-12,4.904301e-10,2.452075e-11,2.454444e-11,5.394953e-10,2.479457e-10,2.897240e-11,5.868781e-11,3.356059e-10,4.756788e-12,4.756788e-12,5.131016e-11,1.193617e-10,2.773868e-12,1.734457e-10,2.224894e-10,8.924604e-11,2.746781e-10,5.864136e-10,2.632296e-12,2.632296e-12,1.134916e-08,3.921165e-10,9.105357e-10,6.311771e-10,2.164570e-13,,,1.846452e-07,1.979284e-07
