date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total
2018-08-07,3.250000e+01,-1.029000e+02,2.800024e+03,7.999971e+02,1.066841e-08,3.877726e-10,5.924967e-10,3.672716e-10,8.545723e-10,1.731810e-07,2.547769e-10,3.047985e-12,1.493871e-11,1.454351e-10,5.877179e-11,4.452789e-12,2.470510e-12,8.156992e-11,5.516547e-11,2.292213e-11,1.221768e-10,8.630693e-11,8.373405e-11,5.606509e-11,1.999285e-13,3.056362e-11,4.803419e-11,2.600488e-12,2.789631e-11,1.069297e-11,1.555855e-11,9.897200e-13,4.510594e-12,2.634693e-12,1.254114e-11,3.390526e-12,4.587764e-10,2.307695e-11,2.292213e-11,5.047755e-10,2.321032e-10,2.724125e-11,5.516547e-11,3.145099e-10,4.452789e-12,4.452789e-12,4.803419e-11,1.121336e-10,2.600488e-12,1.627682e-10,2.084837e-10,8.373405e-11,2.578249e-10,5.500427e-10,2.470510e-12,2.470510e-12,1.066841e-08,3.672716e-10,8.545723e-10,5.924967e-10,1.999285e-13,2.800024e+03,7.999971e+02,1.731810e-07,3.600021e+03
2018-08-07,3.310000e+01,-1.107000e+02,,,5.854615e-10,2.237150e-11,3.155308e-11,2.098694e-11,4.747624e-11,9.860838e-09,1.364876e-11,1.735507e-13,7.469356e-13,7.998927e-12,3.029474e-12,2.473771e-13,1.372505e-13,4.248434e-12,3.210689e-12,1.234269e-12,6.640042e-12,4.828360e-12,4.559775e-12,3.090202e-12,,1.667107e-12,2.859178e-12,1.494533e-13,1.569168e-12,6.223422e-13,8.643641e-13,5.552885e-14,2.373997e-13,1.386680e-13,6.914913e-13,1.959842e-13,2.620863e-11,1.263543e-12,1.234269e-12,2.870645e-11,1.259757e-11,1.542235e-12,3.210689e-12,1.735049e-11,2.473771e-13,2.473771e-13,2.859178e-12,5.915541e-12,1.494533e-13,8.924172e-12,1.146840e-11,4.559775e-12,1.382231e-11,2.985049e-11,1.372505e-13,1.372505e-13,5.854615e-10,2.098694e-11,4.747624e-11,3.155308e-11,,,,9.860838e-09,1.054632e-08
2018-08-07,3.350000e+01,-1.109000e+02,,,1.235974e-09,4.474299e-11,6.661206e-11,4.197389e-11,9.495248e-11,1.972168e-08,2.881406e-11,3.471015e-13,1.680605e-12,1.672503e-11,6.664842e-12,4.947542e-13,2.745011e-13,9.346554e-12,6.129497e-12,2.644862e-12,1.328008e-11,9.656719e-12,9.534075e-12,6.180404e-12,,3.612065e-12,5.718355e-12,2.989067e-13,3.138335e-12,1.188108e-12,1.786353e-12,1.110577e-13,4.747993e-13,2.773361e-13,1.414414e-12,3.919683e-13,5.260400e-11,2.558518e-12,2.644862e-12,5.780738e-11,2.652821e-11,3.085518e-12,6.129497e-12,3.574322e-11,4.947542e-13,4.947542e-13,5.718355e-12,1.295862e-11,2.989067e-13,1.897588e-11,2.293680e-11,9.534075e-12,2.916116e-11,6.163204e-11,2.745011e-13,2.745011e-13,1.235974e-09,4.197389e-11,9.495248e-11,6.661206e-11,,,,1.972168e-08,2.116119e-08
2018-08-07,3.370000e+01,-9.609999e+01,,,5.854615e-10,1.864292e-11,3.155308e-11,1.888825e-11,4.747624e-11,9.244536e-09,1.364876e-11,1.627038e-13,7.469356e-13,7.998927e-12,3.029474e-12,2.473771e-13,1.372505e-13,4.248434e-12,2.918808e-12,1.234269e-12,6.640042e-12,4.828360e-12,4.559775e-12,3.090202e-12,,1.667107e-12,2.287342e-12,1.494533e-13,1.394816e-12,5.657656e-13,8.067398e-13,5.226244e-14,2.373997e-13,1.386680e-13,6.600598e-13,1.763857e-13,2.248005e-11,1.212513e-12,1.234269e-12,2.492683e-11,1.242322e-11,1.424768e-12,2.918808e-12,1.676679e-11,2.473771e-13,2.473771e-13,2.287342e-12,5.915541e-12,1.494533e-13,8.352336e-12,1.146840e-11,4.559775e-12,1.381147e-11,2.983964e-11,1.372505e-13,1.372505e-13,5.854615e-10,1.888825e-11,4.747624e-11,3.155308e-11,,,,9.244536e-09,9.927914e-09
2018-08-07,3.370000e+01,-9.590001e+01,,,5.204102e-10,1.864292e-11,2.804718e-11,1.678956e-11,3.956353e-11,8.011932e-09,1.213224e-11,1.410100e-13,7.469356e-13,6.544577e-12,2.423579e-12,2.473771e-13,1.372505e-13,3.398747e-12,2.626927e-12,1.057945e-12,5.312034e-12,4.224815e-12,3.730725e-12,2.648745e-12,,1.389256e-12,2.287342e-12,1.195627e-13,1.220464e-12,5.091890e-13,6.914913e-13,4.572964e-14,2.373997e-13,1.386680e-13,5.657656e-13,1.567873e-13,2.203859e-11,1.098621e-12,1.057945e-12,2.419516e-11,1.018862e-11,1.246410e-12,2.626927e-12,1.406196e-11,2.473771e-13,2.473771e-13,2.287342e-12,4.788002e-12,1.195627e-13,7.194907e-12,9.536849e-12,3.730725e-12,1.227324e-11,2.554082e-11,1.372505e-13,1.372505e-13,5.204102e-10,1.678956e-11,3.956353e-11,2.804718e-11,,,,8.011932e-09,8.616742e-09
2018-08-07,3.370000e+01,-1.175000e+02,8.125135e+02,1.324987e+03,1.695236e-07,6.178262e-09,9.402818e-09,5.855358e-09,1.360985e-08,2.756721e-06,4.053683e-09,4.851828e-11,2.382725e-10,2.316780e-09,9.385309e-10,7.099724e-11,3.966541e-11,1.293223e-09,8.768101e-10,3.658725e-10,1.949517e-09,1.370047e-09,1.331040e-09,8.913025e-10,3.048909e-12,4.876288e-10,7.651160e-10,4.136868e-11,4.440744e-10,1.698428e-10,2.470353e-10,1.571466e-11,7.114077e-11,4.160041e-11,1.996210e-10,5.377805e-11,7.307837e-09,3.661402e-10,3.658725e-10,8.039850e-09,3.699385e-09,4.325927e-10,8.768101e-10,5.008788e-09,7.099724e-11,7.099724e-11,7.651160e-10,1.780852e-09,4.136868e-11,2.587337e-09,3.319564e-09,1.331040e-09,4.102201e-09,8.752805e-09,3.966541e-11,3.966541e-11,1.695236e-07,5.855358e-09,1.360985e-08,9.402818e-09,3.048909e-12,8.125135e+02,1.324987e+03,2.756721e-06,2.137500e+03
2018-08-07,3.390000e+01,-9.450000e+01,,,1.951538e-10,7.457166e-12,1.402359e-11,8.394778e-12,1.582541e-11,3.697814e-09,6.066118e-12,6.508153e-14,3.734678e-13,2.908701e-12,1.211789e-12,,,1.699373e-12,1.167523e-12,5.289724e-13,2.656017e-12,1.810635e-12,1.658100e-12,1.324372e-12,,5.557022e-13,1.143671e-12,5.978134e-14,5.230558e-13,2.263062e-13,3.457456e-13,1.959842e-14,7.913323e-14,4.622268e-14,2.514514e-13,7.839366e-14,9.155006e-12,4.552009e-13,5.289724e-13,1.013918e-11,4.643546e-12,5.916503e-13,1.167523e-12,6.402720e-12,,,1.143671e-12,2.255076e-12,5.978134e-14,3.458528e-12,4.466652e-12,1.658100e-12,6.131199e-12,1.225595e-11,,,1.951538e-10,8.394778e-12,1.582541e-11,1.402359e-11,,,,3.697814e-09,3.931212e-09
2018-08-07,3.390000e+01,-1.111000e+02,1.334988e+03,1.140656e+03,3.109451e-08,1.133489e-09,1.728408e-09,1.074532e-09,2.500415e-09,5.059842e-07,7.430994e-10,8.905324e-12,4.388246e-11,4.253975e-10,1.720741e-10,1.286361e-11,7.274278e-12,2.379123e-10,1.608263e-10,6.717949e-11,3.585623e-10,2.516782e-10,2.445698e-10,1.633392e-10,5.997855e-13,8.974592e-11,1.400997e-10,7.592231e-12,8.159672e-11,3.117369e-11,4.535031e-11,2.884234e-12,1.305698e-11,7.626742e-12,3.664904e-11,9.877602e-12,1.340711e-09,6.721036e-11,6.717949e-11,1.475101e-09,6.790683e-10,7.940823e-11,1.608263e-10,9.193029e-10,1.286361e-11,1.286361e-11,1.400997e-10,3.276582e-10,7.592231e-12,4.753501e-10,6.102405e-10,2.445698e-10,7.520047e-10,1.606815e-09,7.274278e-12,7.274278e-12,3.109451e-08,1.074532e-09,2.500415e-09,1.728408e-09,5.997855e-13,1.334988e+03,1.140656e+03,5.059842e-07,2.475645e+03
2018-08-07,3.410000e+01,-9.450000e+01,,,1.756384e-09,8.202882e-11,9.465924e-11,5.666475e-11,2.136431e-10,1.664016e-08,3.184712e-11,2.928669e-13,4.481613e-12,1.963373e-11,9.694316e-12,1.731640e-12,3.705765e-12,1.699373e-11,7.880782e-12,4.760751e-12,3.585623e-11,1.629571e-11,1.119217e-11,1.191935e-11,1.349517e-12,6.946278e-12,9.149369e-12,8.070480e-13,4.707503e-12,1.527567e-12,1.555855e-12,8.819287e-14,2.136597e-12,1.248012e-12,8.486484e-13,5.291572e-13,9.842979e-11,4.762415e-12,4.760751e-12,1.079530e-10,3.403555e-11,3.171615e-12,7.880782e-12,4.508795e-11,1.731640e-12,1.731640e-12,9.149369e-12,2.394001e-11,8.070480e-13,3.389643e-11,5.215194e-11,1.119217e-11,3.213999e-11,9.548410e-11,3.705765e-12,3.705765e-12,1.756384e-09,5.666475e-11,2.136431e-10,9.465924e-11,1.349517e-12,,,1.664016e-08,1.876287e-08
2018-08-07,3.410000e+01,-1.105000e+02,,,1.301025e-10,7.457166e-12,7.011796e-12,4.197389e-12,1.582541e-11,1.232605e-09,3.033059e-12,2.169384e-14,3.734678e-13,1.454350e-12,6.058947e-13,2.473771e-13,2.745011e-13,8.496867e-13,5.837616e-13,3.526482e-13,2.656017e-12,1.207090e-12,8.290500e-13,8.829148e-13,9.996425e-14,5.557022e-13,5.718355e-13,5.978134e-14,3.487039e-13,1.131531e-13,1.152485e-13,6.532806e-15,1.582665e-13,9.244536e-14,6.286284e-14,3.919683e-14,8.713548e-12,3.527715e-13,3.526482e-13,9.418968e-12,2.408949e-12,2.349345e-13,5.837616e-13,3.227645e-12,2.473771e-13,2.473771e-13,5.718355e-13,1.405389e-12,5.978134e-14,2.037006e-12,3.863107e-12,8.290500e-13,3.054753e-12,7.746909e-12,2.745011e-13,2.745011e-13,1.301025e-10,4.197389e-12,1.582541e-11,7.011796e-12,9.996425e-14,,,1.232605e-09,1.389842e-09
