date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-23,4.770000e+01,-1.205000e+02,2.093771e-08,9.505593e-10,1.128425e-09,6.754959e-10,2.546822e-09,1.983661e-07,3.752505e-10,3.491242e-12,5.367304e-11,2.340521e-10,1.135779e-10,1.953808e-10,9.394616e-11,5.675252e-11,4.274392e-10,1.948566e-10,1.334210e-10,1.420896e-10,7.986293e-11,1.057640e-10,9.620753e-12,5.611776e-11,1.821000e-11,1.854723e-11,1.051340e-12,2.547020e-11,1.487745e-11,1.011667e-11,6.308040e-12,1.146322e-09,5.677236e-11,5.675252e-11,1.259847e-09,4.037477e-10,3.780857e-11,9.394616e-11,5.355025e-10,1.057640e-10,2.752437e-10,9.620753e-12,3.906285e-10,6.222958e-10,1.334210e-10,3.787417e-10,1.134459e-09,2.093771e-08,6.754959e-10,2.546822e-09,1.128425e-09,1.983661e-07,1.168866e+03,2.040369e-11,4.417612e-11,1.608749e-11,2.040369e-11,2.040369e-11,4.417612e-11,4.417612e-11,1.608749e-11,8.398715e+02,3.289945e+02,8.398715e+02,3.289945e+02
2018-08-23,4.790000e+01,-1.163000e+02,7.641502e-10,3.727683e-11,4.118340e-11,2.465314e-11,9.294970e-11,7.239637e-09,1.516164e-11,1.274176e-13,1.866888e-12,8.542048e-12,4.543114e-12,6.371113e-12,3.428692e-12,2.071260e-12,1.559997e-11,7.325435e-12,4.869380e-12,5.185752e-12,2.777841e-12,4.287732e-12,3.511224e-13,2.048093e-12,6.645986e-13,6.769060e-13,3.837008e-14,9.295694e-13,5.429728e-13,3.692215e-13,2.302205e-13,4.432947e-11,2.071984e-12,2.071260e-12,4.847272e-11,1.513326e-11,1.379875e-12,3.428692e-12,1.994182e-11,4.287732e-12,9.148954e-12,3.511224e-13,1.378781e-11,2.292540e-11,4.869380e-12,1.528905e-11,4.308384e-11,7.641502e-10,2.465314e-11,9.294970e-11,4.118340e-11,7.239637e-09,8.163161e-09,6.182936e-13,1.612267e-12,5.871346e-13,6.182936e-13,6.182936e-13,1.612267e-12,1.612267e-12,5.871346e-13,,,,
2018-08-23,4.790000e+01,-1.159000e+02,7.030182e-09,3.168530e-10,3.788873e-10,2.268089e-10,8.551372e-10,6.660466e-08,1.250835e-10,1.172242e-12,1.820216e-11,7.858684e-11,3.785929e-11,6.583483e-11,3.154397e-11,1.905559e-11,1.435197e-10,6.592891e-11,4.479829e-11,4.770892e-11,2.708395e-11,3.573110e-11,3.230326e-12,1.884246e-11,6.114308e-12,6.227536e-12,3.530047e-13,8.552038e-12,4.995350e-12,3.396838e-12,2.118028e-12,3.827641e-10,1.906225e-11,1.905559e-11,4.208820e-10,1.352886e-10,1.269485e-11,3.154397e-11,1.795274e-10,3.573110e-11,9.291878e-11,3.230326e-12,1.318802e-10,2.094486e-10,4.479829e-11,1.262557e-10,3.805027e-10,7.030182e-09,2.268089e-10,8.551372e-10,3.788873e-10,6.660466e-08,6.006409e+02,6.801230e-12,1.483286e-11,5.401638e-12,6.801230e-12,6.801230e-12,1.483286e-11,1.483286e-11,5.401638e-12,3.787679e+02,2.218730e+02,3.787679e+02,2.218730e+02
2018-08-23,4.790000e+01,-1.205000e+02,1.726979e-08,7.828135e-10,9.307448e-10,5.571609e-10,2.100663e-09,1.636158e-07,3.070231e-10,2.879638e-12,4.387187e-11,1.930503e-10,9.389101e-11,1.614015e-10,7.748845e-11,4.681048e-11,3.525593e-10,1.596945e-10,1.100480e-10,1.171980e-10,6.597372e-11,8.718389e-11,7.935365e-12,4.628691e-11,1.501993e-11,1.529808e-11,8.671637e-13,2.100827e-11,1.227118e-11,8.344406e-12,5.202982e-12,9.438834e-10,4.682684e-11,4.681048e-11,1.037521e-09,3.332282e-10,3.118517e-11,7.748845e-11,4.419018e-10,8.718389e-11,2.273752e-10,7.935365e-12,3.224945e-10,5.122538e-10,1.100480e-10,3.099027e-10,9.322045e-10,1.726979e-08,5.571609e-10,2.100663e-09,9.307448e-10,1.636158e-07,1.284768e+03,1.669393e-11,3.643724e-11,1.326924e-11,1.669393e-11,1.669393e-11,3.643724e-11,3.643724e-11,1.326924e-11,9.243770e+02,3.603910e+02,9.243770e+02,3.603910e+02
2018-08-23,4.790000e+01,-1.207000e+02,1.222640e-09,5.591525e-11,6.589344e-11,3.944502e-11,1.487195e-10,1.158342e-08,1.895204e-11,2.038682e-13,2.800332e-12,1.366728e-11,6.057485e-12,1.061852e-11,5.485907e-12,3.314016e-12,2.495995e-11,1.025561e-11,7.791007e-12,8.297203e-12,4.166762e-12,5.716976e-12,5.617958e-13,3.276949e-12,1.063358e-12,1.083050e-12,6.139212e-14,1.487311e-12,8.687565e-13,5.907544e-13,3.683527e-13,6.701278e-11,3.315175e-12,3.314016e-12,7.364197e-11,2.300171e-11,2.207800e-12,5.485907e-12,3.069542e-11,5.716976e-12,1.478528e-11,5.617958e-13,2.106405e-11,3.521556e-11,7.791007e-12,1.915591e-11,6.216248e-11,1.222640e-09,3.944502e-11,1.487195e-10,6.589344e-11,1.158342e-08,1.306106e-08,1.236587e-12,2.579627e-12,9.394153e-13,1.236587e-12,1.236587e-12,2.579627e-12,2.579627e-12,9.394153e-13,,,,
2018-08-23,4.810000e+01,-1.123000e+02,5.043391e-09,1.863842e-10,2.800471e-10,1.725719e-10,4.089787e-10,8.108393e-08,1.212931e-10,1.427077e-12,7.000831e-12,6.833638e-11,2.725868e-11,3.822668e-11,2.605806e-11,1.077055e-11,5.615989e-11,4.102244e-11,3.895504e-11,2.592876e-11,1.458366e-11,2.286790e-11,1.193816e-12,1.310780e-11,5.050950e-12,7.310585e-12,4.681149e-13,2.045053e-12,1.194540e-12,5.907544e-12,1.611543e-12,2.193138e-10,1.075868e-11,1.077055e-11,2.408430e-10,1.087029e-10,1.282965e-11,2.605806e-11,1.475906e-10,2.286790e-11,5.281034e-11,1.193816e-12,7.687206e-11,9.718233e-11,3.895504e-11,1.227202e-10,2.588575e-10,5.043391e-09,1.725719e-10,4.089787e-10,2.800471e-10,8.108393e-08,3.750047e+03,1.854881e-12,1.289814e-12,1.174269e-13,1.854881e-12,1.854881e-12,1.289814e-12,1.289814e-12,1.174269e-13,2.850042e+03,9.000046e+02,2.850042e+03,9.000046e+02
2018-08-23,4.830000e+01,-1.049000e+02,3.056601e-10,2.795762e-11,3.294672e-11,9.861254e-12,3.717988e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.106734e-13,8.192373e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,8.122872e-13,2.302205e-13,3.257295e-11,1.445611e-12,1.242756e-12,3.526131e-11,7.458837e-12,2.759750e-13,6.857384e-13,8.420551e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,3.056601e-10,9.861254e-12,3.717988e-11,3.294672e-11,2.895855e-09,3.281503e-09,1.236587e-12,,,1.236587e-12,1.236587e-12,,,,,,,
2018-08-23,4.830000e+01,-1.137000e+02,2.139620e-09,9.319208e-11,1.153135e-10,6.902878e-11,2.602591e-10,2.027098e-08,3.790409e-11,3.567693e-13,5.600665e-12,2.391773e-11,1.211497e-11,1.911334e-11,9.600338e-12,5.799528e-12,4.367991e-11,2.051122e-11,1.363426e-11,1.452011e-11,8.333523e-12,1.143395e-11,9.831427e-13,5.734661e-12,1.860876e-12,1.895337e-12,1.074362e-13,2.602794e-12,1.520324e-12,1.033820e-12,6.446173e-13,1.133129e-10,5.801555e-12,5.799528e-12,1.249139e-10,4.176737e-11,3.863649e-12,9.600338e-12,5.523135e-11,1.143395e-11,2.744686e-11,9.831427e-13,3.986396e-11,6.419113e-11,1.363426e-11,3.826086e-11,1.160863e-10,2.139620e-09,6.902878e-11,2.602591e-10,1.153135e-10,2.027098e-08,2.285685e-08,1.854881e-12,4.514348e-12,1.643977e-12,1.854881e-12,1.854881e-12,4.514348e-12,4.514348e-12,1.643977e-12,,,,
2018-08-23,4.830000e+01,-1.163000e+02,1.069810e-09,3.727684e-11,5.765676e-11,3.451439e-11,9.294970e-11,1.737513e-08,2.653286e-11,3.058023e-13,1.400166e-12,1.366728e-11,6.057485e-12,8.494817e-12,5.485907e-12,2.485512e-12,1.247998e-11,8.790522e-12,8.764884e-12,5.185752e-12,2.777841e-12,4.287732e-12,2.808979e-13,2.867331e-12,1.063358e-12,1.489193e-12,9.976220e-14,3.718278e-13,2.171891e-13,1.255353e-12,3.223086e-13,4.386275e-11,2.166679e-12,2.485512e-12,4.851495e-11,2.259209e-11,2.652313e-12,5.485907e-12,3.073031e-11,4.287732e-12,1.127266e-11,2.808979e-13,1.584129e-11,2.127050e-11,8.764884e-12,2.683866e-11,5.687404e-11,1.069810e-09,3.451439e-11,9.294970e-11,5.765676e-11,1.737513e-08,8.954954e+02,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,3.773214e+02,5.181741e+02,3.773214e+02,5.181741e+02
2018-08-23,4.830000e+01,-1.161000e+02,1.635282e-08,6.989407e-10,8.895614e-10,5.374384e-10,1.821814e-09,1.809909e-07,3.146039e-10,3.185440e-12,3.733777e-11,1.930503e-10,8.783355e-11,1.444119e-10,7.611697e-11,4.225370e-11,2.995194e-10,1.479738e-10,1.100480e-10,1.047522e-10,5.833466e-11,8.003767e-11,6.671325e-12,4.341958e-11,1.475409e-11,1.665189e-11,9.899479e-13,1.673225e-11,9.773510e-12,1.063358e-11,4.972762e-12,8.410306e-10,4.211210e-11,4.225370e-11,9.253964e-10,3.243034e-10,3.239593e-11,7.611697e-11,4.328163e-10,8.003767e-11,2.027465e-10,6.671325e-12,2.894555e-10,4.474932e-10,1.100480e-10,3.177894e-10,8.753306e-10,1.635282e-08,5.374384e-10,1.821814e-09,8.895614e-10,1.809909e-07,1.716438e+03,1.422075e-11,2.708609e-11,9.629007e-12,1.422075e-11,1.422075e-11,2.708609e-11,2.708609e-11,9.629007e-12,8.603047e+02,8.561335e+02,8.603047e+02,8.561335e+02
