time,lat,lon,frpfire,crfire,mami,apt
2020-09-13,31.099998,-106.7,0.0,0.0,,0.0
2020-09-13,31.099998,-106.5,0.0,0.0,,0.0
2020-09-13,31.099998,-106.3,0.0,0.0,,0.0
2020-09-13,31.099998,-106.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-105.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-105.7,0.0,0.0,,0.0
2020-09-13,31.099998,-105.5,0.0,0.0,,0.0
2020-09-13,31.099998,-105.3,0.0,0.0,,0.0
2020-09-13,31.099998,-105.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-104.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-104.7,0.0,0.0,,0.0
2020-09-13,31.099998,-104.5,0.0,0.0,,0.0
2020-09-13,31.099998,-104.3,0.0,0.0,,0.0
2020-09-13,31.099998,-104.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-103.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-103.7,0.0,0.0,,0.0
2020-09-13,31.099998,-103.5,0.0,0.0,,0.0
2020-09-13,31.099998,-103.3,0.0,0.0,,0.0
2020-09-13,31.099998,-103.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-102.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-102.7,0.0,0.0,,0.0
2020-09-13,31.099998,-102.5,0.0,0.0,,0.0
2020-09-13,31.099998,-102.3,0.0,0.0,,0.0
2020-09-13,31.099998,-102.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-101.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-101.7,0.0,0.0,,0.0
2020-09-13,31.099998,-101.5,0.0,0.0,,0.0
2020-09-13,31.099998,-101.3,0.0,0.0,,0.0
2020-09-13,31.099998,-101.09999,0.0,0.0,,0.0
2020-09-13,31.099998,-100.90001,0.0,0.0,,0.0
2020-09-13,31.099998,-100.7,0.0,0.0,,0.0
2020-09-13,31.099998,-100.5,0.0,0.0,,0.0
