date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,c2h6sfire,isoprene_isoprene,isoprene_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-11-21,3.770000e+01,-1.211000e+02,1.423190e-09,5.286133e-11,7.839120e-11,4.847154e-11,1.124979e-10,2.287269e-08,3.344496e-11,4.025593e-13,2.059078e-12,1.886856e-11,7.635525e-12,3.346190e-13,1.070781e-11,7.288509e-12,3.024843e-12,1.620855e-11,1.108055e-11,1.101278e-11,7.279925e-12,3.939185e-12,6.305520e-12,3.384028e-13,3.675669e-12,1.396900e-12,2.035161e-12,1.295554e-13,5.798650e-13,3.463095e-13,1.655164e-12,4.426854e-13,6.220033e-11,3.024024e-12,3.024843e-12,6.824920e-11,3.017975e-11,3.561616e-12,7.288509e-12,4.102987e-11,6.305520e-12,1.464699e-11,3.384028e-13,2.129092e-11,2.728909e-11,1.101278e-11,3.384752e-11,7.214938e-11,3.346190e-13,3.346190e-13,1.423190e-09,4.847154e-11,1.124979e-10,7.839120e-11,2.287269e-08,2.453528e-08,7.793657e-13,4.549124e-14,7.793657e-13,7.793657e-13,4.549124e-14,,,,
2020-11-21,3.790000e+01,-1.209000e+02,1.008093e-09,3.524088e-11,5.453301e-11,3.462253e-11,7.925991e-11,1.637797e-08,2.388925e-11,2.882524e-13,1.470770e-12,1.378856e-11,5.726644e-12,2.342333e-13,8.030855e-12,5.144830e-12,2.140658e-12,1.146458e-11,8.310411e-12,8.047798e-12,5.380814e-12,3.063811e-12,4.503943e-12,2.417163e-13,2.635386e-12,1.019360e-12,1.453686e-12,9.103895e-14,4.231447e-13,2.473639e-13,1.184749e-12,3.193140e-13,4.209247e-11,2.174572e-12,2.140658e-12,4.640770e-11,2.215059e-11,2.564085e-12,5.144830e-12,2.985950e-11,4.503943e-12,1.109467e-11,2.417163e-13,1.584033e-11,1.977499e-11,8.047798e-12,2.417750e-11,5.200029e-11,2.342333e-13,2.342333e-13,1.008093e-09,3.462253e-11,7.925991e-11,5.453301e-11,1.637797e-08,1.755448e-08,3.896828e-13,,3.896828e-13,3.896828e-13,,,,,
2020-11-21,3.810000e+01,-9.609999e+01,2.905679e-09,1.057227e-10,1.601907e-10,1.000591e-10,2.326662e-10,4.715727e-08,6.927883e-11,8.299680e-13,4.118157e-12,3.991425e-11,1.622549e-11,6.692379e-13,2.275409e-11,1.500575e-11,6.235829e-12,3.320776e-11,2.308447e-11,2.287269e-11,1.519289e-11,8.316058e-12,1.351183e-11,7.009773e-13,7.559395e-12,2.907062e-12,4.231843e-12,2.696154e-13,1.222418e-12,7.111712e-13,3.414864e-12,9.216564e-13,1.250337e-10,6.270110e-12,6.235829e-12,1.375396e-10,6.369914e-11,7.408520e-12,1.500575e-11,8.611341e-11,1.351183e-11,3.107015e-11,7.009773e-13,4.528295e-11,5.629223e-11,2.287269e-11,7.010880e-11,1.492737e-10,6.692379e-13,6.692379e-13,2.905679e-09,1.000591e-10,2.326662e-10,1.601907e-10,4.715727e-08,5.055591e-08,1.169048e-12,4.549124e-14,1.169048e-12,1.169048e-12,4.549124e-14,,,,
2020-11-21,3.810000e+01,-1.211000e+02,2.371983e-10,1.174696e-11,1.363325e-11,8.655632e-12,2.045417e-11,3.953304e-09,7.166776e-12,6.957815e-14,2.941541e-13,3.628569e-12,9.544406e-13,6.692380e-14,1.338476e-12,1.286207e-12,5.584325e-13,2.767313e-12,1.846758e-12,2.117841e-12,1.266074e-12,8.753745e-13,9.007886e-13,6.042908e-14,6.935225e-13,2.642784e-13,3.553456e-13,2.451049e-14,1.097042e-13,6.184097e-14,2.961872e-13,7.982850e-14,1.330719e-11,5.475609e-13,5.584325e-13,1.441318e-11,5.276532e-12,6.441344e-13,1.286207e-12,7.206874e-12,9.007886e-13,2.213850e-12,6.042908e-14,3.175068e-12,4.614070e-12,2.117841e-12,7.236354e-12,1.396827e-11,6.692380e-14,6.692380e-14,2.371983e-10,8.655632e-12,2.045417e-11,1.363325e-11,3.953304e-09,4.233246e-09,,,,,,,,,
2020-11-21,3.850000e+01,-1.193000e+02,1.778987e-10,5.873481e-12,1.022494e-11,5.885830e-12,1.278386e-11,2.823789e-09,4.777850e-12,4.969868e-14,2.941541e-13,2.177141e-12,9.544406e-13,3.346190e-14,1.338476e-12,8.574717e-13,3.722883e-13,1.976652e-12,9.233789e-13,1.270705e-12,9.495554e-13,4.376872e-13,9.007886e-13,3.625745e-14,4.161135e-13,1.510162e-13,2.584331e-13,1.400599e-14,6.268811e-14,4.328868e-14,1.916505e-13,5.079996e-14,7.117190e-12,3.484273e-13,3.722883e-13,7.837906e-12,3.547695e-12,4.234554e-13,8.574717e-13,4.828622e-12,9.007886e-13,1.776163e-12,3.625745e-14,2.713209e-12,2.900031e-12,1.270705e-12,4.827549e-12,8.998285e-12,3.346190e-14,3.346190e-14,1.778987e-10,5.885830e-12,1.278386e-11,1.022494e-11,2.823789e-09,1.949961e+03,,,,,,1.449975e+03,4.999861e+02,1.449975e+03,4.999861e+02
2020-11-21,3.850000e+01,-1.195000e+02,1.185991e-10,5.873481e-12,6.816626e-12,4.500928e-12,1.022708e-11,2.259031e-09,2.388925e-12,3.975894e-14,2.941541e-13,2.177141e-12,9.544406e-13,3.346190e-14,1.338476e-12,7.145598e-13,2.792162e-13,1.581322e-12,9.233790e-13,1.270705e-12,6.330370e-13,4.376872e-13,9.007887e-13,3.625745e-14,3.467612e-13,1.510162e-13,1.938249e-13,1.400599e-14,6.268811e-14,3.092049e-14,1.568050e-13,4.354282e-14,6.800672e-12,2.939564e-13,2.792162e-13,7.373845e-12,3.478343e-12,3.588471e-13,7.145598e-13,4.551750e-12,9.007887e-13,1.776163e-12,3.625745e-14,2.713209e-12,2.504701e-12,1.270705e-12,2.428684e-12,6.204089e-12,3.346190e-14,3.346190e-14,1.185991e-10,4.500928e-12,1.022708e-11,6.816626e-12,2.259031e-09,1.772726e+03,,,,,,1.318185e+03,4.545416e+02,1.318185e+03,4.545416e+02
2020-11-21,3.870000e+01,-1.229000e+02,1.778987e-10,5.873481e-12,1.022494e-11,6.232055e-12,1.534063e-11,3.106168e-09,4.777850e-12,5.466855e-14,2.941541e-13,2.177141e-12,9.544406e-13,3.346190e-14,1.338476e-12,1.000384e-12,3.722883e-13,1.976652e-12,1.846758e-12,1.270705e-12,9.495554e-13,4.376872e-13,9.007886e-13,4.834326e-14,4.854658e-13,1.887703e-13,2.584331e-13,1.750749e-14,7.836014e-14,4.328868e-14,2.090733e-13,5.805710e-14,7.117190e-12,3.887792e-13,3.722883e-13,7.878257e-12,3.617048e-12,4.647109e-13,1.000384e-12,5.082142e-12,9.007886e-13,1.776163e-12,4.834326e-14,2.725295e-12,3.823410e-12,1.270705e-12,4.832519e-12,9.926634e-12,3.346190e-14,3.346190e-14,1.778987e-10,6.232055e-12,1.534063e-11,1.022494e-11,3.106168e-09,3.315864e-09,,,,,,,,,
2020-11-21,3.890000e+01,-1.119000e+02,4.150969e-10,1.762044e-11,2.385819e-11,1.384901e-11,5.369220e-11,4.235683e-09,7.166776e-12,7.454802e-14,1.176616e-12,5.079996e-12,1.908881e-12,9.034712e-13,4.015428e-12,2.000767e-12,1.163401e-12,8.697269e-12,3.693516e-12,2.964978e-12,2.848666e-12,1.750749e-12,1.801577e-12,2.054589e-13,1.178988e-12,3.775406e-13,3.876497e-13,2.100899e-14,5.328489e-13,3.092049e-13,2.090733e-13,1.306285e-13,2.164572e-11,1.181756e-12,1.163401e-12,2.399088e-11,8.167866e-12,7.861992e-13,2.000767e-12,1.095483e-11,1.801577e-12,5.766177e-12,2.054589e-13,7.773213e-12,1.239078e-11,2.964978e-12,7.241324e-12,2.259709e-11,9.034712e-13,9.034712e-13,4.150969e-10,1.384901e-11,5.369220e-11,2.385819e-11,4.235683e-09,4.742498e-09,3.896828e-13,3.184387e-13,3.896828e-13,3.896828e-13,3.184387e-13,,,,
2020-11-21,3.890000e+01,-1.221000e+02,1.778987e-10,1.762044e-11,2.044988e-11,5.193379e-12,1.789740e-11,2.259031e-09,7.166776e-12,3.975894e-14,2.941541e-13,2.902855e-12,9.544406e-13,,1.338476e-12,5.716478e-13,8.841847e-13,4.743965e-12,6.463653e-12,2.541410e-12,2.848666e-12,4.376872e-13,9.007886e-13,1.450298e-13,4.161135e-13,1.132622e-13,6.460829e-14,7.002996e-15,6.268811e-14,1.298660e-13,5.401060e-13,1.596570e-13,2.076326e-11,8.923172e-13,8.841847e-13,2.253976e-11,4.273409e-12,1.848734e-13,5.716478e-13,5.029930e-12,9.007886e-13,1.776163e-12,1.450298e-13,2.821982e-12,1.120762e-11,2.541410e-12,7.206535e-12,2.095556e-11,,,1.778987e-10,5.193379e-12,1.789740e-11,2.044988e-11,2.259031e-09,2.480470e-09,7.793657e-13,,7.793657e-13,7.793657e-13,,,,,
2020-11-21,3.910000e+01,-1.221000e+02,5.336961e-10,2.349392e-11,3.408313e-11,1.627259e-11,4.090834e-11,7.624229e-09,1.433355e-11,1.341864e-13,8.824622e-13,7.257137e-12,2.863322e-12,1.003857e-13,2.676952e-12,2.429503e-12,1.303009e-12,6.720617e-12,6.463653e-12,4.659251e-12,3.481703e-12,1.313062e-12,1.801577e-12,1.692014e-13,1.248341e-12,4.530487e-13,6.137787e-13,4.201798e-14,2.037364e-13,1.607865e-13,7.143338e-13,2.031998e-13,2.785809e-11,1.282057e-12,1.303009e-12,3.044315e-11,1.136880e-11,1.108845e-12,2.429503e-12,1.490715e-11,1.801577e-12,3.990014e-12,1.692014e-13,5.960792e-12,1.318427e-11,4.659251e-12,1.446774e-11,3.231126e-11,1.003857e-13,1.003857e-13,5.336961e-10,1.627259e-11,4.090834e-11,3.408313e-11,7.624229e-09,8.249190e-09,3.896828e-13,,3.896828e-13,3.896828e-13,,,,,
