time,lat,lon,frpfire,crfire,mami,apt
2018-08-02,31.3,-99.3,0.0,0.0,,0.0
2018-08-02,31.3,-99.09999,0.0,0.0,,0.0
2018-08-02,31.3,-98.90001,0.0,0.0,,0.0
2018-08-02,31.3,-98.7,0.0,0.0,,0.0
2018-08-02,31.3,-98.5,0.0,0.0,,0.0
2018-08-02,31.3,-98.3,0.0,0.0,,0.0
2018-08-02,31.3,-98.09999,0.0,0.0,,0.0
2018-08-02,31.3,-97.90001,0.0,0.0,,0.0
2018-08-02,31.3,-97.7,0.0,0.0,,0.0
2018-08-02,31.3,-97.5,0.0,0.0,,0.0
2018-08-02,31.3,-97.3,0.0,0.0,,0.0
2018-08-02,31.3,-97.09999,0.0,0.0,,0.0
2018-08-02,31.3,-96.90001,0.0,0.0,,0.0
2018-08-02,31.3,-96.7,0.0,0.0,,0.0
2018-08-02,31.3,-96.5,0.0,0.0,,0.0
2018-08-02,31.3,-96.3,0.0,0.0,,0.0
2018-08-02,31.3,-96.09999,0.0,0.0,,0.0
2018-08-02,31.3,-95.90001,0.0,0.0,,0.0
2018-08-02,31.3,-95.7,0.0,0.0,,0.0
2018-08-02,31.3,-95.5,0.0,0.0,,0.0
2018-08-02,31.3,-95.3,0.0,0.0,,0.0
2018-08-02,31.3,-95.09999,0.0,0.0,,0.0
2018-08-02,31.3,-94.90001,0.0,0.0,,0.0
2018-08-02,31.3,-94.7,0.0,0.0,,0.0
2018-08-02,31.3,-94.5,0.0,0.0,,0.0
2018-08-02,31.3,-94.3,0.0,0.0,,0.0
2018-08-02,31.3,-94.09999,0.0,0.0,,0.0
2018-08-02,31.5,-111.5,0.0,0.0,,0.0
2018-08-02,31.5,-111.3,0.0,0.0,,0.0
2018-08-02,31.5,-111.09999,0.0,0.0,,0.0
2018-08-02,31.5,-110.90001,0.0,0.0,,0.0
2018-08-02,31.5,-110.7,0.0,0.0,,0.0
2018-08-02,31.5,-110.5,0.0,0.0,,0.0
2018-08-02,31.5,-110.3,0.0,0.0,,0.0
2018-08-02,31.5,-110.09999,0.0,0.0,,0.0
2018-08-02,31.5,-109.90001,0.0,0.0,,0.0
2018-08-02,31.5,-109.7,0.0,0.0,,0.0
2018-08-02,31.5,-109.5,0.0,0.0,,0.0
2018-08-02,31.5,-109.3,0.0,0.0,,0.0
